관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26260-00001,동래사적공원,근린공원,,부산광역시 동래구 명륜동 137-4,35.211818,129.0921895,568461.6,"에어로빅장, 농구장",,"주차장,화장실",문화회관,"박물관, 문화재시설",1972-12-30,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00002,명장공원,근린공원,,부산광역시 동래구 명장동 455-2,35.207759,129.108461,132510,,,,,,1972-12-30,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00003,온천아파트공원,근린공원,부산광역시 동래구 충렬대로 107번길 54,부산광역시 동래구 온천동 707,35.209842,129.074409,12088,,,,,,1982-04-07,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00004,수민어울공원,근린공원,,부산광역시 동래구 낙민동 135-1,35.196528,129.091638,11841,,,,,,1982-04-07,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00005,낙민공원,근린공원,,부산광역시 동래구 낙민동 92-8,35.19559115,129.097216,5984.7,"테니스장, 씨름장, 농구장",조합놀이대,화장실,,,1982-04-07,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00006,연안수민공원,근린공원,부산광역시 동래구 안남로 9,부산광역시 동래구 낙민동 83-12,35.19489855,129.0933215,1470.1,,,,,,1982-04-07,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00007,온천공원,근린공원,,부산광역시 동래구 온천동 산201-1,35.20725578,129.0617177,118617,,,,,,1995-05-16,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00009,금강공원,근린공원,부산광역시 동래구 우장춘로 155,부산광역시 동래구 온천동 291-1,35.21962513,129.075758,974280,,,,,,1965-04-21,부산시설공단,1670-8114,2021-11-13
26260-00010,복천동고분군공원,역사공원,부산광역시 동래구 복천로 66,부산광역시 동래구 복천동 50,35.207379,129.091795,45130,,,"주차장,화장실",-,문화재시설,2014-11-19,부산광역시 문화시설사업소,051-550-6603,2021-11-13
26260-00011,충렬사공원,역사공원,,부산광역시 동래구 안락동 831-1,35.20169201,129.095486,95804,,,"주차장,화장실",충렬사,,2015-02-11,부산광역시 충렬사관리사업소,051-523-4224,2021-11-13
26260-00012,쇠미소공원,소공원,,부산광역시 동래구 사직동 597-93,35.20271272,129.053221,10824,,,,,,2012-07-04,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00013,명장소공원,소공원,부산광역시 동래구 명장로 63번길 133,부산광역시 동래구 명장동 334-2,35.20950758,129.104322,2820,,조합놀이대,,,,2013-07-03,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00014,SWITZEN PARK,소공원,,부산광역시 동래구 사직동 1037,35.19896555,129.0575801,666.3,,,,,,2006-07-05,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00015,온천4공원(온천2주택재개발),소공원,,부산광역시 동래구 온천동 793-4,35.21152872,129.072223,899,,,,,,2007-04-04,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00016,온천5공원(온천2주택재개발),소공원,,부산광역시 동래구 온천동 1020-18,35.211738,129.066977,369,,,,,,2007-04-04,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00017,고당공원,소공원,부산광역시 동래구 금강로151번길 75-2,부산광역시 동래구 온천동 15-8,35.224059,129.078222,521,,,,,,2010-06-16,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00018,금산공원,소공원,부산광역시 동래구 우장춘로 146,부산광역시 동래구 온천동 296-17,35.218818,129.076694,407,,,,,,2010-06-16,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00019,한길소공원,소공원,,부산광역시 동래구 사직동 1045,35.19792059,129.0666585,724.6,,,,,,2007-06-13,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00020,여고소공원,소공원,,부산광역시 동래구 사직동 1043,35.19792059,129.0666585,2062.7,,,,,,2007-06-13,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00021,소공원(복산1주택재개발),소공원,부산광역시 동래구 동래로179번길 38-12,부산광역시 동래구 칠산동 91-3,35.205138,129.091414,2848,,,,,,2008-01-30,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00022,소공원(복산1주택재개발),소공원,부산광역시 동래구 동래로159번길 109-13,부산광역시 동래구 칠산동51-1,35.207669,129.092689,5943,,,,,,2008-01-30,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00023,소공원(복산2주택재개발),소공원,부산광역시 동래구 동래로157번나길 30,부산광역시 동래구 복천동 87-1,35.205287,129.0888976,3090,,,,,,2008-01-30,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00024,소공원(안락1주택재건축),소공원,부산광역시 동래구 명장로106번길 23,부산광역시 동래구 명장동 152-4,35.201863,129.109632,4044.5,,,,,,2012-01-18,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00025,소공원(안락1주택재건축),소공원,부산광역시 동래구 안락로125번길 35,부산광역시 동래구 안락동 466-1,35.200624,129.110977,953.4,,,,,,2012-01-18,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00026,신정소공원,소공원,,부산광역시 동래구 사직동1044,35.196715,129.0666314,405.2,,,,,,2013-08-21,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00027,명서공원,어린이공원,부산광역시 동래구 명서로 111,부산광역시 동래구 명장동 506-3,35.212224,129.100218,972,,조합놀이대,,,,1982-09-01,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00028,세실공원,어린이공원,,부산광역시 동래구 명장동 506-18,35.209175,129.100539,1152,,조합놀이대,,,,1982-09-01,부산광역시 동래구청,051-550-4511,2021-11-13
26260-00029,안락꽃밭공원,어린이공원,,부산광역시 동래구 안락동 171-8,35.19099348,129.112504,1157,,조합놀이대,,,,1973-01-31,부산광역시 동래구청,051-550-4511,2021-11-13
