관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26230-00001,초연공원,근린공원,부산광역시 부산진구 성지로113번나길27-8(초읍동),부산광역시 부산진구 초읍동 산66-1,35.17842863,129.0511863,57380,,,화장실,,,1944-01-03,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00002,양정공원,근린공원,,부산광역시 부산진구 전포동 109-1,35.16796029,129.068137,9252,,조합놀이대,화장실,,,1944-01-03,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00003,어린이대공원,근린공원,부산광역시 부산진구 새싹로295,부산광역시 부산진구 초읍동 43,35.18250584,129.0466919,3606714,,,,,,1978-09-21,부산시설공단,051-860-7848,2021-10-20
26230-00004,가야산책공원,근린공원,,부산광역시 부산진구 가야동 669-11,35.1477989,129.0274102,14292,배드민턴장,,,,,1982-04-07,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00005,개금테마공원,근린공원,부산광역시 부산진구 백양대로208번길 70(개금동),부산광역시 부산진구 개금동 56,35.1610077,129.0260603,28881,"풋살운동장, 배드민턴장","조합놀이대, 그네, 시소",화장실,,,1986-01-07,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00006,화지공원,근린공원,,부산광역시 부산진구 양정동 산73-28,35.17523615,129.0619366,391299,,,,,,1985-09-28,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00008,백양가족공원,근린공원,,부산광역시 부산진구 당감동 794-2,35.17351807,129.0289001,16375,,"조합놀이대, 흔들놀이",,,,1995-01-07,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00009,시민공원,근린공원,부산광역시 부산진구 시민공원로 73(범전동),부산광역시 부산진구 범전동 200,35.16545561,129.0558558,473911,,,화장실,,"세미나실, 공연장",2004-08-19,부산시설공단,051-850-6000,2021-10-20
26230-00010,돌산공원,근린공원,부산광역시 부산진구 진남로283번길33(전포동),부산광역시 부산진구 전포동 산65-3,35.1495047,129.0721831,16137,족구장,,화장실,,야외 공연장,1944-01-03,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00011,백양어린이공원,어린이공원,,부산광역시 부산진구 초읍동 181-1,35.1812528,129.0520714,640.3,,조합놀이대,,,,1963-05-03,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00012,개나리어린이공원,어린이공원,,부산광역시 부산진구 개금동 53-4,35.16074733,129.029048,1904.2,,"조합놀이대, 그네",,,,1986-01-07,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00013,솔바람어린이공원,어린이공원,,부산광역시 부산진구 당감동 516-5,35.16125028,129.031558,3351.8,배드민턴장,"조합놀이대, 흔들놀이대",,,,1986-01-07,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00014,화목어린이공원,어린이공원,,부산광역시 부산진구 개금동 1-2,35.16245003,129.0227772,3920.3,,조합놀이대,화장실,,,1990-11-23,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00015,까치어린이공원,어린이공원,,부산광역시 부산진구 개금동 1-10,35.16352419,129.0258829,3796.5,,"조합놀이대, 건너는기구",,,,1990-11-23,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00016,백두어린이공원,어린이공원,,부산광역시 부산진구 당감동 794-1,35.1723937,129.0256642,1655.4,,조합놀이대,,,,1995-01-07,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00017,미리내어린이공원,어린이공원,,부산광역시 부산진구 당감동 796-3,35.1718501,129.0290792,2969.2,배드민턴장,"시소, 흔들놀이기구",,,,1995-01-07,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00018,색동어린이공원,어린이공원,,부산광역시 부산진구 당감동 796-1,35.1728201,129.0301309,1681.5,,조합놀이대,,,,1995-01-07,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00019,은하수어린이공원,어린이공원,,부산광역시 부산진구 부암동 721,35.1746046,129.0317164,1630.9,,"미끄럼틀, 시소",,,,1995-01-07,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00020,동양어린이공원,어린이공원,,부산광역시 부산진구 부암동 726,35.17621167,129.0299758,1554.3,,"미끄럼틀, 시소",,,,1995-01-07,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00021,새싹어린이공원,어린이공원,부산광역시 부산진구 새싹로 230번길19(초읍동),부산광역시 부산진구 초읍동 257,35.1768303,129.0494573,406,,,,,,1994-11-25,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00022,연지어린이공원,어린이공원,,부산광역시 부산진구 연지동 48,35.17304567,129.0557013,1597.4,,"조합놀이대, 흔들놀이기구",,,야외 공연장,1963-05-03,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00023,꿈동산어린이공원,어린이공원,,부산광역시 부산진구 양정동 91-2,35.1744214,129.0774871,1775.2,,"조합놀이대, 시소, 흔들놀이기구",,,,1961-02-15,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00025,전포2-1재개발,어린이공원,,부산광역시 부산진구 전포동 415-7,35.1541799,129.0711269,3025,,,,,,2005-12-14,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00026,양정1재개발,어린이공원,부산광역시 부산진구 양정로 73-5(양정동),부산광역시 부산진구 양정동 32-138,35.1710826,129.0777374,1909,,,,,,2005-06-22,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00029,어린이공원,어린이공원,부산광역시 부산진구 대학로 39(가야동),부산광역시 부산진구 가야동 337-5,35.1520479,129.0357945,2944,,,,,,2007-01-02,부산광역시 부산진구청,051-605-6315,2021-10-20
26230-00030,가야감고개공원,문화공원,부산광역시 부산진구 가야대로 548번길 109,부산광역시 부산진구 가야동 553,35.14845892,129.0334801,6443,,조합놀이대,,,,2016-03-02,부산광역시 부산진구청,051-605-6315,2021-10-20
