관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26530-00001,모라어울림공원,어린이공원,부산광역시 사상구 사상로439번길 47,부산광역시 사상구 모라동 713-11,35.18392679,128.9840136,1558,,조합놀이대 1점,,,파고라 외 9종 27점,1968-11-29,부산광역시 사상구청,051-310-4521,2021-06-28
26530-00002,야시곡공원,어린이공원,부산광역시 사상구 백양대로950번나길 94,부산광역시 사상구 모라동 1325,35.19440956,128.9947142,2424,,조합놀이대 외 2종 5점,,,파고라 외 10종 15점,1985-01-09,부산광역시 사상구청,051-310-4521,2021-06-28
26530-00003,곡상골공원,어린이공원,부산광역시 사상구 백양대로 949-20,부산광역시 사상구 모라동 1345-6,35.19158455,128.991146,830,,조합놀이대 외 2종 4점,,,파고라 외 9종 19점,1985-01-09,부산광역시 사상구청,051-310-4521,2021-06-28
26530-00004,고동바위공원,어린이공원,부산광역시 사상구 백양대로907번다길 6,부산광역시 사상구 모라동 1359,35.18844575,128.9903531,1684,,조합놀이대 외 3종 5점,,,파고라 외 10종 22점,1985-01-09,부산광역시 사상구청,051-310-4521,2021-06-28
26530-00005,운수공원,어린이공원,부산광역시 사상구 모라로192번길 20-21,부산광역시 사상구 모라동 75-3,35.18368761,129.0010106,1536,농구대 2점,조합놀이대 외 2종 3점,,,파고라 외 5종 18점,1990-06-23,부산광역시 사상구청,051-310-4521,2021-06-28
26530-00006,모라백양공원,어린이공원,부산광역시 사상구 모라로192번길 136,부산광역시 사상구 모라동 75-5,35.18218495,129.0020989,2404,농구대 외 1종 2점,조합놀이대 외 2종 2점,,,파고라 외 5종 23점,1990-06-23,부산광역시 사상구청,051-310-4521,2021-06-28
26530-00007,서당골공원,어린이공원,부산광역시 사상구 모라로192번길 151,부산광역시 사상구 모라동 75-15,35.18122216,129.0005111,6092,농구대 2점,조합놀이대 외 8종 11점,,,파고라 외 6종 46점,1990-06-23,부산광역시 사상구청,051-310-4521,2021-06-28
26530-00008,덕포공원,어린이공원,부산광역시 사상구 사상로386번길 42,부산광역시 사상구 덕포동 365-1,35.17843181,128.9875899,1670,,조합놀이대 1점,,,파고라 외 12종 24점,1968-11-29,부산광역시 사상구청,051-310-4521,2021-06-28
26530-00009,덕포체육공원,어린이공원,부산광역시 사상구 덕상로 69,부산광역시 사상구 덕포동 763,35.1781998,128.988959,4574,농구대 1점,조합놀이대 외 1종 2점,,,파고라 외 19종 47점,1985-01-09,부산광역시 사상구청,051-310-4521,2021-06-28
26530-00010,덕포백양공원,어린이공원,부산광역시 사상구 백양대로762번길 17,부산광역시 사상구 덕포동 776-1,35.17501124,128.9894109,1602,,조합놀이대 외 4종 6점,,,파고라 외 7종 19점,1985-01-09,부산광역시 사상구청,051-310-4521,2021-06-28
