관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26140-00001,송도공원,근린공원,부산광역시 서구 송도해변로 171,부산광역시 서구 암남동 124-1,35.07664188,129.0233998,106343.8,,,"케이블카 하부정류장, 주차장, 화장실",,"인공폭포, 음악분수, 바닥분수",1944-01-03,부산광역시 서구청,051-240-4532,2021-09-13
26140-00002,중앙공원(대신공원),근린공원,부산광역시 서구 대신공원로 34-91,부산광역시 서구 서대신동3가 산 2-3,35.12393472,129.0184838,2090000,궁도장,,화장실,구덕민속예술관,,1986-12-02,부산광역시 서구청,051-240-4532,2021-09-13
26140-00003,암남공원,근린공원,부산광역시 서구 암남공원로185,부산광역시 서구 암남동 산193,35.0616574,129.0149368,535841,,,"케이블카 상부정류장, 화장실",,광장 등,1972-12-30,부산광역시 서구청,051-240-4532,2021-09-13
26140-00004,부민산공원,근린공원,,부산광역시 서구 서대신동1가 255-168,35.10627428,129.014478,207576,미조성,미조성,미조성,미조성,미조성,2010-02-24,부산광역시 서구청,051-240-4532,2021-09-13
26140-00005,아미근린공원,근린공원,,부산광역시 서구 아미동 237-32,35.099778,129.010172,13756.7,미조성,미조성,미조성,미조성,미조성,2014-11-12,부산광역시 서구청,051-240-4532,2021-09-13
26140-00006,엄광산어린이공원,어린이공원,,부산광역시 서구 서대신동3가 산60,35.13270638,129.0096327,14835,,놀이마당,"화장실, 음수장",미조성,"입구광장, 관리사무실",2016-04-13,부산광역시 서구청,051-240-4532,2021-09-13
26140-00007,아미어린이공원,어린이공원,부산광역시 서구 까치고개로 130번길 12-16,부산광역시 서구 아미동 243-7,35.10201033,129.0104951,3050,미조성,미조성,미조성,미조성,미조성,2014-11-12,부산광역시 서구청,051-240-4532,2021-09-13
26140-00008,어린이공원,어린이공원,부산광역시 서구 충무대로 149번나길28-1,부산광역시 서구 남부민동 611-170,35.08331167,129.023316,403,미조성,미조성,미조성,미조성,미조성,2016-08-03,부산광역시 서구청,051-240-4532,2021-09-13
26140-00009,어린이공원,어린이공원,부산광역시 서구 충무대로 11번길 36,부산광역시 서구 암남동 324-1,35.07807023,129.0149066,3022,미조성,미조성,미조성,미조성,미조성,2019-12-11,부산광역시 서구청,051-240-4532,2021-09-13
26140-00010,소공원,소공원,,부산광역시 서구 암남동 123-15,35.07929269,129.0224286,1957.8,미조성,미조성,미조성,미조성,미조성,2015-11-25,부산광역시 서구청,051-240-4532,2021-09-13
26140-00011,소공원,소공원,,부산광역시 서구 암남동 123-15,35.07929269,129.0224286,2148.3,미조성,미조성,미조성,미조성,미조성,2015-11-25,부산광역시 서구청,051-240-4532,2021-09-13
26140-00012,소공원,소공원,부산광역시 서구 암남로 78번길 1-15,부산광역시 서구 암남동 490,35.07711257,129.013612,1138,미조성,미조성,미조성,미조성,미조성,2019-12-11,부산광역시 서구청,051-240-4532,2021-09-13
26140-00013,톤즈공원,문화공원,부산광역시 서구 해양로22번길 12,부산광역시 서구 남부민동 611-340,35.08259435,129.0235512,1713,,,"주차장, 톤즈 점방","이태석 기념관, 이태석 생가",광장,2021-08-04,부산광역시 서구청,051-240-4532,2021-09-13
26140-00014,두도공원,수변공원,,부산광역시 서구 암남동 702,35.04905182,129.0147508,50000,미조성,미조성,미조성,미조성,미조성,1972-12-30,부산광역시 서구청,051-240-4532,2021-09-13
