"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26410-00001,금강공원,근린공원,부산광역시 금정구 남문로 58,부산광역시 금정구 장전동 산 46-2,35.2263915,129.0623779,1246092,,,화장실,,,1965-04-21,부산시설관리공단,051-519-4522,2021-05-13
26410-00002,장전공원,근린공원,부산광역시 금정구 산성로 872,부산광역시 금정구 장전동 산 30,35.23537237,129.0675686,117743,,,화장실,,,1965-04-21,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00003,명장공원,근린공원,,부산광역시 금정구 금사동 산 7-9,35.214293,129.116241,136971,,,,,,1972-12-30,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00004,가마실공원,어린이공원,,부산광역시 금정구 부곡동 296-2,35.228156,129.091556,1530.9,,조합놀이대,,,,2014-12-17,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00005,공수물공원,어린이공원,,부산광역시 금정구 부곡동 255-8,35.231648,129.092102,558,,,,,,1968-11-06,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00006,구서공원,어린이공원,,부산광역시 금정구 구서동 1050,35.251219,129.087464,1736.6,,"조합놀이대, 그네, 미끄럼틀",,,,2002-06-21,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00007,구월공원,어린이공원,,부산광역시 금정구 부곡동 956,35.223398,129.098218,1910,,"조합놀이대, 흔들놀이기구",,,,1987-11-26,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00008,금정공원,어린이공원,부산광역시 금정구 금강로415번길 8 (구서동),부산광역시 금정구 구서동 458-2,35.244967,129.087965,796,,"조합놀이대, 그네, 흔들놀이기구",,,,1968-11-06,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00009,금천공원,어린이공원,,부산광역시 금정구 금사동 25-5,35.223792,129.114729,1983.3,게이트볼장,"조합놀이대, 그네, 흔들놀이기구",,,,1984-08-23,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00010,기찰공원,어린이공원,부산광역시 금정구 기찰로 124 (부곡동),부산광역시 금정구 부곡동 26-11,35.24182299,129.0943291,983.1,,"조합놀이대, 그네",,,,1968-11-06,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00011,까치공원,어린이공원,부산광역시 금정구 금강로 337,부산광역시 금정구 장전동 220-2,35.23800895,129.086307,513.1,,조합놀이대,,,,1968-11-06,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00012,남산공원,어린이공원,,부산광역시 금정구 남산동 988-4,35.266611,129.086972,2255,,"그네, 미끄럼틀, 오르는기구, 건너는기구, 공중놀이기구",,,,1980-11-18,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00013,놀이마당공원,어린이공원,부산광역시 금정구 놀이마당로 5,부산광역시 금정구 청룡동 49,35.275869,129.087247,1462.1,,"조합놀이대, 흔들놀이기구",화장실,,,1971-11-06,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00014,다람쥐공원,어린이공원,,부산광역시 금정구 남산동 975-4,35.269483,129.087828,1706.1,,"조합놀이대, 흔들놀이기구",,,,1980-11-18,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00015,달님공원,어린이공원,,부산광역시 금정구 남산동 989-12,35.266616,129.085537,4086.8,,"조합놀이대, 흔들놀이기구",,,,1980-11-18,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00016,보람공원,어린이공원,,부산광역시 금정구 금사동 86,35.216778,129.111828,2738.2,,,,,,1972-05-01,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00017,비석바위공원,어린이공원,,부산광역시 금정구 장전동 724,35.237851,129.074081,3405.3,,,,,,2003-06-19,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00018,상록수공원,어린이공원,,부산광역시 금정구 회동동 145-9,35.229023,129.122052,4343.1,,꿈틀이,,,,1972-05-01,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00019,샘골공원,어린이공원,,부산광역시 금정구 구서동 637-1,35.260673,129.087471,1024.5,,조합놀이대,,,,1971-11-06,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00020,서명상상공원,어린이공원,부산광역시 금정구 서곡로8번길 21-1,부산광역시 금정구 서동 131-12,35.216475,129.106535,1155.4,,"조합놀이대, 그네",,,경로당,1972-05-01,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00021,두실새싹공원,어린이공원,,부산광역시 금정구 구서동 1023-42,35.257982,129.085766,3985.9,,"그네, 미끄럼틀, 오르는기구, 건너는기구",,,,1980-11-18,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00022,숲속공원,어린이공원,부산광역시 금정구 서부로 109 (부곡동),부산광역시 금정구 부곡동 961,35.21944676,129.096175,5694,,"조합놀이대, 흔들놀이기구",,,,2005-06-29,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00023,요산꽃님공원,어린이공원,부산광역시 금정구 팔송로 51 (남산동),부산광역시 금정구 남산동 967-1,35.271819,129.086971,1657.9,,조합놀이대,,,,2005-06-29,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00024,우성공원,어린이공원,,부산광역시 금정구 구서동 1030-1,35.255578,129.086254,1100,,조합놀이대,,,,1980-11-18,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00025,은빛공원,어린이공원,부산광역시 금정구 회천로13번길 87,부산광역시 금정구 금사동 27-9,35.224242,129.113042,2335.5,,조합놀이대,,,,1972-05-01,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00026,조리공원,어린이공원,부산광역시 금정구 두구로51번길 162 (두구동),부산광역시 금정구 두구동 1217-2,35.3036335,129.111567,1504,,,,,,2007-10-03,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00027,평화공원,어린이공원,,부산광역시 금정구 서동 141-22,35.219115,129.106782,993,,"그네, 미끄럼틀, 흔들놀이기구",,,,1978-11-18,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00028,푸른솔밭공원,어린이공원,,부산광역시 금정구 남산동 979-5,35.268758,129.086384,3523.5,,"조합놀이대, 미끄럼틀",,,,1980-11-18,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00029,푸조나무숲공원,어린이공원,,부산광역시 금정구 두구동 1210-1,35.3033456,129.1125364,2663,,조합놀이대,,,,2007-10-03,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00030,형제공원,어린이공원,,부산광역시 금정구 남산동 987-5,35.266603,129.087772,2203.3,,건너는기구,,,,1980-11-18,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00031,화랑공원,어린이공원,,부산광역시 금정구 금사동 115-2,35.214929,129.116711,1833.4,,조합놀이대,,,,1972-05-01,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00032,신천공원,소공원,,부산광역시 금정구 선동 1000,35.275984,129.117538,307,,,,,,2008-06-11,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00033,회동첨단공원,소공원,,부산광역시 금정구 회동동 553,35.238372,129.124516,2127,,,,,,2008-08-27,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00034,동대공원,소공원,,부산광역시 금정구 회동동 558,35.238372,129.124516,1814.1,,,,,,2010-05-26,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00035,금사소공원,소공원,,부산광역시 금정구 금사동 566,35.232277,129.122981,503,,,,,,2013-04-17,부산광역시 금정구청,051-519-4522,2021-05-13
26410-00036,부산묘지공원,묘지공원,부산광역시 금정구 금정도서관로 43,부산광역시 금정구 두구동 산 80,35.27279032,129.0972141,770458,,,화장실,,,1966-11-17,부산시설관리공단,051-519-4522,2021-05-13
26410-00037,너울소공원,소공원,,부산광역시 금정구 부곡동 64-31,35.24198217,129.0914307,301.4,,,,,,1912-07-18,부산광역시 금정구청,051-519-4522,2021-05-13
