"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26200-00001,함지골공원,근린공원,,부산광역시 영도구 동삼동 산149-5,35.07348728,129.0540805,792812,사격장,,음식점,청소년수련원,,1972-12-30,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00002,동삼공원,근린공원,,부산광역시 영도구 동삼동 510-28,35.073341,129.0676059,15995,철봉 등 6종,,전망대,,,1991-01-05,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00003,동삼혁신지구공원,문화공원,,부산광역시 영도구 동삼동 1163,35.0787446747,129.0779467126,10603,,조합놀이대,파고라 6개,,,2007-09-03,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00004,절영어린이공원,어린이공원,,부산광역시 영도구 동삼동 1124-3,35.0718573,129.0612158,5946,,조합놀이대,,,,1990-12-13,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00005,상리어린이공원,어린이공원,,부산광역시 영도구 동삼동 1123-4,35.08360659,129.065563,3852,,조합놀이대,정자 1개,,,1990-06-23,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00006,일산봉어린이공원,어린이공원,,부산광역시 영도구 동삼동 1123-3,35.0860798,129.0696915,1878,,"조합놀이대, 그네, 시소",,,,1990-06-23,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00007,광명어린이공원,어린이공원,,부산광역시 영도구 동삼동 1123-13,35.0842584,129.0693586,3165,,"조합놀이대, 시소",파고라 1개,,,1990-06-23,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00008,팔각어린이공원,어린이공원,,부산광역시 영도구 동삼동 1123-1,35.0874136,129.0689163,1511,,"시소, 그네",정자 1개,,,1991-07-01,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00009,중리어린이공원,어린이공원,,부산광역시 영도구 동삼동 510-36,35.0747356,129.071418,1502,철봉 2,"조합놀이대, 그네, 시소",,,,1991-01-05,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00010,와치어린이공원,어린이공원,,부산광역시 영도구 동삼동 510-4,35.07578869,129.0677495,1516,운동기구 6종,"조합놀이대, 미끄럼틀",,,,1991-01-05,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00011,푸른어린이공원,어린이공원,,부산광역시 영도구 동삼동 510-29,35.0740081,129.0675833,1514,,"조합놀이대, 그네",,,,1991-01-05,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00012,하리지구 소공원,소공원,,부산광역시 영도구 동삼동 1174-6,35.06972055,129.0815802,962,,,파고라1개,,,2010-01-27,부산시광역시 영도구청,051-419-4535,2021-03-30
26200-00013,하리지구 소공원,소공원,,부산광역시 영도구 동삼동 1179,35.06865839,129.0824214,2699,,,파고라1개,,,2010-01-27,부산시광역시 영도구청,051-419-4535,2021-03-30
