"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26290-00001,대연공원,근린공원,,부산광역시 남구 대연동 산100-1,35.140147,129.094511,6126,,,,,,1944-01-08,,,2021-07-10
26290-00002,당곡공원,역사공원,,부산광역시 남구 대연동 산202-1,35.123334,129.090126,75465,,,,,,1944-01-08,,,2021-07-10
26290-00003,대일어린이공원,어린이공원,부산광역시 남구 유엔평화로13번길 63(대연동),부산광역시 남구 대연동 1727-1,35.134016,129.0954481512,422.1,,,,,,1965-11-10,,,2021-07-10
26290-00004,못골어린이공원,어린이공원,부산광역시 남구 진남로 46번길 37(대연동),부산광역시 남구 대연동 1475-2,35.139799,129.090081,499.8,,,,,,1968-10-25,,,2021-07-10
26290-00005,솔밭어린이공원,어린이공원,부산광역시 남구 동명로 114(용호동),부산광역시 남구 용호동 409-5,35.120074,129.109518,1500.2,,,,,,1970-08-07,,,2021-07-10
26290-00006,UN공원,묘지공원,,부산광역시 남구 대연동 800,35.127677,129.098688,176486,,,,,,1971-04-06,,,2021-07-10
26290-00007,지게골어린이공원,어린이공원,부산광역시 남구 진남로188번가길 49-6,부산광역시 남구 문현동 96-3,35.142040,129.079284,1654,,,,,,1971-10-22,,,2021-07-10
26290-00008,문현어린이공원,어린이공원,,부산광역시 남구 문현동 136-8,35.142741,129.073677,364,,,,,,1971-10-23,,,2021-07-10
26290-00009,개나리어린이공원,어린이공원,,부산광역시 남구 문현동 189-22,35.138072,129.073376,370,,,,,,1971-10-23,,,2021-07-10
26290-00010,통일동산어린이공원,어린이공원,,부산광역시 남구 문현동 189-16,35.139757,129.073124,479,,,,,,1971-10-23,,,2021-07-10
26290-00011,이기대공원,수변공원,,부산광역시 남구 용호동 산25,35.122594,129.119861,1302042,,,,,,1986-12-02,,,2021-07-10
26290-00012,대연2공원,근린공원,,부산광역시 남구 대연동 산180,35.130813,129.082289,28025,,,,,,1995-05-16,,,2021-07-10
26290-00013,용호공원,근린공원,부산광역시 남구 분포로111(용호동),부산광역시 남구 용호동 176-21,35.126895,129.109629,10037,,,,,,1997-04-24,,,2021-07-10
26290-00014,가로공원,근린공원,,부산광역시 남구 용호동 176-9,35.130716,129.107511,13398,,,,,,1997-05-06,,,2021-07-10
26290-00015,어린이공원,어린이공원,,부산광역시 남구 문현동 21-10,35.147056,129.073571,2157,,,,,,2006-01-11,,,2021-07-10
