"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26470-00025,연산공원,소공원,,부산광역시 연제구 연산동 2373,,,2717.1,,,,,벤치 등,2015-03-11,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00024,하늘빛공원,어린이공원,,부산광역시 연제구 연산동 2350,35.17380264,129.0832443,2591,,조합놀이대 등,,,파고라 및 벤치 등,2005-11-16,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00023,수련둘소공원,소공원,,부산광역시 연제구 연산동 2347,35.18056302,,1210.4,,,,,벤치 등,2006-12-27,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00022,수련하나소공원,소공원,,부산광역시 연제구 연산동 2345,35.17921909,129.0845241,984.1,,,,,벤치 등,2006-10-30,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00021,물만골소공원,소공원,,부산광역시 연제구 연산동 2349,,129.082556,1319.1,,,,,벤치 등,2006-12-27,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00020,강변공원,소공원,,부산광역시 연제구 연산동 2318,35.184023,129.113378,196.8,,,,,벤치 등,2014-04-17,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00019,토곡근린공원,근린공원,,부산광역시 연제구 연산동 2223,35.179954,129.109047,29965,,조합놀이대 등,,,파고라 및 체력단련시설 등,1984-11-01,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00018,연천공원,소공원,,부산광역시 연제구 연산동 2313,35.189654,129.099575,1908,,,,,파고라 및 체력단련시설 등,2009-12-09,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00017,월륜공원,소공원,,부산광역시 연제구 연산동 2307,35.1835706,129.1125027,1044.7,,,,,파고라 및 벤치 등,2012-04-25,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00016,연이공원,소공원,,부산광역시 연제구 연산동 2304,35.173568,,818.4,,,,,파고라 및 벤치 등,2010-07-21,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00015,옛골공원,소공원,,부산광역시 연제구 연산동 2274,35.187418,129.090129,2764,,,,,파고라 및 체력단련시설 등,2006-12-27,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00014,쌍미공원,소공원,,부산광역시 연제구 연산동 2272,35.188051,129.087568,1209,,,,,파고라 및 벤치 등,2006-12-27,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00013,연화공원,소공원,,부산광역시 연제구 연산동 1431-1,35.179189,129.076583,2147.4,,,,,체력단련시설 및 벤치 등,2006-05-24,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00012,한들공원,어린이공원,,부산광역시 연제구 연산동 2314,35.190272,129.095849,3369.9,,조합놀이대 등,,,파고라 및 체력단련시설 등,2009-12-09,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00011,한빛공원,어린이공원,,부산광역시 연제구 연산동 2273,35.189086,129.091258,1515,,조합놀이대 등,,,파고라 및 체력단련시설 등,2006-12-27,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00010,햇살공원,어린이공원,,부산광역시 연제구 연산동 2235-5,35.177534,,1610,,,,,파고라 및 체력단련시설 등,1990-06-01,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00009,연잎공원,어린이공원,,부산광역시 연제구 연산동 477-1,35.1859722521,129.108082,1588.2,,조합놀이대 등,,,파고라 및 체력단련시설 등,1973-01-31,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00008,과정공원,어린이공원,,부산광역시 연제구 연산동 407,35.1875262318,129.1022868,1946.5,게이트볼장,조합놀이대 등,화장실,,파고라 및 체력단련시설 등,1973-01-31,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00007,새싹공원,어린이공원,,부산광역시 연제구 연산동 2132-1,35.175581,129.092753,619.8,,조합놀이대 등,,,파고라 및 체력단련시설 등,1969-12-31,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00006,꿈나무공원,어린이공원,,부산광역시 연제구 연산동 1478-1,35.18448545,129.0760799,1665.8,,조합놀이대 등,,,파고라 및 체력단련시설 등,1965-12-31,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00005,연봉공원,어린이공원,,부산광역시 연제구 연산동 631-6,35.186061,129.0845723,1347,,조합놀이대 등,화장실,,파고라 및 벤치 등,1965-12-31,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00004,늘푸른공원,어린이공원,,부산광역시 연제구 연산동 789,35.17961916,129.0815406,1869.8,,조합놀이대 등,,,파고라 및 체력단련시설 등,1965-12-31,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00003,거제체육공원,체육공원,,부산광역시 연제구 거제동 1468-13,35.195565,,5848.5,게이트볼장,,,,파고라 및 체력단련시설 등,2003-02-12,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00002,어울림공원,어린이공원,,부산광역시 연제구 거제동 1480,35.191589,129.070726,3780.5,,조합놀이대 등,,,파고라 및 체력단련시설 등,1995-10-20,연제구청 녹지공원과,051-665-5391,2021-07-01
26470-00001,한마음공원,어린이공원,,부산광역시 연제구 거제동 1482-1,35.193905,129.072823,2788.1,,조합놀이대 등,,,파고라 및 체력단련시설 등,1995-10-20,연제구청 녹지공원과,051-665-5391,2021-07-01
