행정구역,총인구수,연령구간인구수,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
부산광역시,"3,330,119","1,529,144","281,211","268,131","302,117","242,445","174,167","122,469","84,208","38,909","12,683","2,455",349
중구,"40,076","21,798","3,311","3,296","4,112","3,684","2,767","2,154","1,487",665,256,59,7
중앙동,"2,911","1,016",190,171,198,172,111,70,56,30,14,4,0
동광동,"2,622","1,643",215,238,297,251,237,185,127,63,24,6,0
대청동,"6,183","3,273",502,497,665,500,397,350,203,90,54,14,1
보수동,"10,446","5,633",878,885,"1,069",954,678,531,400,167,56,13,2
부평동,"4,459","2,636",370,377,512,480,351,252,177,78,31,6,2
광복동,949,609,86,83,121,119,71,49,47,19,12,1,1
남포동,889,646,96,96,141,123,83,55,34,10,6,1,1
영주제1동,"4,638","2,190",347,334,377,388,290,213,139,75,21,6,0
영주제2동,"6,979","4,152",627,615,732,697,549,449,304,133,38,8,0
서구,"104,301","54,496","8,437","8,411","10,300","8,829","6,913","5,258","3,858","1,770",581,121,18
동대신제1동,"5,586","2,751",472,445,485,431,325,242,198,110,35,7,1
동대신제2동,"7,279","4,255",643,600,743,697,547,457,339,167,49,12,1
동대신제3동,"7,666","3,666",603,516,704,589,448,363,265,122,42,13,1
서대신제1동,"13,604","5,877","1,071",986,"1,009",877,701,554,411,183,70,15,0
서대신제3동,"8,078","3,686",673,613,709,573,417,308,223,115,46,8,1
서대신제4동,"7,706","3,461",636,592,685,527,383,271,218,96,47,4,2
부민동,"7,468","3,149",552,495,605,536,366,255,190,103,34,9,4
아미동,"6,543","4,259",536,559,790,703,608,441,389,167,50,12,4
초장동,"4,219","2,738",323,399,475,473,361,314,253,99,37,4,0
충무동,"9,820","5,117",802,837,975,826,676,473,334,153,34,7,0
남부민제1동,"4,819","3,135",399,453,588,555,415,347,238,98,34,8,0
남부민제2동,"8,909","5,629",753,809,"1,079",923,796,627,385,196,50,8,3
암남동,"12,604","6,773",974,"1,107","1,453","1,119",870,606,415,161,53,14,1
동구,"86,633","45,898","7,200","6,812","8,444","7,420","5,955","4,601","3,313","1,574",482,85,12
초량제1동,"4,973","2,547",434,378,479,393,320,264,186,70,18,5,0
초량제2동,"5,510","3,308",494,457,559,575,496,325,242,108,46,4,2
초량제3동,"12,941","4,338",961,801,851,621,401,320,206,124,38,14,1
초량제6동,"5,886","3,553",489,483,598,568,513,378,299,159,53,13,0
수정제1동,"4,094","2,183",346,298,375,365,314,233,159,72,21,0,0
수정제2동,"9,658","5,329",797,808,994,841,754,527,364,190,47,6,1
수정제4동,"3,841","2,515",322,337,397,394,374,313,228,107,37,6,0
수정제5동,"5,263","3,249",470,427,545,534,470,375,258,121,41,7,1
좌천동,"10,666","5,997",895,862,"1,082",961,791,664,475,200,52,11,4
범일제1동,"11,716","7,021",997,"1,013","1,363","1,194",871,700,548,255,69,9,2
범일제2동,"7,771","3,858",693,666,825,618,414,303,208,97,29,5,0
범일제5동,"4,314","2,000",302,282,376,356,237,199,140,71,31,5,1
영도구,"109,804","61,933","9,067","9,328","11,757","10,402","8,201","6,271","4,314","1,875",582,116,20
남항동,"10,744","6,415",878,956,"1,183","1,078",882,671,459,214,81,12,1
영도구,"3,961","2,331",313,354,467,392,322,226,151,78,18,9,1
영선제2동,"8,211","4,743",668,703,870,763,673,500,365,136,54,11,0
신선동,"8,241","5,368",725,716,958,818,733,642,512,195,58,9,2
봉래제1동,"6,686","3,813",501,550,761,669,500,369,279,129,41,11,3
봉래제2동,"7,876","4,087",622,625,701,642,562,477,298,122,31,6,1
청학제1동,"6,050","3,408",488,482,612,586,471,381,246,95,38,8,1
청학제2동,"17,521","9,316","1,505","1,483","1,796","1,556","1,199",853,570,265,74,13,2
동삼제1동,"27,358","14,369","2,338","2,356","2,860","2,413","1,728","1,263",879,388,117,24,3
동삼제2동,"3,323","1,745",220,225,330,321,254,220,108,48,15,3,1
동삼제3동,"9,833","6,338",809,878,"1,219","1,164",877,669,447,205,55,10,5
부산진구,"350,845","159,537","28,409","27,575","31,592","25,145","18,437","13,156","9,458","4,217","1,307",218,23
부전제1동,"15,686","6,664","1,208","1,169","1,344","1,050",769,502,394,173,50,5,0
부전제2동,"9,807","3,606",768,702,797,535,332,223,150,57,32,10,0
연지동,"20,438","9,746","1,706","1,480","1,911","1,570","1,237",880,586,282,74,20,0
초읍동,"21,978","11,574","1,800","1,772","2,082","1,949","1,521","1,168",791,359,114,16,2
양정제1동,"19,928","9,346","1,799","1,698","1,816","1,353",985,762,544,288,82,17,2
양정제2동,"11,891","4,239",790,676,752,666,509,378,298,118,45,5,2
전포제1동,"21,613","7,093","1,474","1,172","1,292","1,045",805,570,454,200,70,10,1
전포제2동,"20,712","9,560","1,557","1,446","1,838","1,521","1,226",926,674,282,72,17,1
부암제1동,"22,854","9,783","1,928","1,805","1,900","1,419","1,114",815,496,224,64,14,4
부암제3동,"17,333","8,232","1,585","1,615","1,687","1,190",889,612,405,188,50,10,1
당감제1동,"22,916","11,747","2,134","2,102","2,392","1,803","1,279",875,698,326,117,19,2
당감제2동,"10,221","4,489",714,736,929,762,558,375,271,111,31,2,0
당감제4동,"11,268","5,674","1,084","1,043","1,093",882,636,428,332,130,38,8,0
가야제1동,"19,116","9,378","1,529","1,637","1,852","1,566","1,135",816,557,220,60,6,0
가야제2동,"16,764","8,321","1,386","1,399","1,651","1,359","1,045",728,461,203,78,10,1
개금제1동,"16,651","6,442","1,280","1,188","1,235",969,697,494,385,141,42,10,1
개금제2동,"10,916","5,521",928,954,"1,073",862,657,498,364,141,38,6,0
개금제3동,"28,719","13,818","2,492","2,577","3,065","2,225","1,391",904,678,357,111,16,2
범천제1동,"11,862","4,613",837,773,918,725,501,371,294,135,50,9,0
범천제2동,"20,172","9,691","1,410","1,631","1,965","1,694","1,151",831,626,282,89,8,4
동래구,"265,278","117,284","22,642","20,280","22,894","18,791","13,558","9,150","6,052","2,802",914,179,22
수민동,"32,420","14,191","2,683","2,487","2,762","2,298","1,596","1,125",751,350,113,25,1
복산동,"9,383","5,556",804,825,"1,064",919,729,537,401,199,67,9,2
명륜동,"24,620","8,581","2,097","1,540","1,554","1,166",908,605,407,220,74,10,0
온천제1동,"20,340","8,342","1,674","1,425","1,486","1,253",939,735,509,238,62,17,4
온천제2동,"14,739","7,383","1,254","1,141","1,409","1,156",907,659,484,250,97,25,1
온천제3동,"38,367","17,115","3,389","3,033","3,437","2,726","1,938","1,272",841,340,113,24,2
사직제1동,"10,544","4,520",915,701,805,697,532,397,311,117,35,10,0
사직제2동,"27,220","9,769","2,581","1,928","1,875","1,368",919,564,320,147,55,10,2
사직제3동,"17,361","7,289","1,359","1,230","1,333","1,199",886,670,383,167,52,9,1
안락제1동,"14,451","7,582","1,167","1,251","1,529","1,346",941,665,430,184,57,12,0
안락제2동,"27,083","12,405","2,435","2,200","2,564","2,015","1,443",830,532,283,89,9,5
명장제1동,"13,946","6,981","1,113","1,209","1,426","1,231",909,529,339,166,49,7,3
명장제2동,"14,804","7,570","1,171","1,310","1,650","1,417",911,562,344,141,51,12,1
남구,"260,440","119,145","22,191","19,561","22,343","18,810","14,392","10,616","6,962","3,089",964,191,26
