,행정구역(등읍면)별,합계,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100+,고령인구 합계,구간 합계
0,부산광역시,3330119,281211,"268,131","302,117",242445,174167,122469,84208,38909,12683,2455,349,677685,1529144
1,중구,40076,3311,"3,296","4,112",3684,2767,2154,1487,665,256,59,7,11079,21798
2,중앙동,2911,190,171,198,172,111,70,56,30,14,4,0,457,1016
3,동광동,2622,215,238,297,251,237,185,127,63,24,6,0,893,1643
4,대청동,6183,502,497,665,500,397,350,203,90,54,14,1,1609,3273
5,보수동,10446,878,885,"1,069",954,678,531,400,167,56,13,2,2801,5633
6,부평동,4459,370,377,512,480,351,252,177,78,31,6,2,1377,2636
7,광복동,949,86,83,121,119,71,49,47,19,12,1,1,319,609
8,남포동,889,96,96,141,123,83,55,34,10,6,1,1,313,646
9,영주제1동,4638,347,334,377,388,290,213,139,75,21,6,0,1132,2190
10,영주제2동,6979,627,615,732,697,549,449,304,133,38,8,0,2178,4152
11,서구,104301,8437,"8,411","10,300",8829,6913,5258,3858,1770,581,121,18,27348,54496
12,동대신제1동,5586,472,445,485,431,325,242,198,110,35,7,1,1349,2751
13,동대신제2동,7279,643,600,743,697,547,457,339,167,49,12,1,2269,4255
14,동대신제3동,7666,603,516,704,589,448,363,265,122,42,13,1,1843,3666
15,서대신제1동,13604,1071,986,"1,009",877,701,554,411,183,70,15,0,2811,5877
16,서대신제3동,8078,673,613,709,573,417,308,223,115,46,8,1,1691,3686
17,서대신제4동,7706,636,592,685,527,383,271,218,96,47,4,2,1548,3461
18,부민동,7468,552,495,605,536,366,255,190,103,34,9,4,1497,3149
19,아미동,6543,536,559,790,703,608,441,389,167,50,12,4,2374,4259
20,초장동,4219,323,399,475,473,361,314,253,99,37,4,0,1541,2738
21,충무동,9820,802,837,975,826,676,473,334,153,34,7,0,2503,5117
22,남부민제1동,4819,399,453,588,555,415,347,238,98,34,8,0,1695,3135
23,남부민제2동,8909,753,809,"1,079",923,796,627,385,196,50,8,3,2988,5629
24,암남동,12604,974,"1,107","1,453",1119,870,606,415,161,53,14,1,3239,6773
25,동구,86633,7200,"6,812","8,444",7420,5955,4601,3313,1574,482,85,12,23442,45898
26,초량제1동,4973,434,378,479,393,320,264,186,70,18,5,0,1256,2547
27,초량제2동,5510,494,457,559,575,496,325,242,108,46,4,2,1798,3308
28,초량제3동,12941,961,801,851,621,401,320,206,124,38,14,1,1725,4338
29,초량제6동,5886,489,483,598,568,513,378,299,159,53,13,0,1983,3553
30,수정제1동,4094,346,298,375,365,314,233,159,72,21,0,0,1164,2183
31,수정제2동,9658,797,808,994,841,754,527,364,190,47,6,1,2730,5329
32,수정제4동,3841,322,337,397,394,374,313,228,107,37,6,0,1459,2515
33,수정제5동,5263,470,427,545,534,470,375,258,121,41,7,1,1807,3249
34,좌천동,10666,895,862,"1,082",961,791,664,475,200,52,11,4,3158,5997
35,범일제1동,11716,997,"1,013","1,363",1194,871,700,548,255,69,9,2,3648,7021
36,범일제2동,7771,693,666,825,618,414,303,208,97,29,5,0,1674,3858
37,범일제5동,4314,302,282,376,356,237,199,140,71,31,5,1,1040,2000
38,영도구,109804,9067,"9,328","11,757",10402,8201,6271,4314,1875,582,116,20,31781,61933
39,남항동,10744,878,956,"1,183",1078,882,671,459,214,81,12,1,3398,6415
40,영도구,3961,313,354,467,392,322,226,151,78,18,9,1,1197,2331
41,영선제2동,8211,668,703,870,763,673,500,365,136,54,11,0,2502,4743
42,신선동,8241,725,716,958,818,733,642,512,195,58,9,2,2969,5368
43,봉래제1동,6686,501,550,761,669,500,369,279,129,41,11,3,2001,3813
44,봉래제2동,7876,622,625,701,642,562,477,298,122,31,6,1,2139,4087
45,청학제1동,6050,488,482,612,586,471,381,246,95,38,8,1,1826,3408
46,청학제2동,17521,1505,"1,483","1,796",1556,1199,853,570,265,74,13,2,4532,9316
47,동삼제1동,27358,2338,"2,356","2,860",2413,1728,1263,879,388,117,24,3,6815,14369
48,동삼제2동,3323,220,225,330,321,254,220,108,48,15,3,1,970,1745
49,동삼제3동,9833,809,878,"1,219",1164,877,669,447,205,55,10,5,3432,6338
50,부산진구,350845,28409,"27,575","31,592",25145,18437,13156,9458,4217,1307,218,23,71961,159537
51,부전제1동,15686,1208,"1,169","1,344",1050,769,502,394,173,50,5,0,2943,6664
52,부전제2동,9807,768,702,797,535,332,223,150,57,32,10,0,1339,3606
53,연지동,20438,1706,"1,480","1,911",1570,1237,880,586,282,74,20,0,4649,9746
54,초읍동,21978,1800,"1,772","2,082",1949,1521,1168,791,359,114,16,2,5920,11574
55,양정제1동,19928,1799,"1,698","1,816",1353,985,762,544,288,82,17,2,4033,9346
56,양정제2동,11891,790,676,752,666,509,378,298,118,45,5,2,2021,4239
57,전포제1동,21613,1474,"1,172","1,292",1045,805,570,454,200,70,10,1,3155,7093
58,전포제2동,20712,1557,"1,446","1,838",1521,1226,926,674,282,72,17,1,4719,9560
59,부암제1동,22854,1928,"1,805","1,900",1419,1114,815,496,224,64,14,4,4150,9783
60,부암제3동,17333,1585,"1,615","1,687",1190,889,612,405,188,50,10,1,3345,8232
61,당감제1동,22916,2134,"2,102","2,392",1803,1279,875,698,326,117,19,2,5119,11747
62,당감제2동,10221,714,736,929,762,558,375,271,111,31,2,0,2110,4489
63,당감제4동,11268,1084,"1,043","1,093",882,636,428,332,130,38,8,0,2454,5674
64,가야제1동,19116,1529,"1,637","1,852",1566,1135,816,557,220,60,6,0,4360,9378
65,가야제2동,16764,1386,"1,399","1,651",1359,1045,728,461,203,78,10,1,3885,8321
66,개금제1동,16651,1280,"1,188","1,235",969,697,494,385,141,42,10,1,2739,6442
67,개금제2동,10916,928,954,"1,073",862,657,498,364,141,38,6,0,2566,5521
68,개금제3동,28719,2492,"2,577","3,065",2225,1391,904,678,357,111,16,2,5684,13818
69,범천제1동,11862,837,773,918,725,501,371,294,135,50,9,0,2085,4613
70,범천제2동,20172,1410,"1,631","1,965",1694,1151,831,626,282,89,8,4,4685,9691
71,동래구,265278,22642,"20,280","22,894",18791,13558,9150,6052,2802,914,179,22,51468,117284
72,수민동,32420,2683,"2,487","2,762",2298,1596,1125,751,350,113,25,1,6259,14191
73,복산동,9383,804,825,"1,064",919,729,537,401,199,67,9,2,2863,5556
74,명륜동,24620,2097,"1,540","1,554",1166,908,605,407,220,74,10,0,3390,8581
75,온천제1동,20340,1674,"1,425","1,486",1253,939,735,509,238,62,17,4,3757,8342
76,온천제2동,14739,1254,"1,141","1,409",1156,907,659,484,250,97,25,1,3579,7383
77,온천제3동,38367,3389,"3,033","3,437",2726,1938,1272,841,340,113,24,2,7256,17115
78,사직제1동,10544,915,701,805,697,532,397,311,117,35,10,0,2099,4520
79,사직제2동,27220,2581,"1,928","1,875",1368,919,564,320,147,55,10,2,3385,9769
80,사직제3동,17361,1359,"1,230","1,333",1199,886,670,383,167,52,9,1,3367,7289
81,안락제1동,14451,1167,"1,251","1,529",1346,941,665,430,184,57,12,0,3635,7582
82,안락제2동,27083,2435,"2,200","2,564",2015,1443,830,532,283,89,9,5,5206,12405
83,명장제1동,13946,1113,"1,209","1,426",1231,909,529,339,166,49,7,3,3233,6981
84,명장제2동,14804,1171,"1,310","1,650",1417,911,562,344,141,51,12,1,3439,7570
85,남구,260440,22191,"19,561","22,343",18810,14392,10616,6962,3089,964,191,26,55050,119145
86,대연제1동,15609,1203,982,"1,200",1118,943,717,484,193,50,8,3,3516,6901
87,대연제3동,32537,2590,"2,004","1,975",1507,1063,780,515,244,96,16,3,4224,10793
88,대연제4동,12321,895,911,"1,093",912,766,578,383,173,43,10,1,2866,5765
89,대연제5동,16901,1391,"1,104","1,294",1147,913,680,454,192,61,11,1,3459,7248
90,대연제6동,15306,1231,"1,003","1,029",819,629,441,274,124,43,9,2,2341,5604
91,용호제1동,44078,4324,"3,570","3,685",2880,2109,1507,1022,482,176,32,3,8211,19790
92,용호제2동,16734,1401,"1,261","1,494",1259,947,640,343,194,66,13,0,3462,7618
93,용호제3동,12160,1031,"1,030","1,288",1247,917,683,400,183,52,14,2,3498,6847
94,용호제4동,8498,690,639,845,769,545,370,217,106,37,5,3,2052,4226
95,용당동,8211,809,685,710,650,431,329,201,88,31,4,1,1735,3939
96,감만제1동,12837,1070,"1,067","1,374",1200,885,640,429,173,37,10,0,3374,6885
97,감만제2동,6718,544,544,692,621,508,446,279,113,28,4,1,2000,3780
98,우암동,12738,979,"1,051","1,428",1261,990,732,450,203,83,10,2,3731,7189
99,문현제1동,13506,1261,"1,169","1,253",1067,806,615,411,164,47,10,0,3120,6803
100,문현제2동,8499,635,616,760,625,499,421,338,150,39,11,2,2085,4096
