시군명,사업장명,인허가일자,영업상태명,입소정원(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
가평군,읍내10리경로당,20020123,운영중,42,,경기도 가평군 가평읍 읍내리,,37.8357777189,127.5108932167
가평군,대곡2리경로당,19970521,운영중,50,경기도 가평군 가평읍 새말옛로 10,경기도 가평군 가평읍 대곡리 284-5번지,12417,37.8282310586,127.5101599616
가평군,달전1리경로당,19890516,운영중,58,경기도 가평군 가평읍 북한강변로 1127-1,경기도 가평군 가평읍 달전리 312-1번지,12422,37.8111787596,127.5199684041
가평군,하색1리경로당,19900403,운영중,68,경기도 가평군 가평읍 진동안길 10,경기도 가평군 가평읍 하색리 261-3번지,12424,37.8112331161,127.4968025667
가평군,상색리(벌태봉)경로당,19890516,운영중,47,,경기도 가평군 가평읍 상색리 376번지,12426,37.7923201886,127.4685890652
가평군,가평군지회 상면분회,20040201,운영중,30,,경기도 가평군 상면 연하리 180-4번지,12444,37.8051805015,127.3559818006
가평군,현4리경로당,20021226,운영중,26,,경기도 가평군 하면 현리 567-7번지,12438,37.8177297294,127.3532590891
가평군,청평6리경로당,20061211,운영중,50,,경기도 가평군 청평면,,37.7006061538,127.3961814095
가평군,대곡3리경로당,20061214,운영중,53,경기도 가평군 가평읍 비석거리길 13,경기도 가평군 가평읍 대곡리 197-2번지,12420,37.8230677187,127.5145541626
가평군,백둔리경로당,20010101,운영중,49,,경기도 가평군 북면 백둔리,12406,37.9063601432,127.4617112764
가평군,이곡1리경로당,19860101,운영중,90,경기도 가평군 북면 내촌길 50,경기도 가평군 북면 이곡리 282-2번지,12407,37.8806192392,127.5308539490
가평군,두밀리경로당,19921116,운영중,91,,경기도 가평군 가평읍 두밀리,,37.8251911482,127.4463518408
가평군,경반리경로당,19890516,운영중,70,,경기도 가평군 가평읍 경반리,,37.8417068713,127.4849293205
가평군,승안2리경로당,19890516,운영중,65,,경기도 가평군 가평읍 승안리,,37.8651573574,127.4648877157
가평군,마장1리경로당,19890516,운영중,50,,경기도 가평군 가평읍 마장리 929번지,12409,37.8516204919,127.4992988497
가평군,개곡2리경로당,19920413,운영중,42,경기도 가평군 가평읍 당목가일길 399,경기도 가평군 가평읍 개곡리 348-1번지,12410,37.8687610090,127.5548740606
가평군,산유리경로당,19890516,운영중,63,,경기도 가평군 가평읍,,37.8477015250,127.4521560516
가평군,복장리경로당,19890516,운영중,39,,경기도 가평군 가평읍 복장리,12430,37.7427613479,127.5011237080
가평군,덕현리경로당,19881231,운영중,98,경기도 가평군 상면 광신길 7,경기도 가평군 상면 덕현리 390-1번지,12446,37.7609873044,127.3936751348
가평군,원흥리경로당,19971217,운영중,43,,경기도 가평군 상면 태봉리,,37.8178732126,127.3217779750
가평군,상동리경로당,19950901,운영중,46,,경기도 가평군 상면 상동리,12443,37.7967736898,127.3248890435
가평군,율길2리경로당,19850509,운영중,35,,경기도 가평군 상면 율길리 709번지,12441,37.8276486173,127.2901864050
가평군,운악리경로당,19870720,운영중,62,,경기도 가평군 조종면 운악리,12432,37.8655601834,127.3681681908
