행정구역(동읍면)별,합계,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,고령인구 합계,구간 합계
부산광역시,3356311,284015,271887,305573,242157,173938,122955,83699,38587,12632,2565,681,677214,1538689
중구,40676,3386,3387,4202,3692,2773,2180,1484,661,260,62,16,11128,22103
중앙동,2865,193,174,200,176,112,78,54,30,13,3,0,466,1033
동광동,2684,228,244,304,255,237,191,129,61,28,6,1,908,1684
대청동,6298,508,522,676,497,404,346,206,95,52,13,2,1615,3321
보수동,10594,881,911,1083,956,676,539,400,163,57,13,4,2808,5683
부평동,4538,390,380,528,486,346,258,172,75,30,7,3,1377,2675
광복동,973,89,86,125,119,75,53,44,21,11,2,3,328,628
남포동,926,96,103,148,115,85,57,34,12,6,1,2,312,659
영주1동,4706,355,339,393,385,286,215,142,73,22,6,0,1129,2216
영주2동,7092,646,628,745,703,552,443,303,131,41,11,1,2185,4204
서구,105557,8552,8620,10439,8894,6926,5313,3836,1791,568,123,26,27477,55088
동대신1동,5599,472,444,482,431,325,239,195,112,33,9,3,1347,2745
동대신2동,7359,644,611,749,698,556,454,341,177,51,11,1,2289,4293
동대신3동,7707,588,523,710,597,438,368,269,119,42,13,2,1848,3669
서대신1동,13724,1086,998,1032,882,691,549,396,181,69,17,0,2785,5901
서대신3동,8253,696,635,725,577,420,319,233,121,46,7,2,1725,3781
서대신4동,7763,641,606,686,527,388,281,214,96,43,3,5,1557,3490
부민동,7565,556,512,611,540,369,253,192,100,34,9,3,1500,3179
아미동,6662,547,584,807,718,607,443,389,165,47,12,4,2385,4323
초장동,4317,344,421,481,475,366,323,249,104,35,5,0,1557,2803
충무동,9829,802,865,973,831,665,495,323,150,38,6,1,2509,5149
남부민1동,4889,413,457,600,558,417,343,238,99,34,8,0,1697,3167
남부민2동,9067,763,822,1103,928,811,630,387,191,48,8,3,3006,5694
암남동,12823,1000,1142,1480,1132,873,616,410,176,48,15,2,3272,6894
동구,87705,7326,6976,8671,7470,6005,4665,3315,1564,491,102,69,23681,46654
초량1동,4953,438,380,480,389,330,270,183,67,17,5,0,1261,2559
초량2동,5730,513,479,599,608,501,331,247,114,55,6,10,1872,3463
초량3동,12979,971,806,863,612,399,323,205,119,36,16,2,1712,4352
초량6동,5999,492,509,621,577,509,395,292,163,54,12,10,2012,3634
수정1동,4160,361,316,378,381,306,235,159,69,20,0,3,1173,2228
수정2동,9903,824,830,1035,866,762,526,377,190,51,13,18,2803,5492
수정4동,3929,337,335,409,403,380,317,227,108,35,8,0,1478,2559
수정5동,5350,478,437,567,530,465,380,253,120,42,7,1,1798,3280
좌천동,10815,904,889,1117,947,810,674,470,201,53,12,13,3180,6090
범일1동,11809,1002,1033,1389,1184,873,703,546,244,67,10,3,3630,7054
범일2동,7698,705,671,827,615,426,308,218,96,32,7,7,1709,3912
범일5동,4380,301,291,386,358,244,203,138,73,29,6,2,1053,2031
영도구,111111,9208,9510,11928,10424,8239,6311,4270,1877,575,118,36,31850,62496
남항동,10847,900,967,1201,1083,890,672,447,216,79,13,1,3401,6469
영선1동,3982,318,352,474,403,315,226,147,81,15,9,1,1197,2341
영선2동,8343,677,733,883,765,681,506,371,133,50,12,2,2520,4813
신선동,8405,739,748,961,824,750,652,512,191,61,6,3,2999,5447
봉래1동,6776,504,577,768,673,503,369,277,130,43,10,4,2009,3858
봉래2동,7863,628,626,699,637,547,487,289,126,30,4,1,2121,4074
청학1동,6173,502,485,631,589,469,388,239,102,40,9,1,1837,3455
청학2동,17712,1518,1512,1815,1570,1198,856,563,260,72,15,3,4537,9382
동삼1동,27618,2391,2379,2907,2384,1748,1256,864,381,117,24,8,6782,14459
동삼2동,3392,221,225,342,321,248,223,107,49,15,5,2,970,1758
동삼3동,10000,810,906,1247,1175,890,676,454,208,53,11,10,3477,6440
부산진구,354428,28783,28106,32040,25200,18403,13235,9424,4180,1288,223,58,72011,160940
부전1동,15944,1247,1211,1382,1058,788,511,406,165,50,5,0,2983,6823
부전2동,9887,775,733,791,541,334,220,152,60,31,13,1,1352,3651
연지동,20670,1719,1523,1968,1575,1226,886,591,277,85,21,2,4663,9873
초읍동,22185,1824,1805,2106,1960,1525,1191,776,355,112,17,4,5940,11675
양정1동,20162,1816,1713,1829,1354,986,763,545,290,81,14,4,4037,9395
양정2동,12070,802,710,777,670,517,375,303,116,42,4,2,2029,4318
전포1동,21916,1482,1217,1349,1038,808,584,450,205,69,10,3,3167,7215
전포2동,20942,1579,1463,1881,1523,1225,920,673,282,66,16,1,4706,9629
부암1동,22967,1928,1843,1938,1418,1115,811,493,224,59,13,4,4137,9846
부암3동,17539,1619,1632,1695,1181,886,617,403,186,51,10,3,3337,8283
당감1동,23145,2167,2127,2413,1829,1268,880,695,315,119,20,2,5128,11835
당감2동,10277,714,745,952,744,565,370,273,114,32,2,0,2100,4511
당감4동,11356,1106,1064,1098,899,613,437,326,131,36,10,0,2452,5720
가야1동,19285,1537,1647,1886,1561,1137,818,542,209,65,7,0,4339,9409
가야2동,16887,1401,1425,1644,1377,1023,737,464,197,75,10,5,3888,8358
