관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26710-00001,교리근린공원,근린공원,,부산광역시 기장군 기장읍 교리 산 34-8,35.25526503,129.2143411,21807,온몸근육풀기외 2종,조합놀이대,,,정자 외 2종,2010-11-03,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00002,굿거리언덕공원,근린공원,,부산광역시 기장군 기장읍 내리 800,35.19873169,129.207608,12124.3,온몸노젓기외 4종,,,,정자 외 3 종,2009-06-30,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00003,솔바람언덕공원,근린공원,,부산광역시 기장군 기장읍 내리 802,35.20856226,129.2049563,13989.1,양팔줄당기기외 10종,조합놀이대 외 1종,관리사무소 등,,등의자 외 4종,2011-06-01,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00004,동부근린공원,근린공원,부산광역시 기장군 기장읍 반송로 1618,부산광역시 기장군 기장읍 동부리 428,35.25007433,129.2153044,20287,오팔펴기 외 19종,조합놀이대 외 1종,관리사무소 등,도서관,정자 외 4종,2007-08-22,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00005,길천공원,근린공원,,부산광역시 기장군 장안읍 길천리 산 109-9,35.32779759,129.2843173,9454,달리기 외 7종,,화장실,,파고라 외 1종,2010-11-03,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00006,명례공원,근린공원,,부산광역시 기장군 장안읍 장안리 697,35.36617696,129.2530917,46118.3,하늘걷기 외 3종,,,,파고라 외 2종,2013-12-18,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00007,울례공원,근린공원,,부산광역시 기장군 장안읍 명례리 893,35.37513002,129.2502451,17404,배드민턴지주 등,,,,파고라 외 1종,2013-12-18,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00008,근린공원,근린공원,,부산광역시 기장군 장안읍 반룡리 870,35.33366888,129.2627488,152125.4,하늘걷기 외 8종,조합놀이대,화장실,,파고라 외 3종,2010-10-06,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00009,근린공원,근린공원,,부산광역시 기장군 장안읍 월내리 662-3,35.32458309,129.2599127,26261.1,하늘걷기 외 7종,,,,파고라 외 2종,2010-10-06,부산광역시 기장군청,051-709-4535,2021-12-13
26710-00010,불광산근린공원,근린공원,,부산광역시 기장군 장안읍 장안리 산 53-1,35.377115,129.2325453,7404000,,,화장실 외 1개소,,없음,2005-10-19,부산광역시 기장군청,051-709-4535,2021-12-13
