관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26320-00072,화명중앙공원,문화공원,부산광역시 북구 학사로 128,부산광역시 북구 화명동 2279,35.23375209,129.008452,11977.5,"하늘걷기,마라톤운동기,다리뻗치기,어깨근육풀기,온몸노젖기",,파고라,,화장실,2012-08-01,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00071,구포문화공원,문화공원,부산광역시 북구 낙동북로 755(구포동),부산광역시 북구 구포동 782-43,35.20078111,129.0020931,93552,,,,,,2006-04-26,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00070,화정근린공원,근린공원,,부산광역시 북구 화명동 2328,35.229995,129.011566,10051.1,"하늘걷기,마라톤운동기,온몸노젖기",흔들놀이기구,파고라,,화장실,2012-07-04,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00069,만덕사지당간지주역사공원,역사공원,,부산광역시 북구 만덕동 784,35.215768,129.043395,349,,,,,,2016-08-16,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00068,수정근린공원,근린공원,,부산광역시 북구 화명동 2321,35.223098,129.006387,10016,"거꾸리,윗몸일으키기,옆파도타기,양팔줄당기기,어깨근육풀기,온몸노젖기,허리돌리기",,파고라,,,2001-10-12,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00067,현충근린공원,근린공원,부산광역시 북구 금곡대로229번길 83(화명동),부산광역시 북구 화명동 2304,35.22916373,129.0079962,10002,"윗몸일으키기,옆파도타기,하늘걷기,마라톤운동기,양팔줄당기기,온몸역기올리기,허리돌리기",,파고라,,화장실,2001-10-12,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00066,명진근린공원,근린공원,,부산광역시 북구 화명동 2260,35.238961,129.009497,10001,"3단철봉,거꾸리,옆파도타기,마라톤운동기,등허리지압기,양팔줄당기기,온몸근육풀기,온몸노젖기,온몸역기내리기,허리돌리기,기타",,파고라,,,2001-10-12,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00065,양달숲근린공원,근린공원,,부산광역시 북구 화명동 187,35.244866,129.015053,22525,,,,,,1995-12-16,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00064,화명근린공원,근린공원,,부산광역시 북구 화명동 918-2,35.224411,129.014814,70396,"3단철봉,거꾸리,옆파도타기,농구대,마라톤운동기,다리뻗치기,양팔줄당기기,온몸역기올리기,온몸역기내리기,버터플라이머신,허리돌리기","조합놀이대,흔들놀이기구,그네",파고라,,화장실,2002-08-02,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00063,만덕근린공원,근린공원,,부산광역시 북구 만덕동 산100,35.211951,129.042187,118500,,,,,,2012-07-11,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00062,백양근린공원,근린공원,부산광역시 북구 은행나무로26,부산광역시 북구 만덕동 843,35.2072432,129.0377955,263817.6,"3단철봉,거꾸리,윗몸일으키기,옆파도타기,하늘걷기,다리뻗치기,양팔줄당기기,어깨근육풀기,온몸노젖기,허리돌리기","조합놀이대,흔들놀이기구,그네",파고라,,,1999-11-08,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00061,덕천근린공원,근린공원,,부산광역시 북구 덕천동 산 39-1,35.217156,129.007427,154484,"거꾸리,벤치역기대,윗몸일으키기,옆파도타기,하늘걷기,마라톤운동기,온몸근육풀기,온몸노젖기,온몸역기내리기,허리돌리기",,파고라,,,1997-10-08,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00060,덕천개발지구(휴공원),근린공원,,부산광역시 북구 덕천동 807,35.208668,129.012987,12741,"3단철봉,거꾸리,윗몸일으키기,옆파도타기,평행봉,하늘걷기,양팔줄당기기,온몸근육풀기,어깨근육풀기,온몸노젖기,온몸역기올리기,온몸역기내리기,허리돌리기,기타",,파고라,,,1993-12-01,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00059,금곡근린공원,근린공원,부산광역시 북구 효열로158,부산광역시 북구 금곡동 100-1,35.25942593,129.0161566,11908.9,,조합놀이대,,,,1997-06-25,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00058,구포생태근린공원,근린공원,,부산광역시 북구 구포동 1250-18,35.194341,129.011065,7640,,,,,,1990-09-14,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00057,백양숲공원,근린공원,,부산광역시 북구 구포동 1245,35.194642,129.014213,11853,,,,,,1981-05-30,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00056,덕천소공원,소공원,부산광역시 북구 만덕대로89번길 17,부산광역시 북구 덕천동 358-6,35.213246,129.014132,1281,,,,,,2013-08-28,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
26320-00055,만덕소공원,소공원,,부산광역시 북구 만덕동 826-17,35.216408,129.033278,2399,,,,,,2015-10-21,부산광역시 북구청 청정녹지과,051-309-2054,2021-05-06
