관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26380-00015,더불어공원,어린이공원,,부산광역시 사하구 다대동 86-1,35.066746,128.982562,1784,,,,,,1983-01-26,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00016,근린공원,근린공원,,부산광역시 사하구 다대동 1548-10,35.050161,128.9622379,21365.7,,,,,,1983-01-26,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00017,아미산자생식물원,근린공원,,부산광역시 사하구 다대동 929,35.060864,128.9704912,27969.3,,,,,,1985-12-26,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00018,제2운동공원,근린공원,,부산광역시 사하구 장림동 산145,35.07691737,128.9565922,18485,,,,,,1986-12-02,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00019,제3체육공원,체육공원,,부산광역시 사하구 홍티로 103(다대동),35.063486,128.959731,5994,,,,,,1986-12-02,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00020,해바라기공원,어린이공원,,부산광역시 사하구 하단동1184-4,35.099274,128.9579866,1701,,,,,,1988-03-05,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00021,솔밭공원,어린이공원,,부산광역시 사하구 다대동 113-16,35.061665,128.974551,1828.3,,,,,,1988-12-17,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00022,해송공원,어린이공원,,부산광역시 사하구 다대동 113-7,35.06599316,128.978826,2099.7,,,,,,1988-12-17,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00023,은빛공원,어린이공원,,부산광역시 사하구 다대동 113-4,35.067211,128.9780924,1762.5,,,,,,1988-12-17,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00024,새싹공원,어린이공원,,부산광역시 사하구 다대동 94-7,35.063202,128.9875317,2928.1,,,,,,1990-11-16,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00025,다송공원,어린이공원,,부산광역시 사하구 다대동 94-1,35.068593,128.980615,3142.9,,,,,,1990-11-16,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00026,두송공원,어린이공원,,부산광역시 사하구 다대동 94-3,35.0661161,128.9854785,7713.7,,,,,,1990-11-16,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00027,신평레포츠공원,체육공원,,부산광역시 사하구 신평동 651-9,35.09339926,128.9598379,13223.1,,,,,,1994-03-10,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00028,공간공원,어린이공원,,부산광역시 사하구 다대동 85-14,35.066227,128.9805543,266.7,,,,,,1994-11-18,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00033,대성공원,어린이공원,,부산광역시 사하구 다대동 1552-3,35.048715,128.967364,1516.2,,,,,,1995-12-08,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00034,중현공원,어린이공원,,부산광역시 사하구 다대동 1550-5,35.051391,128.967095,1500.4,,,,,,1995-12-08,부산광역시 사하구청,051-220-4521,2022-03-24
26380-00035,응봉공원,어린이공원,,부산광역시 사하구 다대동 1549-1,35.051547,128.9611951,1500.3,,,,,,1995-12-08,부산광역시 사하구청,051-220-4521,2022-03-24
