관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26500-00001,강변공원,어린이공원,,부산광역시 수영구 망미동 198-1,35.178768,129.116922,1316,,,,,,2009-06-10,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00002,과정공원,어린이공원,,부산광역시 수영구 망미동 417-1,35.172688,129.099203,631,,,,,,2012-05-16,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00003,파랑새공원,어린이공원,,부산광역시 수영구 광안동 180-1,35.151962,129.112905,827.7,,,,,,2015-10-28,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00004,수영공원,근린공원,,부산광역시 수영구 수영동 231,35.171212,129.1139531,23284,,,,,,1996-09-05,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00005,햇살공원,어린이공원,,부산광역시 수영구 망미동 824-8,35.172688,129.099203,633,,,,,,2003-06-05,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00006,광안공원,근린공원,,부산광역시 수영구 광안동 260-2,35.153412,129.118511,65280,,,,,,1996-10-15,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00007,널구지공원,어린이공원,,부산광역시 수영구 민락동 336-43,35.163112,129.129053,1500,,,,,,1996-02-17,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00008,수변공원,어린이공원,,부산광역시 수영구 민락동 110-18,35.155489,129.134419,4189,,,,,,2003-06-05,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00009,호암공원,근린공원,,부산광역시 수영구 광안동 743-5,35.158241,129.111606,5048,,,,,,2005-10-19,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00010,망미공원,근린공원,,부산광역시 수영구 망미동 640-13,35.173911,129.104591,7789,,,,,,2007-08-20,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00010,망미공원,어린이공원,,부산광역시 수영구 망미동 640-11,35.174211,129.107111,2226,,,,,,2007-08-22,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00012,늘푸른공원,어린이공원,,부산광역시 수영구 남천동 152,35.141811,129.113478,2045,,,,,,2009-02-18,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00013,백산어린이공원,어린이공원,,부산광역시 수영구 민락동 770,35.164859,129.122931,2535,,,,,,2007-09-12,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00014,광안1동 소공원,소공원,,부산광역시 수영구 광안동 1302-9,35.164941,129.110943,22,,,,,,2013-06-19,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00015,너울공원,어린이공원,,부산광역시 수영구 민락동 779,35.167248,129.1208004,6599.8,,,,,,2013-12-20,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00016,해오름공원,소공원,,부산광역시 수영구 망미동 1163,35.177931,127.101011,1999.7,,,,,,2008-01-09,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00017,배산공원,소공원,,부산광역시 수영구 망미동 1169,35.177225,129.101685,1424.5,,,,,,2008-01-09,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00018,만남의 공원,소공원,,부산광역시 수영구 망미동 1184,35.173341,129.102196,259.4,,,,,,2014-04-09,부산광역시 수영구청,051-610-4535,2021-09-24
26500-00019,희망공원,소공원,,부산광역시 수영구 망미동 1181,35.174071,129.102578,88.3,,,,,,2018-06-27,부산광역시 수영구청,051-610-4535,2021-09-24
