관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26350-00001,동백공원,근린공원,,부산광역시 해운대구 우동710-3,35.15259434,129.1525397,146350,,,,,,1966-09-01,관광관리시설사업소,,2022-04-11
26350-00002,해운대공원,근린공원,,부산광역시 해운대구 우동 703-1,35.15825347,129.1564918,124739,,,,,,1968-10-07,관광관리시설사업소,,2022-04-11
26350-00003,동래-해운대공원,근린공원,,부산광역시 해운대구 APEC로 58(우동),35.1642391,129.1260081,133149,,,,,,1970-03-27,부산광역시 해운대구,,2022-04-11
26350-00004,바다내음공원,어린이공원,,부산광역시 해운대구 중동 1516-1,35.1612302,129.1720429,421.8,,,,,,1970-11-13,부산광역시 해운대구,,2022-04-11
26350-00005,다소미공원,어린이공원,,부산광역시 해운대구 중동 1508-10,35.1575399,129.1763098,2311.7,,,,,,1970-11-23,부산광역시 해운대구,,2022-04-11
26350-00007,솔바람공원,어린이공원,,"부산광역시 해운대구 송정동 305-5,22",35.18029774,129.1983501,1375.5,,,,,,1970-11-23,부산광역시 해운대구,,2022-04-11
26350-00008,송정공원,근린공원,,부산광역시 해운대구 송정해변로 1-19(송정동),35.180357,129.1970232,49887,,,,,,1971-04-07,관광관리시설사업소,,2022-04-11
26350-00009,도담공원,어린이공원,,부산광역시 해운대구 우2동 933-54,35.1683296,129.1350636,1353.1,,,,,,1972-05-08,부산광역시 해운대구,,2022-04-11
26350-00010,장지공원,근린공원,,부산광역시 해운대구 우동2로32번길 67-5(우동),35.1692059,129.151635,29083,,,,,,1972-12-30,부산광역시 해운대구,,2022-04-11
26350-00011,반여제3공원,근린공원,,부산광역시 해운대구 재송동 산8-1,35.19321248,129.1220694,30410,,,,,,1979-10-22,부산광역시 해운대구,,2022-04-11
26350-00012,희망공원,어린이공원,,부산광역시 해운대구 재반로226번길 48(반여동),35.197702,129.1246864,4241,,,,,,1979-10-22,부산광역시 해운대구,,2022-04-11
26350-00013,으뜸공원,어린이공원,,부산광역시 해운대구 반여동 1594-68,35.199106,129.1344203,940,,,,,,1979-10-22,부산광역시 해운대구,,2022-04-11
26350-00014,별천지공원,어린이공원,,부산광역시 해운대구 재송동 1160-1,35.19158333,129.1327515,1653,,,,,,1982-10-22,부산광역시 해운대구,,2022-04-11
26350-00015,꿈에공원,어린이공원,,부산광역시 해운대구 재반로270번길 14(반여동),35.2012157,129.1237063,659,,,,,,1987-09-30,부산광역시 해운대구,,2022-04-11
26350-00016,한빛공원,어린이공원,,부산광역시 해운대구 재송동 1057-19,35.1884197,129.1246118,1324,,,,,,1987-12-11,부산광역시 해운대구,,2022-04-11
26350-00017,담안골공원,근린공원,,부산광역시 해운대구 반송동 882(반송택지개발지구),35.2277501,129.163538,10099,,,,,,1990-12-13,부산광역시 해운대구,,2022-04-11
26350-00018,부흥공원,근린공원,,부산광역시 해운대구 좌동 1325,35.16893565,129.1818791,10737,,,,,,1992-07-25,부산광역시 해운대구,,2022-04-11
26350-00019,장산공원,근린공원,,부산광역시 해운대구 대천로67번길 48(좌동),35.1762577,129.1568576,49245.6,,,,,,1992-07-25,부산광역시 해운대구,,2022-04-11
26350-00020,대천공원,근린공원,,부산광역시 해운대구 장산로 331-19(좌동),35.1806735,129.1583654,78153.8,,,,,,1992-07-25,부산광역시 해운대구,,2022-04-11
26350-00021,오산공원,근린공원,,부산광역시 해운대구 중동 1762,35.16713479,129.1732319,19488,,,,,,1992-07-25,부산광역시 해운대구,,2022-04-11
26350-00022,햇살공원,어린이공원,,부산광역시 해운대구 좌동 1293,35.1753801,129.1746027,5708,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00023,거미줄공원,어린이공원,,부산광역시 해운대구 좌동 1334,35.1656385,129.1790889,1804,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00024,꿈나무공원,어린이공원,,부산광역시 해운대구 좌동1336,35.1663624,129.1776921,1879,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00025,누림공원,어린이공원,,부산광역시 해운대구 좌동 1437-3,35.17311197,129.1842377,3760,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00026,와우공원,어린이공원,,부산광역시 해운대구 좌동 1452,35.16504225,129.1811558,1878.6,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00027,자유공원,어린이공원,,부산광역시 해운대구 좌동 1447-1,35.1677819,129.1848492,1803.2,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00028,직녀공원,어린이공원,,부산광역시 해운대구 좌동 1322,35.17125289,129.1805602,1793.1,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00029,소담공원,어린이공원,,부산광역시 해운대구 좌동 1376,35.17851458,129.1665199,1972,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00030,푸른공원,어린이공원,,부산광역시 해운대구 좌동 1349,35.17199733,129.1683664,1806.8,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00031,해바람공원,어린이공원,,부산광역시 해운대구 좌동 1364,35.17105879,129.163919,1805.6,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00032,미리내공원,어린이공원,,부산광역시 해운대구 좌동 1416,35.17826585,129.1791161,2502.8,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00033,산들공원,어린이공원,,부산광역시 해운대구 좌동 1397,35.17935913,129.1723708,2720,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00034,견우공원,어린이공원,,부산광역시 해운대구 좌동 1311,35.17152923,129.1799416,1799,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00035,웃음누리공원,어린이공원,,부산광역시 해운대구 좌동 1347-4,35.16847014,129.1673318,3898.7,,,,,,1992-08-06,부산광역시 해운대구,,2022-04-11
26350-00036,푸른숲공원,어린이공원,,부산광역시 해운대구 해운대로81번길 117(재송동),35.191395,129.117835,1730.3,,,,,,1994-11-25,부산광역시 해운대구,,2022-04-11
