연번,경로당명,시설장,주소,연락처
1,우동(남)경로당,김일환,부산광역시 해운대구 우동1로38번길 31-8 (우동),051-747-3688
2,우동(여)경로당,김금자,부산광역시 해운대구 우동1로38번길 31-8 (우동),051-742-2691
3,운촌(남)경로당,이상줄,부산광역시 해운대구 해운대로 541-29 (우동),051-747-8227
4,운촌(여)경로당,권진숙,"부산광역시 해운대구 해운대해변로209번나길12 407호(우동, 세움오피스텔)",051-742-2811
5,우일(여)경로당,김선이,부산광역시 해운대구 우동1로 69-8 (우동),051-746-2642
6,벽산금호빌라경로당,김윤자,"부산광역시 해운대구 우동1로 85번길17 (우동, 벽산금호빌라)",051-742-2369
7,신동비치아파트경로당,김복순,"부산광역시 해운대구 우동2로 88 (우동, 신동비치맨션)",
8,협성그린맨션경로당,김시영,"부산광역시 해운대구 우동1로 111 (우동, 협성그린파크)",051-744-0886
9,롯데아파트경로당,정애숙,"부산광역시 해운대구 해운대로483번길 10 (우동, 롯데아파트)",051-916-0293
10,한적골경로당,이창형,"부산광역시 해운대구 우동2로30번길 79, 지하 비이101호 (우동)",051-744-1436
11,해운파크노인회,한춘목,"부산광역시 해운대구 우동1로71번길 9-9 (우동, 해운파크맨션)",051-741-6927
12,한마음부녀경로당,한옥자,"부산광역시 해운대구 우동3로 41, 202호 (우동, 새한연립)",051-747-0385
13,우정회노인회,김금순,부산광역시 해운대구 우동2로14번길 27-1 (우동),051-902-6767
14,협성프라임빌APT경로당,김숙인,"부산광역시 해운대구 우동2로 93 (우동, 해운대협성프라임빌)",051-743-5220
15,해운경로당,하차혜,부산광역시 해운대구 구남로12번길 10-1(우동),051-731-1561
16,해운대반도보라빌 경로당,나문찬,"부산광역시 해운대구 해운대로 495 (우동, 해운대반도보라빌)",051-731-0724
17,동백경로당,이종수,부산광역시 해운대구 해운대로483번길 5 (우동),051-747-2245
18,사랑채경로당,조말순,부산광역시 해운대구 우동1로85번길 22 (우동) ,051-747-3916
19,만복경로당,최종자,부산광역시 해운대구 우동1로 45-14(우동),
20,경동제이드 경로당,한숙자,부산광역시 해운대구 해운대해변로 197 102동 4층(경동제이드),
21,동백제니스경로당,김병언,"부산광역시 해운대구 해운대로 540, 4층 희경당(우동, 동백두산위브더제니스)",051-747-8015
22,삼호가든아파트 경로당,윤영재,"부산광역시 해운대구 해운대로349번길 24 (우동, 삼호가든)",051-742-8694
23,우2동경로당,박영구,부산광역시 해운대구 해운대로391번길 9 (우동),051-742-0671
