관리기관명,경로당명,소재지,연락처,위도,경도,X좌표,Y좌표,읍면동
중구,중앙동경로당,부산광역시 중구 중앙대로115번길 1-6,051-468-9982,35.10784679,129.0358338,1139967.538,1680263.547,중앙동
중구,동광동경로당,부산광역시 중구 샘길 12,051-463-1936,35.1064329,129.0329371,1139707.362,1680106.115,대청동
중구,동광동할머니경로당,부산광역시 중구 동광길111번길 11,051-468-5226,35.1079084,129.0350041,1139893.576,1680274.849,동광동
중구,대청만우경로당,부산광역시 중구 중구로91번안길 15,051-469-8070,35.10521841,129.0297317,1139416.849,1679966.393,대청동
중구,대청화목경로당,부산광역시 중구 대청북길 14,051-463-1535,35.10531326,129.0287924,1139331.558,1679976.204,대청동
중구,대청공원경로당,부산광역시 중구 망양로355번길 37,051-468-4019,35.1062727,129.0288702,1139337.099,1680082.506,대청동
중구,보수새마을경로당,부산광역시 중구 망양로319번길 26,051-253-1676,35.10662258,129.0270155,1139167.136,1680118.907,보수동
중구,보수죽화경로당,부산광역시 중구 망양로 252 (보수동1가),051-255-3634,35.10850562,129.0247813,1138960.747,1680325.163,보수동
중구,보수보혜경로당,부산광역시 중구 보동길 17,051-248-0678,35.10482381,129.0268553,1139155.449,1679918.578,보수동
중구,구름다리경로당,부산광역시 중구 흑교로78번안길 24-3,051-248-0595,35.10715517,129.0249403,1138976.949,1680176.402,보수동
중구,대림에이스경로당,"부산광역시 중구 법수길 74 (보수동1가, 대림에이스타운)",051-256-7350,35.10705681,129.0252825,1139009.45,1680165.243,보수동
중구,보수경로당,부산광역시 중구 흑교로52번길 6,051-257-3321,35.10422267,129.0252902,1139013.471,1679850.63,보수동
중구,보수부녀경로당,부산광역시 중구 법수길 5,051-243-0415,35.10437611,129.0256802,1139049.125,1679864.037,보수동
중구,보수2가경로당,부산광역시 중구 보수대로124번길 21-7,051-248-2640,35.10604402,129.0228146,1138785.639,1680049.073,보수동
중구,보수매화경로당,부산광역시 중구 보수대로124번길 21-7,051-248-2640,35.10604402,129.0228146,1138785.639,1680049.073,보수동
중구,보수대밭골경로당,부산광역시 중구 고가길6,051-231-8890,35.10459139,129.0261601,1139093.218,1679892.716,보수동
중구,부평동경로당,부산광역시 중구 중구로 29번길 21 (부평동),051-246-6506,35.100364,129.026752,1139152.483,1679424.449,부평동
중구,부평희망경로당,부산광역시 중구 흑교로25번길 25-1,051-231-2341,35.10189534,129.0223784,1138752.703,1679588.075,부평동
중구,영주1동경로당,부산광역시 중구 초량상로7번길 11,051-463-1511,35.11321484,129.0341199,1139803.709,1680860.968,영주1동
중구,대명경로당,"부산광역시 중구 중구로 182-6, 303호",051-442-1555,35.11087375,129.0347869,1139869.747,1680600.713,영주1동
중구,우남이채롬경로당,부산광역시 중구 초량상로 13,051-469-1788,35.11361584,129.0352535,1139908.594,1680903.587,영주1동
중구,영주충효경로당,부산광역시 중구 동영로73번길 3,051-469-5666,35.11181449,129.0319457,1139607.833,1680702.163,영주2동
중구,영주2동경로당,부산광역시 중구 영초길 77,051-462-4552,35.11400966,129.0320639,1139614.611,1680945.351,영주2동
중구,영주금호타운경로당,부산광역시 중구 영주로 51-2,051-468-8094,35.11181747,129.0302731,1139455.476,1680699.314,영주2동
중구,동아11블럭경로당,부산광역시 중구 영주로 65,051-441-7485,35.11224455,129.0297988,1139418.983,1680749.637,영주2동
중구,동아9블럭경로당,부산광역시 중구 영주로 73,051-468-9590,35.1136528,129.0299776,1139426.15,1680904.899,영주2동
중구,은하아파트경로당,부산광역시 중구 영주로 87,051-463-7999,35.11449301,129.0311256,1139527.932,1680997.25,영주2동
중구,영주아파트경로당,부산광역시 중구 망양로 396,051-462-4331,35.11186384,129.0295546,1139389.26,1680702.873,영주2동
중구,영주자유경로당,부산광역시  중구 망양로 371-3 (영주동),051-469-2223,35.10978522,129.0302028,1139451.958,1680474.678,영주2동
중구,,,,,,,,광복동
서구,제1경로당,부산광역시 서구 구덕로274번길 56(동대신동1가),051-242-3927,35.10980418,129.0218638,1138692.355,1680464.65,동대신1동
서구,제1부녀경로당,부산광역시 서구 구덕로274번길 56(동대신동1가),051-242-6487,35.10980418,129.0218638,1138692.355,1680464.65,동대신1동
서구,장수경로당,부산광역시 서구 망양로 224-3(동대신동1가),051-243-7896,35.11057885,129.0245074,1138931.483,1680552.893,동대신1동
서구,동일경로당,부산광역시 서구 보동길 193-4(동대신동1가),051-255-0799,35.11085511,129.0240568,1138890.574,1680584.503,동대신1동
서구,북산경로당,부산광역시 서구 중앙공원로 23-1(동대신동2가),051-242-1977,35.11623525,129.02379,1138856.827,1681181.099,동대신2동
서구,초현경로당,부산광역시 서구 망양로174번길 8(동대신동2가),051-248-5226,35.11428167,129.0242978,1138906.738,1680966.01,동대신2동
서구,동산경로당,부산광역시 서구 망양로195번길 18(동대신동2가),051-241-6844,35.11288157,129.0270117,1139156.299,1680813.29,동대신2동
서구,서부경로당,"부산광역시 서구 보수대로210번길 2(동대신동2가),1층",051-255-2990,35.11389801,129.0206986,1138579.251,1680917.067,동대신2동
서구,동대2부녀경로당,부산광역시 서구 보수대로210번길 2(동대신동2가),051-242-0302,35.11389801,129.0206986,1138579.251,1680917.067,동대신2동
서구,무궁화경로당,부산광역시 서구 망양로 202-9(동대신동2가),051-242-4516,35.11237337,129.0254882,1139018.049,1680754.774,동대신2동
서구,대신경로당,부산광역시 서구 망양로113번길 1(동대신동3가),051-242-2445,35.11749716,129.0193178,1138453.115,1681312.764,동대신3동
서구,관덕부녀경로당,부산광역시 서구 망양로113번길 1(동대신동3가),051-242-6077,35.11749716,129.0193178,1138453.115,1681312.764,동대신3동
서구,동신경로당,부산광역시 서구 구덕로334번길 20(동대신동3가),051-231-6441,35.11375737,129.0169805,1138240.661,1680896.159,동대신3동
서구,구덕골경로당,"부산광역시 서구 보수대로230번길 17,102호(동대신동3가)",051-253-6441,35.11556199,129.0195061,1138470.188,1681097.401,동대신3동
서구,산월경로당,부산광역시 서구 해돋이로 381(서대신동1가),051-253-4371,35.10632319,129.0123414,1137823.472,1680083.107,서대신1동
서구,상록고운경로당,부산광역시 서구 구덕로285번길 30-5(서대신동1가),051-241-1008,35.10913422,129.0164078,1138196.273,1680382.986,서대신1동
서구,서대2경로당,부산광역시 서구 대티로 129-5(서대신동2가),051-253-4075,35.11075581,129.009485,1137562.577,1680552.893,서대신1동
서구,서대경로당,부산광역시 서구 구덕로305번길 4-23(서대신동2가),051-243-6505,35.11146714,129.0157014,1138127.657,1680641.924,서대신1동
서구,구덕경로당,부산광역시 서구 대신로 13-3 (서대신동3가),051-242-8656,35.11286905,129.0117077,1137756.179,1680794.849,서대신3동
서구,구덕부녀경로당,부산광역시 서구 대신로 13-4,051-244-7873,35.1129092,129.0118567,1137773.926,1680798.098,서대신3동
서구,구덕자유아파트경로당,"부산광역시 서구 망양로33번길 27(서대신동3가,구덕자유아파트)",051-254-7954,35.11378127,129.0124484,1137824.688,1680869.362,서대신3동
서구,협성아파트경로당,"부산광역시 서구 대티로143번길 4 (서대신동3가,협성아파트)",051-245-1585,35.11208721,129.0103868,1137642.091,1680701.732,서대신3동
서구,대신롯데캐슬아파트경로당,"부산광역시 서구 대티로 161(서대신동3가,대신롯데캐슬아파트)",051-244-9003,35.11666873,129.010293,1137635.613,1680951.47,서대신3동
서구,수원경로당,부산광역시 서구 꽃마을로 72-6 (서대신동3가),051-248-5980,35.12047003,129.0106324,1137650.103,1681631.006,서대신4동
서구,꽃마을경로당,부산광역시 서구 꽃마을로163번길 7(서대신동3가),051-243-4852,35.12735537,129.0068386,1137293.508,1682390.687,서대신4동
서구,남성한빛아파트경로당,"부산광역시 서구 꽃마을로 43 (서대신동3가, 남성한빛아파트)",051-975-2845,35.11754115,129.0113092,1137717.195,1681371.999,서대신4동
서구,한마음경로당,부산광역시 서구 꽃마을로 65번길10-3 (서대신동3가),051-244-6777,35.1198327,129.0102638,1137618.387,1681561.528,서대신4동
서구,꽃마을부녀경로당,부산광역시 서구 꽃마을로163번길 7 (서대신동3가),051-243-4852,35.12735537,129.0068386,1137293.508,1682390.687,서대신4동
서구,금호어울림아파트경로당,"부산광역시 서구 꽃마을로57번길 21-3, 101동 102호 (서대신동3가,금호어울림아파트)",051-923-9003,35.11909154,129.0102604,1137621.949,1681477.507,서대신4동
서구,한신휴경로당,부산광역시 서구 보수대로284 (서대신동4가),051-231-4266,35.11990777,129.0130648,1138024.644,1681507.885,서대신4동
서구,유진대림아파트경로당,부산광역시 서구 보수대로320번길11,051-254-6023,35.12069038,129.0120377,1137750.189,1681665.184,서대신4동
서구,대신더샵경로당,"부산광역시 서구 꽃마을로 48(서대신동3가, 대신 더샵)",051-257-2100,35.11837833,129.0121998,1137795.983,1681400.615,서대신4동
서구,부용경로당,부산광역시 서구 부용로38번길 26-12(부용동2가),051-247-2340,35.10673328,129.0183854,1138384.8,1680123.421,부민동
서구,부민경로당,부산광역시 서구 해돋이로 323(부민동3가),051-257-1385,35.10498402,129.0168151,1138242.3,1679919.027,부민동
서구,부민e-편한세상경로당,"부산광역시 서구 해돋이로 313(부민동3가,부민이편한세상)",051-992-0202,35.1043131,129.016549,1138218.349,1679848.792,부민동
서구,아미1동경로당,부산광역시 서구 구덕로185번길 28,051-247-3867,35.10136676,129.0182831,1138380.28,1679523.999,아미동
서구,2.8부녀경로당,부산광역시 서구 옥천로 141-1,051-247-3859,35.09826419,129.0113499,1137753.392,1679172.432,아미동
서구,아산경로당,부산광역시 서구 까치고개로 123-3,051-244-6451,35.10236975,129.0109114,1137706.714,1679624.878,아미동
서구,아미경로당,부산광역시 서구 까치고개로 158-1,051-247-0277,35.10009451,129.0133832,1137935.229,1679375.769,아미동
서구,천아경로당,부산광역시 서구 아미로 19-1,051-256-5427,35.09876115,129.0119494,1137807.326,1679226.231,아미동
서구,천부경로당,부산광역시 서구 옥천로164번길 36,051-243-7366,35.09879776,129.0117636,1137791.976,1679233.789,아미동
서구,어르신쉼터경로당,부산광역시 서구 해돋이로239번길 11-1,051-253-8528,35.09773523,129.0164999,1138223.743,1679118.331,아미동
서구,덕이경로당,부산광역시 서구 천마산로 416,051-231-3326,35.09842107,129.0145738,1138047.885,1679190.382,아미동
서구,송이경로당,부산광역시 서구 천마산로 416,051-231-3325,35.09842107,129.0145738,1138047.885,1679190.382,아미동
서구,초향경로당,부산광역시 서구 해돋이로 182(초장동),051-248-8255,35.09342586,129.0184718,1138410.975,1678643,초장동
서구,초장할머니경로당,부산광역시 서구 초장로8번길 38-116 (초장동),051-248-2155,35.09295393,129.019807,1138533.597,1678590.901,초장동
서구,충무경로당,부산광역시 서구 새벽시장길 5,051-241-0532,35.09602193,129.0250816,1139009.042,1678940.485,충무동
서구,산해경로당,부산광역시 서구 천마로205번길 53-1(충무동2가),051-254-9837,35.09589657,129.0218489,1138714.878,1678921.058,충무동
서구,산해할머니경로당,부산광역시 서구 천마로205번길 53-1(충무동2가),051-246-5098,35.09589657,129.0218489,1138714.878,1678921.058,충무동
서구,신창경로당,부산광역시 서구 자갈치로 14-11(충무동1가),051-256-5606,35.09594124,129.0261031,1139102.321,1678932.879,남포동
서구,남부경로당(하),부산광역시 서구 충무대로256번길 2 (남부민동),051-254-7761,35.09327947,129.0240837,1138923.264,1678636.585,남부민1동
서구,천마경로당,부산광역시 서구 해돋이로 156(남부민동),051-247-3657,35.09168355,129.0199365,1138547.622,1678451.534,남부민1동
서구,남일경로당,부산광역시 서구 천마로 176(남부민동),051-242-6613,35.09132016,129.0228993,1138818.932,1678412.716,남부민1동
서구,부암경로당,부산광역시 서구 천해로34번길 1(남부민동),051-241-1898,35.0843914,129.0158647,1138188.5,1677637.745,남부민2동
서구,상조경로당,부산광역시 서구 해돋이로 55(남부민동),051-255-9998,35.08432179,129.0193052,1138501.738,1677634.001,남부민2동
서구,천우경로당,부산광역시 서구 천마로 115(남부민동),051-255-0888,35.08616055,129.0226352,1138802.696,1677842.737,남부민2동
서구,남성경로당,부산광역시 서구 천마로 116-1(남부민동),051-256-4364,35.0861718,129.022863,1138823.544,1677844.889,남부민2동
서구,동심부녀경로당,부산광역시 서구 충무대로 159-19(남부민동),051-244-2253,35.08462789,129.0244183,1138967.914,1677675.741,남부민2동
서구,등대경로당,부산광역시 서구 등대로 109(남부민동),051-253-5074,35.0853461,129.0264421,1139152.243,1677756.599,남부민2동
서구,대림비치아파트경로당,"부산광역시 서구 충무대로 133 (남부민동,대림비치아파트)",051-243-5414,35.0822588,129.0246437,1139003.613,1677444.648,남부민2동
서구,남산경로당,부산광역시 서구 충무대로145번길 16(남부민동),051-253-8331,35.08306911,129.024586,1138985.88,1677503.138,남부민2동
서구,대진경로당,"부산광역시 서구 충무대로 185 (남부민동,대진타워)",051-242-9457,35.08717915,129.02412,1138931.857,1677958.594,남부민2동
서구,남부민풀리페아파트경로당,"부산광역시 서구 해돋이로 23 (남부민동,풀리페아파트 101동)",051-248-6660,35.08258529,129.0183702,1138575.074,1677482.091,남부민2동
