"* 제시된 정류소리스트, 고유번호 및 X,Y 좌표는 실제현장과 상이할 수 있습니다.",,,,,,,,,
"* X,Y 좌표는 WGS84 경위도로 구성되어 있습니다.",,,,,,,,,
* 20220413기준 입니다.,,,,,,,,,
,,,,,,,,,
BUSLINENUM,ORD,NAME,SIGUNNAME,GUNAME,DONGNAME,X,Y,UNIQUEID,BUSSTOPID
10,1,연제공용버스차고지,부산광역시,,,129.0531722,35.1852428,13179,50000001059
10,2,초읍고개,부산광역시,,,129.054089,35.18547513,13183,50000002492
10,3,개인택시조합,부산광역시,연제구,거제2동,129.0557105,35.18678579,13132,21130521003
10,4,부산의료원,부산광역시,연제구,거제2동,129.0605792,35.18825674,13123,21130521007
10,5,삼정그린아파트,부산광역시,연제구,거제2동,129.0630257,35.18948288,13029,21130521008
10,6,사직실내수영장,부산광역시,,,129.0635433,35.19211357,13170,50000001064
10,7,아시아드주경기장,부산광역시,,,129.0603379,35.19146527,13172,50000001062
10,8,사직119안전센터,부산광역시,,,129.0588502,35.19471672,13174,50000001060
10,9,사직여중,부산광역시,동래구,사직2동,129.0563744,35.19497738,6103,21060591019
10,10,사직여고,부산광역시,동래구,사직2동,129.0536218,35.19724202,6105,21060591001
10,11,사직중학교,부산광역시,동래구,사직2동,129.0543104,35.19942917,6106,21060591005
10,12,사직초등학교,부산광역시,동래구,사직2동,129.0558273,35.2005879,6107,21060591006
10,13,사직2동주민센터,부산광역시,동래구,사직2동,129.0569129,35.20028776,6108,21060591007
10,14,삼익아파트,부산광역시,동래구,사직2동,129.0588327,35.19965706,6111,21060591008
10,15,국민시장,부산광역시,동래구,사직2동,129.0599718,35.19888489,6112,21060591009
10,16,사직야구장,부산광역시,동래구,사직2동,129.0607446,35.19623931,6125,21060591017
10,17,사직운동장,부산광역시,동래구,사직1동,129.0651848,35.19640075,6129,21060581001
10,18,여명중학교,부산광역시,동래구,사직3동,129.069993,35.1958973,6133,21060601004
10,19,대선주조,부산광역시,연제구,거제1동,129.0726592,35.19644925,13001,21130511001
10,20,화신아파트,부산광역시,연제구,거제1동,129.0750535,35.19821456,13002,21130511002
10,21,교대역,부산광역시,,,129.0796335,35.19662561,13701,50000002604
10,22,동해선교대역,부산광역시,,,129.0795449,35.19423007,13713,50000002605
10,23,거제1치안센터,부산광역시,연제구,거제1동,129.0775507,35.19128113,13011,21130511016
10,24,법원검찰청.거제역,부산광역시,연제구,거제1동,129.0750275,35.1896623,13137,21130511003
10,25,경남아파트,부산광역시,연제구,거제3동,129.0719909,35.1867945,13026,21130531003
10,26,동해선거제해맞이역,부산광역시,연제구,거제3동,129.069405,35.18177491,13031,21130531009
10,27,유림아시아드아파트.거제초교,부산광역시,부산진구,양정1동,129.0674057,35.1765225,13035,21050561013
10,28,하마정,부산광역시,부산진구,양정1동,129.0672891,35.17447258,5027,21050561001
10,29,양정대원칸타빌,부산광역시,부산진구,양정1동,129.0671752,35.17144606,5026,21050561009
10,30,송상현광장,부산광역시,,,129.065461,35.16639336,5705,50000002618
10,31,부전역,부산광역시,,,129.063209,35.16304339,5707,50000002620
10,32,부전시장,부산광역시,,,129.0610847,35.16040312,5709,50000002621
10,33,서면역.서면지하상가,부산광역시,,,129.0590191,35.15594596,5711,50000002623
10,34,서면한전,부산광역시,,,129.0590381,35.15321511,5713,50000002626
10,35,범내골역,부산광역시,,,129.0591111,35.14871256,5715,50000002989
10,36,중앙시장,부산광역시,,,129.0591913,35.14361961,5717,50000002991
10,37,범일동국민은행,부산광역시,동구,범일2동,129.0608784,35.13892595,3146,21030661002
10,38,문현교차로,부산광역시,남구,문현3동,129.0714578,35.13708849,7048,21070681004
10,39,문현3동행정복지센터,부산광역시,남구,문현3동,129.0712406,35.13885306,7039,21070681010
10,40,문현삼거리,부산광역시,남구,문현3동,129.0730512,35.14167366,7038,21070681005
10,41,현대주유소,부산광역시,남구,문현3동,129.0760116,35.14331191,7030,21070681007
10,42,대연SK뷰아파트,부산광역시,남구,대연6동,129.0787279,35.1413729,7028,21070561001
10,43,연포초등학교,부산광역시,남구,대연6동,129.0831078,35.13815681,7026,21070561006
10,44,부산세무고,부산광역시,남구,대연6동,129.0866989,35.13799895,7024,21070561007
10,45,대연교회,부산광역시,남구,대연5동,129.0907682,35.1380472,7022,21070551002
10,46,대연초등학교,부산광역시,남구,대연5동,129.0914643,35.13652177,7021,21070551007
10,47,대연역,부산광역시,남구,대연1동,129.0948684,35.13532545,7015,21070511003
10,48,경성대학교입구,부산광역시,남구,대연3동,129.1003691,35.13637681,7010,21070531028
10,49,부경대대연캠퍼스,부산광역시,남구,대연3동,129.1010586,35.13234515,7012,21070531016
10,50,대천중학교,부산광역시,남구,대연3동,129.1027085,35.12808492,7124,21070531015
10,51,한국산업인력공단남부지사,부산광역시,남구,대연3동,129.1015171,35.1271415,7121,21070531020
10,52,동명대학교정문,부산광역시,남구,용당동,129.0990674,35.12275288,7119,21070611006
10,53,동명대학교후문,부산광역시,남구,용당동,129.0980137,35.12058127,7112,21070611004
10,54,부경대용당캠퍼스,부산광역시,남구,용당동,129.0957618,35.11796307,7114,21070611008
10,55,용당동,부산광역시,남구,용당동,129.0948786,35.11565552,7193,21070611001
10,56,신선대부두입구,부산광역시,,,129.0954929,35.11380502,7203,50000000712
10,57,현대오일뱅크,부산광역시,,,129.0879189,35.11053391,7204,50000000713
10,58,감만현대아파트사거리,부산광역시,,,129.0837105,35.11064583,,50000002857
10,59,현대오일뱅크,부산광역시,,,129.0880225,35.11029783,7205,50000000714
10,60,신선대CNG충전소,부산광역시,남구,용당동,129.0958902,35.11370811,7192,21070611025
10,61,용당동,부산광역시,남구,용당동,129.0952205,35.11571362,7194,21070611002
10,62,부경대용당캠퍼스,부산광역시,남구,용당동,129.0964663,35.11827928,7115,21070611013
10,63,동명대학교후문,부산광역시,남구,용당동,129.0981137,35.120201,7113,21070611003
10,64,동명대학교정문,부산광역시,남구,용당동,129.0993979,35.12259847,7120,21070611005
10,65,한국산업인력공단남부지사,부산광역시,남구,대연3동,129.1019278,35.12711637,7122,21070531017
10,66,대천중학교,부산광역시,남구,대연3동,129.1031637,35.1279612,7123,21070531018
10,67,도로교통공단,부산광역시,남구,대연3동,129.103184,35.13093844,7126,21070531022
10,68,부경대대연캠퍼스,부산광역시,남구,대연3동,129.1012804,35.13287689,7011,21070531023
10,69,경성대학교입구,부산광역시,남구,대연3동,129.1007044,35.13642336,7009,21070531026
10,70,경성대학교,부산광역시,남구,대연3동,129.097944,35.13654414,7013,21070531025
10,71,대연사거리(대연역),부산광역시,남구,대연5동,129.0934069,35.13532052,7018,21070551005
10,72,대연초등학교,부산광역시,남구,대연5동,129.0918248,35.13618421,7020,21070551004
10,73,대연교회,부산광역시,남구,대연5동,129.0901975,35.1381797,7023,21070551001
10,74,부산세무고,부산광역시,남구,대연6동,129.0860954,35.13817083,7025,21070561002
10,75,연포초등학교,부산광역시,남구,대연6동,129.0814881,35.13855302,7027,21070561005
10,76,대연SK뷰아파트,부산광역시,남구,문현1동,129.0789559,35.14146286,7029,21070661005
10,77,현대주유소,부산광역시,,,129.0760183,35.14351713,7217,50000002160
10,78,문현삼거리,부산광역시,,,129.0727498,35.14160407,7218,50000002161
10,79,문현3동행정복지센터,부산광역시,남구,문현3동,129.0709752,35.13898826,7040,21070681006
10,80,문현교차로,부산광역시,남구,문현3동,129.0701294,35.13713748,7046,21070681003
10,81,자성대,부산광역시,동구,범일2동,129.0624202,35.13737074,3143,21030661016
10,82,범일역,부산광역시,,,129.059507,35.13873445,3702,50000002992
10,83,중앙시장,부산광역시,,,129.059429,35.14325962,5716,50000002990
10,84,범내골역.상공회의소,부산광역시,부산진구,범천1동,129.0610247,35.14776933,5223,21050771010
10,85,지오플레이스,부산광역시,부산진구,전포3동,129.063214,35.14919404,5238,21050621003
