약국명칭,약국우편번호(도로명),약국소재지(도로명),약국구분
아름다운약국,47611,"부산광역시 연제구 봉수로 2, 힐스테이트연산1단지 121동 102호 (연산동)",약국
박하약국,47590,"부산광역시 연제구 월드컵대로 52, 상원빌딩 1층 (연산동)",약국
사랑약국,47604,"부산광역시 연제구 연수로 105, 1층 (연산동)",약국
햇살가득약국,47524,"부산광역시 연제구 월드컵대로 142-1, 동해메디컬 (연산동)",약국
당찬약국,47580,"부산광역시 연제구 월드컵대로 82, 103호 (연산동)",약국
새그린 약국,47527,"부산광역시 연제구 월드컵대로 343, 201,202호 (거제동, 대우그린타워아파트)",약국
연산 온누리 약국,47549,"부산광역시 연제구 반송로 28, 1층 일부호 (연산동)",약국
연산트레이더스약국,47569,"부산광역시 연제구 좌수영로 241, 지하3층 (연산동)",약국
서문약국,47552,"부산광역시 연제구 연동로8번길 44, 1층 일부호 (연산동)",약국
금파약국,47569,"부산광역시 연제구 과정로 180, 1층 102호 (연산동)",약국
연제약국,47512,"부산광역시 연제구 거제대로 295, 지하1층 일부호 (거제동)",약국
연산다온약국,47518,"부산광역시 연제구 반송로 89, 1층 일부호 (연산동)",약국
보광약국,47594,부산광역시 연제구 연수로 219-1 (연산동),약국
초록약국,47501,"부산광역시 연제구 아시아드대로 79, 1층 (거제동)",약국
한사랑약국,47507,"부산광역시 연제구 법원북로65번길 3, 1층 (거제동)",약국
메디칼사랑약국,47572,"부산광역시 연제구 과정로 102, 1층 (연산동)",약국
연제로약국,47544,부산광역시 연제구 거제시장로 43 (거제동),약국
별빛약국,47560,"부산광역시 연제구 신금로 25, 151호 (연산동)",약국
동민약국,47605,"부산광역시 연제구 연제로8번길 30, 상가2동 1층 201호 (연산동, 브라운스톤연제2단지)",약국
우리들약국,47514,"부산광역시 연제구 명륜로2번길 7, 1층 104호 (거제동, 삼익퓨쳐타워아파트)",약국
행복약국,47576,"부산광역시 연제구 월드컵대로 128, 행복한메디컬센타 1층 (연산동)",약국
다나은 약국,47518,"부산광역시 연제구 거제천로 258, 월드빌스포츠센터 104호 (연산동)",약국
뉴이메디약국,47524,"부산광역시 연제구 중앙대로 1107, 연산동e메디칼 (연산동)",약국
연산중앙약국,47564,"부산광역시 연제구 과정로 274, 영지빌딩 (연산동)",약국
미소약국,47542,부산광역시 연제구 중앙대로 1045 (연산동),약국
산들약국,47549,"부산광역시 연제구 고분로13번길 15, 1층 (연산동)",약국
정약국,47592,"부산광역시 연제구 연수로 167, 1층 (연산동)",약국
연산현약국,47520,"부산광역시 연제구 반송로 5, 흥국빌딩 1층 (연산동)",약국
사계절 한약국,47501,부산광역시 연제구 종합운동장로 24 (거제동),한약국
지성한약국,47560,부산광역시 연제구 신금로 21-2 (연산동),한약국
감사약국,47542,"부산광역시 연제구 중앙대로 1043, 1층 (연산동)",약국
바른약국,47521,부산광역시 연제구 월드컵대로 186 (거제동),약국
하얀약국,47520,"부산광역시 연제구 반송로 33 (연산동, 샤르망라이프)",약국
다사랑약국,47527,"부산광역시 연제구 월드컵대로 343 (거제동, 대우그린타워아파트)",약국
프라임약국,47565,"부산광역시 연제구 안연로 38, 1층 (연산동)",약국
바나나약국,47525,부산광역시 연제구 아시아드대로 52 (거제동),약국
이화약국,47542,부산광역시 연제구 중앙대로 1033 (연산동),약국
