약국명칭,약국전화번호,약국소재지(도로명)
오늘약국,051-512-3131,"부산광역시 금정구 중앙대로1841번길 19, 용화빌딩 1층 (구서동)"
늘푸른약국,051-522-3426,"부산광역시 금정구 서부로 31, 농협직판장 1층 (서동)"
다온약국,051-515-7468,"부산광역시 금정구 금강로 441, 태영빌딩 (구서동)"
스타약국,051-714-0107,"부산광역시 금정구 온천장로 146, 1층 (장전동)"
제일약국,051-582-3428,"부산광역시 금정구 무학송로 105-1, 1층 (부곡동)"
편한약국,051-583-8123,"부산광역시 금정구 두실로 26, 진경빌딩 1층 (남산동)"
호호약국,051-517-7501,"부산광역시 금정구 동현로16번길 65, 1층 4호 (부곡동, 부곡영화맨션)"
범어약국,,"부산광역시 금정구 청룡예전로 2, 경신빌딩 1층 (청룡동)"
햇님약국,051-582-6119,"부산광역시 금정구 중앙대로1685번길 15, 1층 (부곡동)"
부산METRO약국,,"부산광역시 금정구 장전온천천로 48, 부산대지하철역 1층 (장전동)"
다솜약국,,"부산광역시 금정구 수림로20번길 36, 주2동 1층 102호 (부곡동)"
건강메디칼약국,,부산광역시 금정구 중앙대로 1829 (구서동)
가온샘약국,051-912-7790,"부산광역시 금정구 장전로 10, 1층 104호 (장전동)"
푸른약국,,부산광역시 금정구 부곡로 122-1 (부곡동)
참좋은약국,051-513-6255,"부산광역시 금정구 중앙대로 1711, 금정빌딩 1층 (부곡동)"
희망약국,051-913-0927,"부산광역시 금정구 금강로 376, 1층 (장전동)"
드림약국,051-522-5352,"부산광역시 금정구 서동로 105, 1층 (서동)"
성신약국,051-802-9449,"부산광역시 금정구 오시게로 22, 1층 (부곡동)"
굿모닝약국,051-757-5252,"부산광역시 금정구 서동로 168, 1층 102호 (서동)"
사계절 손약국,051-715-3904,"부산광역시 금정구 서동로 158, 1층 (서동)"
장전 온누리약국,051-515-4325,"부산광역시 금정구 금정로 151-1, 1층 (장전동)"
해인약국,,"부산광역시 금정구 수림로 55, 1층 (장전동)"
The 편한 약국,051-529-5879,부산광역시 금정구 서동로 160 (서동)
우리약국,051-531-8458,부산광역시 금정구 공단로 5 (금사동)
더조은약국,051-517-7036,"부산광역시 금정구 중앙대로 1941, 태일빌딩 1층 (구서동)"
봄약국,051-583-8270,"부산광역시 금정구 구서로 10, 101호 (구서동)"
정원약국,051-508-7915,"부산광역시 금정구 중앙대로 2093, 수광빌딩 (남산동)"
금성약국,051-523-7891,부산광역시 금정구 금사로 95 (금사동)
두실드림약국,051-513-2345,"부산광역시 금정구 중앙대로 1937, 101호 (구서동)"
해맑은약국,051-516-8855,"부산광역시 금정구 식물원로39번길 26, 1층 (장전동)"
천우약국,051-512-9700,"부산광역시 금정구 부곡로 107, 1층 (부곡동, 부곡상가맨션)"
시장약국,051-245-3155,"부산광역시 금정구 서동로 103-1, 1층 (서동)"
더(The)튼튼약국,051-967-5331,"부산광역시 금정구 금정로 244, 1층 (구서동)"
하나약국,051-582-1300,"부산광역시 금정구 수림로 13, 1층 (부곡동, 동원빌딩)"
미솜약국,051-531-6331,"부산광역시 금정구 서동로 159, 1층 (서동)"
사랑온누리약국,051-583-5663,"부산광역시 금정구 금강로 206-16, 1층 (장전동)"
인제약국,051-333-7334,"부산광역시 금정구 산성로 438, 1층 (금성동)"
휴플러스약국,051-512-8305,부산광역시 금정구 장전로 31-1 (장전동)
정성약국,051-515-8668,"부산광역시 금정구 중앙대로 1897 (구서동, 쌈지빌딩)"
예인솔약국,051-917-5400,"부산광역시 금정구 학산로13번길 46, 1층 (남산동)"
홍제당약국,051-581-6566,부산광역시 금정구 금정로149번길 13 (장전동)
장전정다운약국,051-515-0757,"부산광역시 금정구 금강로 209, 1층 103-2호 (장전동, 한신시티빌)"
강약국,051-514-8787,부산광역시 금정구 시실로 13 (부곡동)
믿음약국,051-525-5528,"부산광역시 금정구 사천로 1 (금사동, 맑은 약국)"
대우약국,051-514-1460,부산광역시 금정구 금강로 338-1 (장전동)
대원약국,051-516-3030,"부산광역시 금정구 중앙대로 2029, 1층 (남산동, 세중한의원)"
문창약국,051-513-9493,"부산광역시 금정구 금강로 264, 1층 (장전동)"
보람약국,051-583-6697,"부산광역시 금정구 부곡로 120-1, 1층 (부곡동, 명성빌딩)"
열린약국,051-583-6367,부산광역시 금정구 범어천로 66 (남산동)
신제일약국,051-583-1717,"부산광역시 금정구 중앙대로 2097, 1층 (남산동)"
킴스약국,051-516-1859,부산광역시 금정구 중앙대로1985번길 1 (남산동)
서동약국,051-521-1350,부산광역시 금정구 서동로 171 (서동)
제일약국,051-558-0096,부산광역시 금정구 서동중심로 17 (서동)
민들레약국,051-581-7277,부산광역시 금정구 금정로 147 (장전동)
동산약국,051-516-6061,"부산광역시 금정구 구서로 2 (구서동, 정우빌딩 1층)"
정다운약국,051-518-6699,부산광역시 금정구 중앙대로 1879 (구서동)
세화당약국,051-516-7545,부산광역시 금정구 중앙대로 1961 (구서동)
지하약국,051-512-9461,"부산광역시 금정구 중앙대로 1917, 지하 1층 (구서동)"
금정21세기약국,051-515-7183,부산광역시 금정구 중앙대로1841번길 24 (구서동)
대학로약국,051-513-2558,"부산광역시 금정구 부산대학로 47, 1층 (장전동)"
백약국,070-4226-3901,"부산광역시 금정구 중앙대로 2238, 1층 (노포동, 노포동버스터미널 내 )"
건강약국,051-515-8558,"부산광역시 금정구 부곡로 107, 1층 (부곡동)"
햇살약국,051-514-3251,부산광역시 금정구 금강로321번길 2 (장전동)
