순번,약국명칭,약국전화번호,약국소재지(도로명)
1,진심약국,051-467-2100,"부산광역시 동구 중앙대로 313, 세정빌딩 1층 (초량동)"
2,1호선범일약국,051-637-0421,"부산광역시 동구 범일로 지하 108, 지하1층 17호 (범일동)"
3,초록약국,051-635-6188,"부산광역시 동구 중앙대로 535, 1층 (범일동)"
4,행복드림약국,051-636-7071,"부산광역시 동구 중앙대로 531, 1층 (범일동)"
5,노마약국,051-463-0568,부산광역시 동구 초량로 76 (초량동)
6,대경약국,051-464-2141,부산광역시 동구 중앙대로371번길 35 (수정동)
7,위드팜백세약국,051-643-0880,부산광역시 동구 고관로 151 (좌천동)
8,진약국,051-465-2220,부산광역시 동구 진성로 15 (수정동)
9,솔약국,070-7567-1233,"부산광역시 동구 초량중로 74, 새부산병원 1층 (초량동)"
10,행복약국,051-465-8993,"부산광역시 동구 중앙대로 365, 부산일보 1층 (수정동)"
11,열린약국,051-631-1361,부산광역시 동구 고관로 153-1 (좌천동)
12,수정온누리약국,051-467-8487,"부산광역시 동구 고관로 121, 1층 (수정동)"
13,정다운약국,051-441-6678,"부산광역시 동구 고관로 128, 1층 (수정동)"
14,참좋은약국,051-468-9915,"부산광역시 동구 고관로 29, 1층 (초량동)"
15,사랑약국,051-636-5533,"부산광역시 동구 고관로 153-2, 1~2층 (좌천동)"
16,범일우리약국,051-633-5678,"부산광역시 동구 범일로89번길 63, 1층 (범일동)"
17,튼튼약국,051-633-8899,"부산광역시 동구 범일로 85 (범일동, 삼미85 빌딩)"
18,명진약국,051-643-5220,"부산광역시 동구 성남이로 21, 1층 (좌천동)"
19,혜민약국,051-462-0090,"부산광역시 동구 초량상로 91-1, 1층 (초량동, 삼보빌딩)"
20,다모아약국,051-642-0083,"부산광역시 동구 중앙대로 507, 1층 (범일동)"
21,그린약국,051-468-3843,"부산광역시 동구 초량로 35, 1층 (초량동)"
22,동아약국,051-466-4101,"부산광역시 동구 중앙대로 383, 1층 (수정동, 메티칼센터)"
23,정성약국,051-631-4298,"부산광역시 동구 정공단로 35, 1층 (좌천동)"
24,새시대약국,051-466-1122,"부산광역시 동구 중앙대로371번길 26, 1층 (수정동)"
25,동아사약국,051-646-0090,부산광역시 동구 진시장로 19-2 (범일동)
26,은온누리약국,051-977-0072,"부산광역시 동구 대영로 261, 1층 (초량동, 은성빌딩)"
27,일심약국,051-631-3627,"부산광역시 동구 정공단로 33, 1층 (좌천동)"
28,새부산약국,051-462-7775,"부산광역시 동구 충장대로 206, 부산항 국제여객터미널 3층 (초량동)"
29,건강을만든다by소미약국,051-647-8762,"부산광역시 동구 조방로 14, 1층 126호 (범일동, 동일타워)"
30,보건온누리약국,051-441-4701,부산광역시 동구 수정동로 9 (수정동)
31,제일약국,051-463-7799,부산광역시 동구 망양로 623 (초량동)
32,다사랑약국,051-462-0516,"부산광역시 동구 중앙대로349번길 42, 1층 (수정동)"
33,백광약국,051-468-0971,"부산광역시 동구 초량상로 93, 1층 (초량동)"
34,부산역온누리약국,051-467-1009,"부산광역시 동구 중앙대로 197, 1층 (초량동)"
35,새우리들약국,051-647-1416,부산광역시 동구 망양로 911 (범일동)
36,새부산약국,051-463-9443,"부산광역시 동구 중앙대로 206 (초량동, 부산역)"
37,신우약국,051-463-3728,부산광역시 동구 중앙대로 169 (초량동)
38,늘푸른약국,051-466-5772,부산광역시 동구 중앙대로 371 (수정동)
39,주차장약국,051-639-7789,부산광역시 동구 중앙대로 407-6 (좌천동)
40,우리들약국,051-463-0059,부산광역시 동구 고관로 115-2 (수정동)
41,한빛약국,051-647-1172,부산광역시 동구 고관로 155-1 (좌천동)
42,금성약국,051-646-2133,부산광역시 동구 중앙대로 459-9 (좌천동)
43,좌천우리약국,051-633-3070,부산광역시 동구 고관로 155-3 (좌천동)
44,제생당약국,051-632-0261,"부산광역시 동구 망양로 893-1, 지하1층 (범일동)"
45,문하약국,051-631-3488,부산광역시 동구 범일로89번길 65 (범일동)
46,우리약국,051-466-0940,부산광역시 동구 중앙대로 290 (초량동)
47,팜마트기린약국,051-644-8800,부산광역시 동구 중앙대로 517 (범일동)
48,보생약국,051-642-0700,부산광역시 동구 고관로 155 (좌천동)
49,상아약국,051-635-3316,부산광역시 동구 망양로 873 (범일동)
50,이화약국,051-462-0414,부산광역시 동구 고관로 119 (수정동)
51,다정온누리약국,051-634-7323,부산광역시 동구 범일로 104 (범일동)
52,부일약국,051-441-0239,부산광역시 동구 중앙대로 227 (초량동)
53,해정약국,051-464-9921,"부산광역시 동구 중앙대로 233 (초량동, 해정빌딩)"
54,명성약국,051-466-0150,부산광역시 동구 고관로 133 (수정동)
55,25시약국,051-642-1253,부산광역시 동구 조방로 45 (범일동)
56,창공약국,051-634-3536,부산광역시 동구 진시장로 19-1 (범일동)
57,동원당약국,051-636-3334,부산광역시 동구 범일로90번길 14-1 (범일동)
58,범일사약국,051-642-4939,부산광역시 동구 범일로 97 (범일동)
59,대림약국,051-468-1528,부산광역시 동구 초량로 43-1 (초량동)
60,삼일약국,051-646-5147,부산광역시 동구 중앙대로 511-1 (범일동)
61,미보약국,051-468-2669,부산광역시 동구 중앙대로 213 (초량동)
62,소림약국,051-467-6202,부산광역시 동구 중앙대로195번가길 53 (초량동)
63,세종약국,051-467-9201,부산광역시 동구 초량중로 89 (초량동)
64,민생약국,051-467-4744,부산광역시 동구 중앙대로231번길 17 (초량동)
65,대흥약국,051-635-6688,부산광역시 동구 범일로 94 (범일동)
66,구세약국,051-467-8478,부산광역시 동구 망양로 831 (수정동)
67,신수정약국,051-464-8929,부산광역시 동구 고관로 144 (수정동)
68,동일약국,051-468-0628,부산광역시 동구 망양로689번길 13 (수정동)
