순번,약국명칭,약국전화번호,약국소재지(도로명)
1,선일약국,051-555-0868,"부산광역시 동래구 충렬대로249번길 55, 지하1층, 지상1층 (수안동)"
2,예안약국,051-553-2347,"부산광역시 동래구 충렬대로 219, 마노 1층 일부호 (명륜동)"
3,정민약국,051-523-3381,"부산광역시 동래구 충렬대로350번길 10, 1층 (안락동)"
4,이화약국,,"부산광역시 동래구 사직북로 6, 1층 102호 (사직동)"
5,나눔약국,,"부산광역시 동래구 온천장로 114, 허브메디컬타워 1층 102호 (온천동)"
6,안정약국,051-525-5510,"부산광역시 동래구 충렬대로 415, 1층 (안락동)"
7,태평양약국,051-710-5177,"부산광역시 동래구 충렬대로155번길 19, 1층 일부호 (온천동)"
8,서울약국,,"부산광역시 동래구 충렬대로 417, 1층 102호 (안락동)"
9,드림i약국,,"부산광역시 동래구 충렬대로100번길 25, 1층 101호 (온천동, 드림하우스)"
10,힘찬약국,051-557-4159,"부산광역시 동래구 명륜로 161, 1층 101호일부,102호 (명륜동)"
11,주차장약국,051-552-2767,"부산광역시 동래구 중앙대로1325번길 20, 1층 (온천동)"
12,정성약국,,"부산광역시 동래구 충렬대로 259, 동호 디시티 1층 101호 (낙민동)"
13,옵티마동래약국,051-715-4849,"부산광역시 동래구 안연로109번길 17, 1층 1호 (안락동)"
14,바른약국,,"부산광역시 동래구 충렬대로 252, 101호 (수안동)"
15,이로운약국,,"부산광역시 동래구 명장로 48, 명장1동 새마을금고 1층 일부호 (명장동)"
16,다솜약국,051-555-4825,부산광역시 동래구 동래로 159 (복천동)
17,명장온누리약국,051-523-8882,부산광역시 동래구 명장로 50 (명장동)
18,라임약국,051-505-5303,"부산광역시 동래구 아시아드대로 191, 사직동예일빌딩 1층 (사직동)"
19,세인약국,051-506-5590,부산광역시 동래구 미남로146번길 3 (온천동)
20,회림온누리약국,051-557-2410,"부산광역시 동래구 동래로136번길 30, 1층 일부호 (복천동)"
21,안락고려약국,0507-1380-2211,"부산광역시 동래구 안연로 88, 1층 (안락동)"
22,도리약국,,"부산광역시 동래구 아시아드대로 142, 사직빌딩 (사직동)"
23,금새약국,051-503-8988,부산광역시 동래구 사직북로 25-1 (사직동)
24,한마음약국,051-502-8875,"부산광역시 동래구 충렬대로 92, 1층 (온천동)"
25,평화약국,051-529-0192,"부산광역시 동래구 반송로273번길 2, 상가동 110호 (명장동, 조양아파트)"
26,햇살약국,,"부산광역시 동래구 석사로 5, 1층 일부호 (사직동)"
27,행복약국,051-715-5538,"부산광역시 동래구 중앙대로1493번길 6, 1층 102호 (온천동)"
28,신제일약국,051-525-8903,"부산광역시 동래구 안남로 23, 보림프라자 109호 (낙민동)"
29,미남정약국,051-853-8270,"부산광역시 동래구 아시아드대로 239-1, 월드 메디컬 타워 (온천동)"
30,동래메가약국,051-557-5713,"부산광역시 동래구 충렬대로 197, 메가마트 1층 (명륜동)"
31,건강한약국,051-553-6500,부산광역시 동래구 중앙대로1325번길 29 (온천동)
32,행운약국,051-532-9987,부산광역시 동래구 충렬대로 413 (안락동)
33,서울홍약국,051-553-9905,"부산광역시 동래구 중앙대로 1523, SKHUBSKY 상가 2층 58·59·63·66호 (온천동)"
34,가까운약국,051-554-2674,부산광역시 동래구 충렬대로181번길 17 (명륜동)
35,우리약국,051-506-7933,"부산광역시 동래구 사직북로 16, 1층 일부호 (사직동)"
36,명륜메디칼약국,051-556-6110,"부산광역시 동래구 동래로 25, 1층 102호 (온천동)"
37,새대영당약국,051-526-5446,"부산광역시 동래구 서동중심로 4, 1층 (명장동)"
38,굿모닝약국,070-8829-7775,"부산광역시 동래구 충렬대로 353 (안락동, 1층 일부)"
39,강림 온누리 약국,051-552-1110,"부산광역시 동래구 충렬대로237번길 3 (수안동, 로덴빌딩)"
40,스타약국,051-522-8781,"부산광역시 동래구 충렬대로 449 (안락동, 좋은날에드라마여성병원)"
41,예가약국,051-501-6022,"부산광역시 동래구 사직로 80, 222-305호 (사직동, 사직쌍용예가)"
42,영광약국,051-923-2292,부산광역시 동래구 명륜로 191 (명륜동)
43,청담약국,051-556-0079,"부산광역시 동래구 온천장로 1, 101호 (온천동)"
44,대학약국,051-555-3628,"부산광역시 동래구 충렬대로181번길 21 (명륜동, 명륜빌딩)"
45,따뜻한약국,051-505-9763,부산광역시 동래구 아시아드대로 226 (온천동)
46,천사약국,051-507-8331,부산광역시 동래구 여고로 6 (사직동)
