약국명칭,약국소재지(도로명),약국전화번호
오즈약국,"부산광역시 중구 광복중앙로34번길 13, 1층 (대청동2가)",051-253-2005
남포약국,"부산광역시 중구 구덕로 지하 12, 도시철도 남포역 39호 (남포동1가)",051-245-6678
새중앙약국,부산광역시 중구 해관로 69 (중앙동4가),051-462-6205
새한솔약국,"부산광역시 중구 동영로 4, 2층 (동광동5가)",051-442-0911
다정한약국,"부산광역시 중구 대청로53번길 7, 1층 (보수동1가)",051-242-2257
동명당약국,"부산광역시 중구 중구로 59, 1층 (보수동1가)",051-255-1445
푸른지산약국,"부산광역시 중구 샘길 1, 2층 (동광동5가)",051-442-4046
해님약국,"부산광역시 중구 대청로 105, 1층 (대청동2가)",051-244-3650
소망약국,"부산광역시 중구 동영로 6-2, 1층 (동광동5가)",051-442-2200
제일대동약국,"부산광역시 중구 구덕로34번길 3, 1층 (남포동4가)",051-245-0669
일신약국,부산광역시 중구 동영로 6-1 (동광동5가),051-463-7584
국제약국,부산광역시 중구 흑교로 38 (부평동2가),051-246-2768
새명성약국,부산광역시 중구 중구로 124-3 (동광동5가),051-467-2270
신대동약국,부산광역시 중구 대청로 80 (대청동3가),051-245-6505
홍약국,부산광역시 중구 흑교로 53-1 (보수동2가),051-513-8911
대청약국,부산광역시 중구 영주로 12 (영주동),051-462-6353
제일약국,부산광역시 중구 동영로 7 (동광동5가),051-468-7004
소나무약국,부산광역시 중구 중앙대로 2 (중앙동7가),070-4155-0858
보원당한약국,"부산광역시 중구 해관로 60-1, 2층 (중앙동4가)",051-468-3491
일진사약국,부산광역시 중구 국제시장2길 5 (창선동2가),051-253-1311
심약국,부산광역시 중구 대청로 81 (대청동3가),051-462-6057
무지개약국,"부산광역시 중구 구덕로 40, 지하1층 (남포동2가)",051-246-1100
밝은미래약국,부산광역시 중구 흑교로 18 (부평동2가),051-231-5898
우리팜약국,부산광역시 중구 구덕로 4 (광복동1가),051-257-8305
세명약국,부산광역시 중구 광복로 33 (창선동2가),051-245-1081
성모온누리약국,부산광역시 중구 동영로 6 (동광동5가),051-466-8009
미래약국,부산광역시 중구 대청로 88-1 (대청동3가),051-256-6667
금생약국,부산광역시 중구 대청로 132 (동광동3가),051-245-5777
참편한약국,부산광역시 중구 대청로 126 (대청동1가),051-241-0095
늘푸른약국,부산광역시 중구 자갈치로 33 (남포동6가),051-254-3526
남포메디칼약국,부산광역시 중구 구덕로 90 (남포동6가),051-248-0616
미소약국,부산광역시 중구 대영로 213 (영주동),051-442-2525
건강한온누리약국,부산광역시 중구 대청로 70-1 (부평동1가),051-242-1089
한일사약국,부산광역시 중구 광복로 31 (창선동2가),051-242-9954
영주약국,부산광역시 중구 대영로 219 (영주동),051-464-0075
굿모닝약국,"부산광역시 중구 흑교로52번길 6-1, 1층 (보수동1가)",051-253-1963
메리놀약국,부산광역시 중구 동영로 9-2 (동광동5가),051-441-8275
새부산약국,부산광역시 중구 광복로 31-1 (창선동2가),051-245-5265
해양약국,"부산광역시 중구 충장대로9번길 52, 102호 (중앙동4가, 마린센터빌딩)",051-469-4389
천우사약국,부산광역시 중구 흑교로 20 (부평동2가),051-245-2365
중앙약국,부산광역시 중구 광복중앙로 35 (대청동2가),051-245-9401
부평약국,부산광역시 중구 흑교로 34 (부평동2가),051-245-5885
동서약국,부산광역시 중구 동광길 88 (중앙동4가),051-469-4142
