행정구역(동읍면)별,합계,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,고령인구 합계
부산광역시,3513777,184875,140328,99313,54727,24401,7782,1715,1489,514630
중구,45816,3205,2635,1870,966,498,190,42,64,9470
중앙동,1789,142,102,81,40,20,13,2,3,403
동광동,3444,264,245,156,79,50,19,2,4,819
대청동,7540,479,379,275,154,92,26,7,6,1418
보수동,11476,743,601,465,249,110,45,11,8,2232
부평동,5294,423,335,257,102,65,26,9,18,1235
광복동,1319,112,78,71,34,24,6,2,4,331
남포동,1253,103,86,44,27,15,5,1,1,282
영주1동,5149,326,280,173,100,49,22,3,8,961
영주2동,8552,613,529,348,181,73,28,5,12,1789
서구,115963,7830,6317,4828,2686,1228,425,102,101,23517
동대신1동,5545,375,304,260,158,56,20,2,3,1178
동대신2동,8972,632,506,416,261,90,43,8,1,1957
동대신3동,7850,499,426,327,197,101,27,7,9,1593
서대신1동,11232,746,598,453,256,118,43,7,5,2226
서대신3동,9157,452,388,299,166,89,26,5,1,1426
서대신4동,7443,393,271,270,143,66,27,5,1,1176
부민동,7962,408,338,261,157,81,32,5,6,1288
아미동,9201,757,640,506,277,117,40,21,17,2375
초장동,5665,435,419,326,170,74,25,10,8,1467
충무동,8541,622,485,357,176,86,32,10,22,1790
남부민1동,5520,481,424,303,147,76,20,3,6,1460
남부민2동,11497,908,725,503,255,128,40,9,10,2578
암남동,17378,1122,793,547,323,146,50,10,12,3003
동구,92069,6545,5555,4192,2296,937,271,72,77,19945
초량1동,5399,357,302,234,94,54,17,7,4,1069
초량2동,6671,535,421,308,181,90,20,8,4,1567
초량3동,6512,386,314,213,146,69,24,5,6,1163
초량6동,7640,560,507,417,233,80,27,4,14,1842
수정1동,5059,357,254,202,103,39,14,3,3,975
수정2동,9350,716,577,441,285,98,29,10,13,2169
수정4동,5060,467,380,313,141,65,14,2,3,1385
수정5동,6608,495,448,303,182,73,12,0,2,1515
좌천동,12019,896,754,569,282,111,39,15,8,2674
범일1동,4741,309,248,185,83,37,14,0,1,877
범일2동,9335,506,379,280,162,49,23,7,6,1412
범일5동,4669,337,337,250,156,77,22,4,4,1187
영도구,129385,9060,7423,5336,2763,1257,395,87,98,26419
남항동,10769,878,722,518,310,129,40,6,6,2609
영선1동,4556,349,257,162,102,36,19,5,6,936
영선2동,10087,774,602,491,221,119,36,6,10,2259
신선동,11618,943,848,687,312,125,44,11,10,2980
봉래1동,7602,546,413,330,193,87,25,6,27,1627
봉래2동,8137,670,660,432,228,70,26,5,9,2100
청학1동,7975,570,509,356,168,102,26,7,8,1746
청학2동,20777,1250,1009,705,347,184,58,17,9,3579
동삼1동,31475,1920,1414,1001,531,231,79,11,9,5196
동삼2동,3908,292,241,142,76,42,13,2,1,809
동삼3동,12481,868,748,512,275,132,29,11,3,2578
부산진구,381572,20515,16214,11787,6204,2649,818,189,203,58579
부전1동,13319,855,736,532,289,89,38,9,13,2561
부전2동,10930,424,293,192,115,75,26,15,5,1145
연지동,23728,1314,994,708,416,168,54,11,4,3669
초읍동,23751,1644,1369,962,466,206,74,14,13,4748
양정1동,21826,1040,844,653,384,139,43,8,13,3124
양정2동,15884,928,729,536,280,107,30,8,8,2626
전포1동,19067,1000,919,718,350,175,52,17,15,3246
전포2동,21647,1220,970,704,407,155,40,12,10,3518
부암1동,22590,1263,979,629,326,141,45,14,23,3420
부암3동,23498,1137,812,607,319,140,45,11,8,3079
당감1동,27325,1334,1042,813,454,232,76,11,12,3974
당감2동,10020,584,429,326,164,81,18,4,8,1614
