행정구역별(읍면동),합계,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상,고령인구합계
부산광역시,3349016,224086,164547,122339,77700,35683,11847,2384,304,638890
중구,41439,3419,2721,2202,1385,635,295,55,10,10722
중앙동,3256,205,139,162,164,137,94,25,5,931
동광동,2865,258,217,187,109,39,18,X,X,831
대청동,6305,486,419,342,175,76,42,8,X,1550
보수동,10212,860,656,515,303,131,45,6,X,2517
부평동,4502,408,328,232,153,53,21,X,X,1199
광복동,962,101,75,47,43,16,9,X,X,292
남포동,1208,93,90,51,26,X,6,X,X,269
영주1동,4974,350,281,223,164,91,38,7,X,1154
영주2동,7155,658,516,443,248,89,22,X,X,1979
서구,105303,8243,6603,5317,3560,1609,500,125,14,25971
동대신1동,4408,355,281,216,171,76,16,X,X,1117
동대신2동,7449,664,560,455,323,191,57,21,X,2272
동대신3동,7775,566,432,398,273,117,41,11,X,1840
서대신1동,12431,766,616,521,323,125,41,7,X,2399
서대신3동,8480,578,413,340,244,109,41,8,X,1733
서대신4동,7638,467,373,272,208,94,28,X,X,1447
부민동,8252,484,357,243,210,102,35,9,X,1441
아미동,6724,696,556,496,310,126,30,7,X,2224
초장동,4326,440,357,336,213,62,25,X,X,1437
충무동,9974,737,622,455,318,139,41,12,X,2326
남부민1동,5135,511,409,351,192,101,41,9,X,1614
암남동,13506,1078,824,631,456,230,69,24,X,3315
남부민2동,9205,901,803,603,319,137,35,7,X,2806
동구,87246,7107,5737,4772,3142,1363,485,77,7,22690
초량1동,5436,418,331,251,155,47,19,X,X,1223
초량2동,5834,559,429,349,206,74,32,X,X,1652
초량3동,11828,577,407,394,320,201,102,16,X,2019
초량6동,6070,567,485,402,264,115,33,X,X,1870
수정1동,3971,337,299,217,140,53,12,X,X,1058
수정2동,9657,813,701,499,326,157,41,12,X,2551
수정4동,3951,392,398,320,216,63,23,X,X,1415
수정5동,5380,488,442,371,220,88,33,5,X,1647
범일2동,8423,640,416,315,213,88,23,8,X,1704
범일5동,4271,313,223,196,115,49,23,X,X,923
좌천동,10852,917,812,694,451,204,63,12,X,3154
범일1동,11573,1086,794,764,516,224,81,9,X,3474
영도구,113224,9642,7804,6217,3877,1577,476,92,15,29700
남항동,10996,954,835,714,492,261,102,25,5,3388
영선1동,4019,344,300,210,119,51,7,X,X,1033
영선2동,8369,728,645,502,327,107,28,13,X,2350
봉래1동,6980,643,485,362,243,116,32,X,X,1882
청학1동,6436,547,475,381,218,77,29,X,X,1729
청학2동,18164,1522,1080,873,535,207,82,15,X,4316
동삼1동,29560,2204,1707,1230,769,344,84,18,X,6360
동삼2동,4705,315,271,208,128,61,28,7,X,1019
동삼3동,10174,1077,790,664,370,144,33,X,X,3084
신선동,8781,796,780,656,448,138,37,X,X,2857
봉래2동,5040,512,436,417,228,71,14,X,X,1682
부산진구,351403,23502,17475,13393,8619,3765,1074,208,17,68053
부전2동,9528,501,305,213,136,47,22,8,X,1233
