시설 명,주소,읍면동
구름다리,중구 법수길 76,보수동
금호타운,중구 영주로 49,보수동
대림에이스,중구 법수길 74,보수동
대청공원,중구 망양로 355번길 37,대청동
대청만우,중구 중구로 83,대청동
대청화목,중구 대청북길 14,대청동
동광동,중구  샘길 12,대청동
동광할머니,중구 동광길 111번길 11,동광동
동아9블럭,중구 영주로 73,영주2동
동아11블럭,중구 영주로 65-1,영주2동
보수동,중구 흑교로 86-1,보수동
보혜,중구 보동길 17,보수동
보수2가,중구 흑교로 61-1,보수동
보수매화,중구 흑교로 61-1,보수동
보수부녀,중구 흑교로 86-1,보수동
보수새마을,중구 망양로 319번길 24,보수동
보수죽화,중구 망양로 252,보수동
부평동,중구 중구로 29번길 21,부평동
영주1동,중구 초량상로 7번길 11,영주1동
영주2동,중구 영초길 103,영주2동
영주아파트,중구 영주로 65-1,영주2동
우남이체롬,중구 초량상로 13,영주1동
은하,중구 영주로 87,영주2동
자유,중구 망양로 371-3,영주2동
충효,중구 동영로 73번길 3 ,영주2동
행복,중구 대청로 99번길 22,대청동
희망,중구 흑교로 25번길 25-1,부평동
관덕부녀,서구 망양로 113번길 1,동대신3동
구덕,서구 대신로 13-3,서대신3동
구덕부녀,서구 대신로 13-3,서대신3동
꽃마을,서구 꽃마을로 163번길 7,서대신4동
꽃마을부녀,서구 꽃마을로 163번길 7,서대신4동
구덕자유,서구 망양로 33번길 27,서대신3동
남부(상),서구 해돋이로 99번길 3,남부민2동
남부(하),서구 충무대로 256번길 2,남부민1동
남산,서구 충무대로 145번길 16,남부민2동
남성,서구 천마로 116-1,남부민2동
남성한빛아파트,서구 꽃마을로 43 남성한빛아파트 내 경로당,서대신4동
대림비치아파트,서구 충무대로 133 대림비치 아파트 내 경로당,남부민2동
대신,서구 망양로 113번길 1,동대신3동
대진,서구 충무대로 185 대진타워 내 경로당,남부민2동
덕이사랑방,서구 천마산로 416,아미동
동산,서구 망양로 195번길 18,동대신2동
동신,"서구 구덕로334번길20, 101호",동대신3동
동심부녀,서구 충무대로 159-19,남부민2동
동대2부녀,서구 보수대로210번길2,동대신2동
동일,서구 망양로 224-3,동대신1동
등대,서구 등대로 109,남부민2동
모지포,서구 암남공원로 230-1,암남동
무궁화노인회관,서구 망양로202-9,동대신2동
부민,서구 해돋이로 323,부민동
부암,서구 천해로34번길 1,남부민2동
부용,서구 부용로 38번길 26-12,부민동
북산,서구 중앙공원로 23-1,동대신2동
산월,서구 해돋이로 381,서대신1동
산해,서구 천마로 205번길 53,충무동
산해할머니,서구 천마로 205번길 53,충무동
상록고운,서구 구덕로 285번길 30-5,서대신1동
상조,서구 해돋이로 55,남부민2동
서대,서구 구덕로305번길4-23,서대신1동
서대2동,서구 대티로129-5,서대신1동
서부,서구 보수대로210번길2,동대신2동
송도자유비치,서구 천해로 7번길 33 송도자유비치 내 경로당,암남동
송암노모,서구 충무대로 38,암남동
송이사랑방,서구 천마산로 416,아미동
수원,서구 꽃마을로 72-6,서대신4동
어르신쉼터,서구 해돋이로 239번길 11-3,아미동
신창,서구 자갈치로 14-11,남포동
아미,서구 까치고개로 158-1,아미동
아미1동,서구 구덕로 185번길 28,아미동
아산,서구 까치고개로 123-3,아미동
암남,서구 암남공원로 14번길 21-13,암남동
2.8부녀,서구 옥천로 141,아미동
부민E-편한세상,서구 해돋이로 313 부민이편한아파트 내 경로당,부민동
장수,서구 망양로 224-3,동대신1동
정림,서구 감천로 271 정림비치 내 경로당 ,암남동
제1,서구 구덕로274번길56,동대신1동
제1부녀,서구 구덕로274번길56,동대신1동
천마,서구 해돋이로 156,남부민1동
천부,서구 아미로 19-1,아미동
천아,서구 아미로 19-1,아미동
천암,서구 천해로 39번길 3-1,암남동
천우,서구 천마로 115,남부민2동
청송노인정,서구 천해로 39번길 3-1,암남동
초장할머니,서구 초장로 8번길 ,초장동
초향,서구 해돋이로 182,초장동
토성,서구 까치고개로 233-2,충무동
송도풍림아이원,서구 암남공원로 39 풍림아이원아파트(암남동),암남동
협성,서구 대티로159 협성아파트내경로당,서대신3동
남부민풀리페아파트,서구 해돋이로 23 남부민풀리페아파트 101동 ,남부민2동
오륙도,서구 망양로 147-2,동대신2동
한고을,서구 고운들로 189번 나길 6-6,서대신1동
천국,서구 시약로17번 가길 7-2,서대신3동
형제,서구 까치고개로 97번길 13,아미동
아정,서구 옥천로 138번길 3-45,아미동
아미골,서구 옥천로 173번길 15-69,아미동
할매,서구 구덕로 165번길 32-2,아미동
소문,서구 구덕로 186번길 9,충무동
신암,서구 암남로 8,암남동
6통,서구 암남로 14번 다길 17,암남동
혜성아파트,서구 암남공원로 52 혜성아파트 내 경로당 ,암남동
고관,동구 홍곡로 80-3(수정동),수정1동
고관부녀,동구 홍곡로 80-3(수정동),수정1동
구봉,동구 망양로 610번길 57(초량동),초량6동
남성,동구 수정공원로 5(수정동),수정4동
널박,동구 범곡로 33번 가길 11(범일동),범일1동
능풍장,동구 능풍길 8(좌천동),좌천동
능풍장부녀,동구 능풍길 8(좌천동),좌천동
동심,동구 증산로 8번길 9(좌천동),좌천동
동원가람정,"동구 고관로 173(좌천동,동원@)",좌천동
동원영가정,"동구 고관로 173(좌천동,동원@)",좌천동
동천,동구 자성로 140번길 31(범일동),범일2동
만리,동구 수정공원로 71-8(수정동),수정2동
