행정 구,행정 동
중구,중앙동
중구,동광동
중구,대청동
중구,보수동
중구,부평동
중구,광복동
중구,남포동
중구,영주1동
중구,영주2동
서구,동대신1동
서구,동대신2동
서구,동대신3동
서구,서대신1동
서구,서대신3동
서구,서대신4동
서구,부민동
서구,아미동
서구,초장동
서구,충무동
서구,남부민1동
서구,남부민2동
서구,암남동
동구,초량1동
동구,초량2동
동구,초량3동
동구,초량6동
동구,수정1동
동구,수정2동
동구,수정4동
동구,수정5동
동구,좌천동
동구,범일1동
동구,범일2동
동구,범일5동
영도구,남항동
영도구,영선1동
영도구,영선2동
영도구,신선동
영도구,봉래1동
영도구,봉래2동
영도구,청학1동
영도구,청학2동
영도구,동삼1동
영도구,동삼2동
영도구,동삼3동
부산진구,부전1동
부산진구,부전2동
부산진구,연지동
부산진구,초읍동
부산진구,양정1동
부산진구,양정2동
부산진구,전포1동
부산진구,전포2동
부산진구,부암1동
부산진구,부암3동
부산진구,당감1동
부산진구,당감2동
부산진구,당감4동
부산진구,가야1동
부산진구,가야2동
부산진구,개금1동
부산진구,개금2동
부산진구,개금3동
부산진구,범천1동
부산진구,범천2동
부산진구,범천4동
동래구,수민동
동래구,복산동
동래구,명륜동
동래구,온천1동
동래구,온천2동
동래구,온천3동
동래구,사직1동
동래구,사직2동
동래구,사직3동
동래구,안락1동
동래구,안락2동
동래구,명장1동
동래구,명장2동
남구,대연1동
남구,대연3동
남구,대연4동
남구,대연5동
남구,대연6동
남구,용호1동
남구,용호2동
남구,용호3동
남구,용호4동
남구,용당동
남구,감만1동
남구,감만2동
남구,우암동
남구,문현1동
남구,문현2동
남구,문현3동
남구,문현4동
북구,구포1동
북구,구포2동
북구,구포3동
북구,금곡동
북구,화명1동
북구,화명2동
북구,화명3동
북구,덕천1동
북구,덕천2동
북구,덕천3동
북구,만덕1동
북구,만덕2동
북구,만덕3동
해운대구,우1동
해운대구,우2동
해운대구,중1동
해운대구,중2동
해운대구,좌1동
해운대구,좌2동
해운대구,좌3동
해운대구,좌4동
해운대구,송정동
해운대구,반여1동
해운대구,반여2동
해운대구,반여3동
해운대구,반여4동
해운대구,반송1동
해운대구,반송2동
해운대구,재송1동
해운대구,재송2동
사하구,괴정1동
사하구,괴정2동
사하구,괴정3동
사하구,괴정4동
사하구,당리동
사하구,하단1동
사하구,하단2동
사하구,신평1동
사하구,신평2동
사하구,장림1동
사하구,장림2동
사하구,다대1동
사하구,다대2동
사하구,구평동
사하구,감천1동
사하구,감천2동
금정구,서1동
금정구,서2동
금정구,서3동
금정구,금사동
금정구,부곡1동
금정구,부곡2동
금정구,부곡3동
금정구,부곡4동
금정구,장전1동
금정구,장전2동
금정구,장전3동
금정구,선두구동
금정구,청룡노포동
금정구,남산동
금정구,구서1동
금정구,구서2동
금정구,금성동
강서구,대저1동
강서구,대저2동
강서구,강동동
강서구,명지동
강서구,가락동
강서구,녹산동
강서구,가덕도동
연제구,거제1동
연제구,거제2동
연제구,거제3동
연제구,거제4동
연제구,연산1동
연제구,연산2동
연제구,연산3동
연제구,연산4동
연제구,연산5동
연제구,연산6동
연제구,연산8동
연제구,연산9동
수영구,남천1동
수영구,남천2동
수영구,수영동
수영구,망미1동
수영구,망미2동
수영구,광안1동
수영구,광안2동
수영구,광안3동
수영구,광안4동
수영구,민락동
사상구,삼락동
사상구,모라1동
사상구,모라3동
사상구,덕포1동
사상구,덕포2동
사상구,괘법동
사상구,감전동
사상구,주례1동
사상구,주례2동
사상구,주례3동
사상구,학장동
사상구,엄궁동
기장군,기장읍
기장군,장안읍
기장군,정관읍
기장군,일광면
기장군,철마면
