행정 구,행정 동,경로당 수,적절한 경로당 수,필요한 경로당 수
강서구,가덕도동,17,13.4,-4
강서구,가락동,18,10.6,-7
부산진구,가야1동,15,20.4,5
부산진구,가야2동,12,18.3,6
남구,감만1동,15,10.1,-5
남구,감만2동,9,5.9,-3
사상구,감전동,8,15.2,7
사하구,감천1동,14,16,2
사하구,감천2동,12,7.8,-4
강서구,강동동,20,17,-3
부산진구,개금1동,12,12.8,1
부산진구,개금2동,11,12.1,1
부산진구,개금3동,20,26.6,7
연제구,거제1동,21,17.4,-4
연제구,거제2동,12,7.2,-5
연제구,거제3동,7,9.8,3
연제구,거제4동,6,7.5,2
중구,광복동,0,0.9,1
수영구,광안1동,10,12.4,2
수영구,광안2동,10,9.4,-1
수영구,광안3동,4,5.5,2
수영구,광안4동,4,7.1,3
사상구,괘법동,8,17.8,10
사하구,괴정1동,9,16.6,8
사하구,괴정2동,14,12,-2
사하구,괴정3동,10,11.8,2
사하구,괴정4동,5,10,5
금정구,구서1동,9,9.6,1
금정구,구서2동,11,17.6,7
사하구,구평동,9,6.2,-3
북구,구포1동,5,11.3,6
북구,구포2동,12,16.7,5
북구,구포3동,14,13,-1
북구,금곡동,24,30.6,7
금정구,금사회동동,10,6.4,-4
금정구,금성동,4,0.8,-3
기장군,기장읍,87,135.1,48
서구,남부민1동,3,4.9,2
서구,남부민2동,10,8.7,-1
금정구,남산동,11,18.4,7
수영구,남천1동,7,7.5,0
수영구,남천2동,2,6.2,4
중구,남포동,1,0.9,0
영도구,남항동,5,7.8,3
강서구,녹산동,26,46.4,20
사하구,다대1동,26,24.2,-2
사하구,다대2동,12,20,8
부산진구,당감1동,20,24.1,4
부산진구,당감2동,8,9.9,2
부산진구,당감4동,12,11.5,0
사하구,당리동,18,19.3,1
남구,대연1동,8,10.4,2
남구,대연3동,19,12.4,-7
남구,대연4동,9,8.4,-1
남구,대연5동,7,10.1,3
남구,대연6동,6,6.9,1
강서구,대저1동,24,25.1,1
강서구,대저2동,25,19.3,-6
중구,대청동,4,4.7,1
북구,덕천1동,11,10.6,0
북구,덕천2동,8,9.7,2
북구,덕천3동,7,9.9,3
사상구,덕포1동,6,8.9,3
사상구,덕포2동,10,12.6,3
중구,동광동,1,2.6,2
서구,동대신1동,4,3.9,0
서구,동대신2동,6,6.6,1
서구,동대신3동,4,5.4,1
영도구,동삼1동,17,15.6,-1
영도구,동삼2동,2,2.2,0
영도구,동삼3동,4,8,4
북구,만덕1동,10,10,0
북구,만덕2동,13,16.5,4
북구,만덕3동,10,13.1,3
수영구,망미1동,12,17.5,6
수영구,망미2동,9,6.4,-3
동래구,명륜동,11,11.1,0
동래구,명장1동,6,10.6,5
동래구,명장2동,13,11.1,-2
강서구,명지1동,20,42.5,22
강서구,명지2동,9,25.9,17
사상구,모라1동,20,28,8
사상구,모라3동,5,18.5,14
남구,문현1동,16,9.2,-7
남구,문현2동,10,6.2,-4
남구,문현3동,9,9,0
남구,문현4동,8,6.8,-1
수영구,민락동,17,14.1,-3
해운대구,반송1동,11,15.8,5
해운대구,반송2동,23,25.6,3
해운대구,반여1동,18,19.2,1
해운대구,반여2동,14,12.2,-2
해운대구,반여3동,7,8.9,2
해운대구,반여4동,11,9.1,-2
동구,범일1동,12,11.4,-1
동구,범일2동,7,5.3,-2
동구,범일5동,5,3.3,-2
부산진구,범천1동,7,9.8,3
부산진구,범천2동,24,22.2,-2
중구,보수동,10,8.1,-2
동래구,복산동,10,9.5,0
영도구,봉래1동,4,4.6,1
영도구,봉래2동,3,4.9,2
금정구,부곡1동,5,7.2,2
금정구,부곡2동,9,9.7,1
금정구,부곡3동,9,8.3,-1
금정구,부곡4동,11,9.4,-2
서구,부민동,3,4.4,1
부산진구,부암1동,19,19.5,0
부산진구,부암3동,10,15.7,6
부산진구,부전1동,8,14,6
부산진구,부전2동,3,6.4,3
중구,부평동,2,4,2
동래구,사직1동,6,6.9,1
동래구,사직2동,12,11.1,-1
동래구,사직3동,8,11,3
사상구,삼락동,5,7.3,2
금정구,서1동,7,4.7,-2
금정구,서2동,6,6.6,1
금정구,서3동,4,8.7,5
서구,서대신1동,4,8.1,4
서구,서대신3동,5,5,0
서구,서대신4동,9,4.5,-4
금정구,선두구동,9,2,-7
해운대구,송정동,4,8.9,5
동래구,수민동,20,20.5,0
수영구,수영동,10,11,1
동구,수정1동,3,3.7,1
동구,수정2동,4,8.8,5
동구,수정4동,4,4.6,1
동구,수정5동,6,5.6,0
영도구,신선동,7,6.9,0
사하구,신평1동,12,12.9,1
사하구,신평2동,5,8.8,4
서구,아미동,9,6.9,-2
동래구,안락1동,12,11.9,0
동래구,안락2동,16,16.9,1
서구,암남동,9,9.5,0
부산진구,양정1동,18,19,1
부산진구,양정2동,4,9.5,6
사상구,엄궁동,15,18.7,4
연제구,연산1동,10,11.6,2
연제구,연산2동,9,13.4,4
연제구,연산3동,5,7.5,2
연제구,연산4동,10,13.6,4
연제구,연산5동,5,9.3,4
연제구,연산6동,10,14.6,5
연제구,연산8동,6,9.3,3
연제구,연산9동,18,23.2,5
부산진구,연지동,12,21.9,10
영도구,영선1동,1,2.8,2
영도구,영선2동,4,5.8,2
중구,영주1동,3,3.3,0
중구,영주2동,8,6.3,-2
동래구,온천1동,7,12,5
동래구,온천2동,7,11.8,5
동래구,온천3동,14,23.5,10
남구,용당동,9,5.1,-4
남구,용호1동,13,24,11
남구,용호2동,8,10.1,2
남구,용호3동,7,10.3,3
남구,용호4동,7,6.1,-1
해운대구,우1동,21,17,-4
해운대구,우2동,16,17.3,1
해운대구,우3동,9,16.1,7
남구,우암동,19,11,-8
기장군,일광면,42,43.7,2
사하구,장림1동,4,6.9,3
사하구,장림2동,22,16.4,-6
기장군,장안읍,42,27.2,-15
금정구,장전1동,8,7.3,-1
금정구,장전2동,9,12.8,4
해운대구,재송1동,14,17.2,3
해운대구,재송2동,23,17.6,-5
부산진구,전포1동,16,14.9,-1
부산진구,전포2동,15,22.1,7
기장군,정관읍,77,105.3,28
해운대구,좌1동,10,9.3,-1
해운대구,좌2동,12,17.2,5
해운대구,좌3동,11,11,0
해운대구,좌4동,8,12,4
동구,좌천동,14,9.9,-4
사상구,주례1동,14,13.7,0
사상구,주례2동,14,18.7,5
사상구,주례3동,7,13,6
해운대구,중1동,21,15.5,-6
해운대구,중2동,9,9.6,1
중구,중앙동,1,1.3,0
기장군,철마면,33,29.7,-3
금정구,청룡노포동,8,7.6,0
영도구,청학1동,6,4.2,-2
영도구,청학2동,17,10.4,-7
동구,초량1동,4,3.9,0
동구,초량2동,4,5.9,2
동구,초량3동,3,5.4,2
동구,초량6동,6,6.3,0
부산진구,초읍동,15,27.9,13
서구,초장동,2,4.5,2
서구,충무동,3,7.3,4
사하구,하단1동,9,13.5,4
사하구,하단2동,9,14.3,5
사상구,학장동,21,26.2,5
북구,화명1동,14,15.9,2
북구,화명2동,10,9.8,0
북구,화명3동,7,13.8,7
