"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26440-00001,구랑공원,문화공원,,부산광역시 강서구 구랑동 1199-7,35.157215,128.854935,9137,4,,화장실,,"팔각정자, 파고라2, 평의자6, 앉음벽14.38m, 축구장(골대2), 컨테이너, 안내판, 볼라드3, 음수전1, 소화전보호대1, 데크164㎡, 데크계단127.62㎡,",2011-09-02,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00002,압곡공원,근린공원,,부산광역시 강서구 구랑동 1218,35.127873,128.843424,33756,4,,,,"배드민턴장, 족구장, 파고라4, 안내판, 볼라드7, 데크435.11㎡, 데크계단197㎡, 목교25.76㎡, 평의자6",2008-02-28,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00003,서연정공원,소공원,,부산광역시 강서구 대저1동 1330-5,35.216619,128.969512,646,7,,,,"앉음벽13.57m, 트렐리스3, 안내판2, 플랜트2, 파고라, 평의자4",2013-01-23,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00004,용두공원,어린이공원,,부산광역시 강서구 대저2동 1870-67,35.183679,128.956007,1620,,"조합놀이기구, 그네",,,"정자, 농구장, 평의자6",1998-07-25,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00005,새동내공원,어린이공원,,부산광역시 강서구 대저2동 2407-1,35.174568,128.950612,1009,8,"조합놀이기구, 그네, 흔들놀이기구2",,,"정자, 평의자14, 트렐리스2, 안내판, 볼라드",1995-04-07,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00006,상방공원,소공원,,부산광역시 강서구 대저2동 3136-1,35.172659,128.952493,3791,5,"조합놀이대, 시소",,,"정자, 등의자5, 안내판, 공원등8",2006-11-21,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00007,덕두공원,소공원,,부산광역시 강서구 대저2동 3136-3,35.170895,128.953453,4726,6,,,,"파고라, 평의자3, 등의자2, 안내판, 공원등8",2006-11-21,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00008,근린공원,근린공원,,부산광역시 강서구 대저2동 3146-2,35.165806,128.953667,14221,,,,,"자전거보관대, 연못, 파고라3, 등의자7, 평의자7, 족구장, 농구대2, 공원등27, 컨테이너2",2006-11-21,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00009,샛바람길공원,소공원,,부산광역시 강서구 동선동 1068-2,35.054962,128.835290,330,3,,,,"정자, 등의자2",2009-01-07,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00010,명지소공원,소공원,,부산광역시 강서구 명지동 1396,35.107636,128.926612,867,5,,,,"파고라1, 앉음벽8m, 수도1, 안내판, 솟대5, 평의자2",2006-12-27,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00011,바다공원,근린공원,,부산광역시 강서구 명지동 3229-21,35.087405,128.899938,10001,5,,화장실,,"육각정자1, 원형의자4, 평의자12, 평상2, 파고라2, 족구장(28*35M)",1992-05-08,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00012,에디슨공원,어린이공원,,부산광역시 강서구 명지동 3230-12,35.087519,128.897994,1500,,"조합놀이기구1, 흔들놀이기구 4, 시소1",,,"앉음벽7m, 바닥분수1, 파고라2, 목제데크148㎡, 도막포장78㎡, 수증등12, 양잔디1, 등의자6, 평의자6",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00013,링컨공원,어린이공원,,부산광역시 강서구 명지동 3231-1,35.085495,128.897768,1500,,"조합놀이기구1, 흔들놀이기구 3, 시소2",,,"바닥분수1, 앉음벽72.6m, 공원등15, 도막포장253.5㎡, 수증등12, 파고라1, 양잔디1, 평의자7",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00014,늘품공원,어린이공원,,부산광역시 강서구 명지동 3232-7,35.084518,128.900585,1500,3,"생태놀이대1, 나뭇잎테이블1, 그물망오르기, 바구니그네1,",,,"파고라1, 등의자3, 원형의자4, 일자형의자6, 숲속등평의자1, 바둑이벤치2, 오리벤치2",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00015,별무리공원,어린이공원,,부산광역시 강서구 명지동 3233-1,35.083143,128.901138,1500,8,조합놀이기구1,,,"막구조파고라3, 사각정자1, 등의자5, 열주, 놀이벽",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00016,큰나무공원,어린이공원,,부산광역시 강서구 명지동 3234-1,35.083129,128.897766,1500,,"조합놀이기구1, 흔들놀이기구3, 시소1",,,"등의자9, 파고라1",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00017,맹꽁어린이공원,어린이공원,,부산광역시 강서구 명지동 3235-1,35.080752,128.897908,1500,,"조합놀이기구1, 시소1",,,"안내판, 태양광볼라드30, 파고라1, 등의자2, 평의자5, 평상1",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00018,명호어린이공원,어린이공원,,부산광역시 강서구 명지동 3236-1,35.080721,128.900785,1500,,"조합놀이기구1, 흔들놀이기구3, 그네2",,,"파고라1, 돌의자9",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00019,등대공원,어린이공원,,부산광역시 강서구 명지동 3241-1,35.080713,128.906433,1500,,"조합놀이기구1, 시소2, 흔들놀이기구3, 그네2",,,"안내판, 목계단, 파고라1, 원형의자1, 평의자7",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00020,도담공원,어린이공원,,부산광역시 강서구 명지동 3242-4,35.079992,128.910613,1500,,"조합놀이기구1, 시소2, 흔들놀이기구3, 그네2",,,"안내판, 볼라드7, 파고라1, 평의자7",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00021,남명공원,어린이공원,,부산광역시 강서구 명지동 3243-3,35.083292,128.909979,1500,,"조합놀이기구1, 시소2, 흔들놀이기구3, 그네2",,,"안내판, 목계단, 파고라1, 원형의자1, 평의자6",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00022,갈대성공원,어린이공원,,부산광역시 강서구 명지동 3244-1,35.083147,128.906046,1500,,흔들놀이기구6,,,"데크, 막구조파고라3, 등의자4, 앉음벽35m, 돌의자6, 돌탁자2, 열주4",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00023,명지공원,근린공원,부산광역시 강서구 명지오션시티7로 30 (명지동),부산광역시 강서구 명지동 3247,35.087763,128.906184,170405,10,,"화장실2, 주차장, 관리사무소",,"바닥분수, 다목적운동장, 볼라드62, 안내판4, 안내석, 야외석물탁자5, 통돌벤치20, 앉음벽139m, 돌담150m, 장대석의자12, 상징게이트4, 장식열주6, 자연석계단2, 팔각정자, 파고라16, 평의자48, 등의자50, 둥근의자28",2001-09-26,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00024,철새탐방공원,문화공원,부산광역시 강서구 명지오션시티1로 284 (명지동),부산광역시 강서구 명지동 3308-3,35.084080,128.911810,1344,,,,,"이층정자1, 철새탐조대1, 등의자2",2008-11-12,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00025,장전공원,근린공원,,부산광역시 강서구 미음동 1531,35.161437,128.861779,38936,3,,,,"농구장, 족구장, 팔각정자, 파고라3, 등의자13, 평의자16, 플랜터28.8m, 앉음벽14.78m, 데크858.57㎡, 데크계단28.75㎡, 계단목91, 안내판",2008-02-28,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00026,탑동공원,근린공원,,부산광역시 강서구 미음동 1536-1,35.161809,128.858199,10293,,,,,"팔각정자1, 파고라1, 평의자3, 데크528.4, 안내판1",2008-02-28,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00027,남강공원,문화공원,,부산광역시 강서구 미음동 1553-7,35.156126,128.856431,5787,,,화장실,제실,"파고라3, 등의자3, 평의자9, 안내판1, 볼라드2, 전통담장105.77m, 앉음벽11.37m, 통석의자15m, 계단목4, 데크129.71㎡, 디자인휀스202m",2008-02-28,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
26440-00028,와룡공원,근린공원,,부산광역시 강서구 미음동 1559,35.156283,128.854219,139553,6,,,,"농구장, 족구장, 파고라5, 등의자15, 평의자26, 플랜터14.4m, 안내판, 볼라드6, 데크1,804.94㎡, 계단목74",2008-02-28,부산광역시 강서구청 녹지공원과,051-970-4536,2021-09-16
