구군명,노인교실명,도로명주소,전화번호,경도,위도,데이터기준일자
서구,노인건강학교,서구 구덕로250번길 6,051-256-0734,129.0206767,35.10677410,2021-08-31
서구,소문노인대학,구덕로186번길 9,051-256-2301,129.0202487,35.10148646,2021-08-31
서구,한마음노인대학,서구 망양로193번길 104,051-253-1922,129.0263591,35.11117899,2021-08-31
서구,해강노인교실,서구 해돋이로 67,051-248-6321,129.0202317,35.08517116,2021-08-31
동구,범일노인대학,동구 범곡로 9(범일동),051-646-5979,129.0557315,35.13886974,2021-08-31
동구,인창실버예술대학,동구 고관로 36(초량동),051-466-5353,129.0430574,35.12255616,2021-08-31
동구,비둘기노인대학,동구 성남로 37(좌천동),051-635-5734,127.4635173,36.33162494,2021-08-31
동구,자성대노인복지관 노인교실,동구 자성로140번길 32(범일동,051-632-7597,129.0648411,35.13564405,2021-08-31
동구,동구종합사회복지관 오색빛깔실버대학,동구 안창로 57(범일동),051-633-3367,129.0424303,35.14562834,2021-08-31
동구,보성노인대학(장기휴지),동구 중앙대로길 231(초량동),051-467-6477,127.4635173,36.33162494,2021-08-31
영도구,대한노인회 영도구지회 부설노인대학,영도구 절영로29번길 14(대교동2가),051-417-4888,129.0400929,35.09133006,2021-08-31
영도구,동삼사회복지관 노인교실,"영도구 상리로 30(동삼동, 동삼종합사회복지관)",051-405-2133,129.0668355,35.08332730,2021-08-31
영도구,영도중앙 늘푸른대학,영도구 남항서로70번길 76(남항동),051-415-2241,129.0388127,35.08551797,2021-08-31
영도구,상리노인교실,영도구 상리로 63-16(동삼동),051-404-5061,129.0707765,35.08616799,2021-08-31
영도구,영도구종합사회복지관 부설노인교실,영도구 산정길 138(신선동3가),051-413-4661,129.0475086,35.08121547,2021-08-31
영도구,와치노인교실,영도구 함지로79번길 76(동삼동),051-418-8544,129.0655229,35.07600143,2021-08-31
영도구,절영은빛대학노인교실,영도구 함지로 33-10(동삼동),051-403-4200,129.0617457,35.07221265,2021-08-31
영도구,부산제4영도교회노인교실,영도구 봉래쉼터길 47(봉래동 5가),051-404-5530,129.0526421,35.09412413,2021-08-31
영도구,청학2동 새마을금고 노인교실,영도구 태종로 361(청학동),051-412-4466,129.0645928,35.09468668,2021-08-31
영도구,빛과진리 노인교실,영도구 한사랑길 63(영선동1가),051-415-4501,129.0440205,35.08972781,2021-08-31
영도구,제일영도교회 노인대학,영도구 영봉길 110(신선동1가),051-415-6351,129.0454073,35.09097781,2021-08-31
영도구,모세노인대학,영도구 영상길 3,051-416-1950,129.0431862,35.08536319,2021-08-31
부산진구,부산진시니어대학,부산진구 서전로68번길43-1(전포동),051-415-3921,129.0675202,35.15591984,2021-08-31
부산진구,대한노인회 부산광역시연합회 직할노인대학,"부산진구 중앙대로 852(전포동,부산노인회관)",051-805-9411,129.0671142,35.16683026,2021-08-31
부산진구,신고려노인대학,부산진구 신암로 90(범천동),,129.0532658,35.14933839,2021-08-31
부산진구,초예노인대학,부산진구 월드컵대로449번길 44-6(초읍동),,129.0505082,35.18149702,2021-08-31
부산진구,사랑방노인대학,부산진구 복지로 118-1(개금동),051-808-2821,129.0188640,35.14262009,2021-08-31
부산진구,관음노인대학,부산진구 백양관문로77번길 140(개금동),051-893-0035,129.0249942,35.16412973,2021-08-31
부산진구,항도노년평생대학,부산진구 대학로61번길 3(가야동),051-893-5034,129.0349497,35.15025362,2021-08-31
부산진구,학나래노인대학,부산진구 당감서로 16(당감동),051-898-3600,129.0366066,35.16232715,2021-08-31
부산진구,한국문화대학,부산진구 중앙대로 978(양정동),051-896-2320,129.0743772,35.17654605,2021-08-31
부산진구,전포은빛대학,부산진구 전포대로190번길 35(전포동),051-853-2739,129.0675343,35.15363919,2021-08-31
부산진구,늘푸른대학,부산진구 진남로 536(양정동),051-802-6383,129.0732736,35.17110244,2021-08-31
부산진구,남도실버대학,부산진구 백양대로60번길 21(당감동),051-852-0685,129.0423390,35.16339562,2021-08-31
부산진구,아름다운노인대학,부산진구 백양순환로110번길 41(부암동),051-897-0151,129.0397354,35.16839372,2021-08-31
부산진구,가야성심대학,부산진구 가야공원로 7(가야동),051-817-0215,129.0300558,35.15293647,2021-08-31
부산진구,백양로노인대학,부산진구 동평로 12(당감동),051-891-5655,129.0315897,35.16401057,2021-08-31
부산진구,부산평생노인교육대학,부산진구 전포대로298번길 31(전포동),051-898-3741,129.0672557,35.16338570,2021-08-31
부산진구,부산진구지회부설노인대학,부산진구 백양순환로110번길 5(부암동),051-805-5172,129.0393689,35.16978502,2021-08-31
부산진구,경화서원 노인교실,부산진구 중앙대로 939(양정동) ,051-865-3240,129.0715973,35.17385753,2021-08-31
동래구,사직대건대학,동래구 아시아드대로164번길 28(사직동 411-3),051-864-9118,129.0666931,35.19925692,2021-08-31
동래구,동부삼일경로대학,동래구 여고북로123번길 68(온천동),051-501-5986,129.0710050,35.20397813,2021-08-31
동래구,동래중앙 늘푸른대학,동래구 충렬대로202번가길 24(수안동),051-506-0131,129.0826533,35.20122433,2021-08-31
동래구,온천노인대학,동래구 금강로73번길 5(온천동),051-558-1191,129.0771239,35.21574993,2021-08-31
동래구,사직경로대학,동래구 사직북로34번길 59(사직동),051-555-1205,129.0624411,35.20077263,2021-08-31
동래구,대한노인회 동래구지회 부설 노인대학,동래구 충렬대로238번 가길 5호(수안동),051-502-4703,129.0854783,35.20060409,2021-08-31
동래구,온천중앙실버대학,동래구 금강로123번길 19(온천동),051-558-2666,129.0788819,35.21994371,2021-08-31
동래구,모이세 노인대학,동래구 미남로 88-2(온천동),051-553-7991,129.0697138,35.20182623,2021-08-31
동래구,동래종합사회복지관 노인교실,동래구 신실로107번길151(명륜동),051-506-0213,129.0872326,35.20368909,2021-08-31
동래구,온천제일경로대학(휴지),동래구 금강로145번길 32(온천동),051-531-2460,129.0872326,35.20368909,2021-08-31
동래구,사직종합사회복지관 노인교실,동래구 사직북로 77(사직동),051-553-7974,129.0606792,35.19618201,2021-08-31
동래구,동래 시니어교실,동래구 명륜로207번길 18(명륜동),051-506-5757,129.0819668,35.21238058,2021-08-31
동래구,모심 경로대학,동래구 명륜로112번길 38(수안동),051-554-6252,129.0849387,35.20297055,2021-08-31
남구,남구종합복지관 부설노인교실,남구 동제당로 258(우암동),051-555-2295,129.0749124,35.12717204,2021-08-31
남구,감만종합사회복지관 부설 예그리나노인대학,남구 우암로 84-1(감만동),051-634-3415,129.0813474,35.11847034,2021-08-31
남구,부산문현노인대학,남구 장고개로 79(문현동),051-607-6979,129.0698979,35.13216514,2021-08-31
남구,용호노인대학,남구 이기대공원로 7(용호동),051-628-6737,129.1134862,35.12456084,2021-08-31
남구,대한노인회 부산남구지회 부설노인대학,남구 용호로 201-1(용호동),051-642-9946,129.1112496,35.11418833,2021-08-31
남구,감만경로대학,남구 우암로61번길 21(감만동),051-637-4818,129.0799629,35.11581456,2021-08-31
남구,문현상록대학,남구 고동골로4번길 7-18(문현동),051-607-6659,129.0716881,35.13814357,2021-08-31
남구,부산남구효도대학,남구 수영로 345(용호동),051-642-1515,129.1038533,35.13998175,2021-08-31
남구,기러기노인대학,남구 수영로39번길 35(문현동),051-626-8291,129.0721874,35.13856281,2021-08-31
남구,참사랑노인대학,남구 동명로1011번길 81(용호동),051-622-0635,129.0878494,35.12562324,2021-08-31
남구,안토니오청춘대학,남구 수영로266번길 51(대연동),051-637-3581,129.0981063,35.13449948,2021-08-31
남구,한얼노인대학,남구 고동골로69번 가길 54(문현동),051-621-2969,129.0713202,35.14607008,2021-08-31
남구,한솔성경노인대학,남구 석포로73번길 57(대연동),051-365-2211,129.0874881,35.12733012,2021-08-31
북구,금곡자연노인대학,북구 효열로144번길(금곡동),051-347-3488,129.3812612,35.60541786,2021-08-31
북구,인덕경로대학,북구 금곡대로470번길 31(금곡동),,129.0128441,35.25165790,2021-08-31
북구,덕성노인대학,북구 의성로115번길 7(덕천동),051-342-8206,129.3812612,35.60541786,2021-08-31
북구,늘푸른노인교실,북구 만덕대로115번길 86-9 (덕천1동),051-361-0045,129.0171995,35.22473299,2021-08-31
북구,동원경로대학,북구 금곡대로616번길10-9(화명동),051-338-2233,129.0151995,35.25988579,2021-08-31
북구,화명노인대학,북구 금곡대로199번길21(화명동),051-332-8004,129.0097775,35.22680531,2021-08-31
북구,만덕로뎀노인대학,북구 함박봉로140번길 102(만덕동),051-362-0111,129.3812612,35.60541786,2021-08-31
북구,화정노인대학,북구 효열로 76-1번길(금곡동),051-331-4674,129.3812612,35.60541786,2021-08-31
북구,덕천복지관노인대학,북구 덕천로74번길(덕천동),051-338-9100,129.0171995,35.22473299,2021-08-31
북구,덕천노인대학,북구 만덕대로 56(덕천동),051-331-5521,129.0112202,35.21118120,2021-08-31
북구,청운노인대학,북구 금곡대로20번길14(덕천2동),051-331-6781,129.0055383,35.21177844,2021-08-31
북구,구포시온성교회 노인교실,북구 박동대로1762번길105(구포동),051-341-0191,129.3812612,35.60541786,2021-08-31
북구,북성노인대학,북구 효열로219번길 21(금곡동),051-343-6270,129.3812612,35.60541786,2021-08-31
