순번,약국명칭,약국소재지(도로명),약국전화번호
1,호호약국,"부산광역시 해운대구 좌동순환로433번길 30-1, 해운대힐스테이트위브 135호 (중동)",
2,봄약국,부산광역시 해운대구 재반로 237-1(반여동),051-784-0303
3,반송윤약국,"부산광역시 해운대구 아랫반송로 57, 1층 (반송동)",070-4242-2590
4,행복약국,"부산광역시 해운대구 해운대로38번길 70, 1층 104호 (재송동)",051-784-7117
5,행복온누리약국,"부산광역시 해운대구 반여로41번길 54, 꿈의메디컬 104호 (반여동)",051-521-1661
6,롯데센텀약국,"부산광역시 해운대구 센텀1로 9, 롯데갤러리움센텀 E-102호 (우동)",070-8950-9519
7,다솜약국,부산광역시 해운대구 선수촌로 66 (반여동),051-528-1475
8,바다약국,"부산광역시 해운대구 해운대로 794, 엘리움 209호 (좌동)",051-747-8276
9,반여약국,"부산광역시 해운대구 선수촌로 65-25, 우진빌딩 (반여동)",051-523-5551
10,류약국,부산광역시 해운대구 아랫반송로 33 (반송동),
11,파랑약국,"부산광역시 해운대구 선수촌로 94, 대룡빌딩 102호 (반여동)",051-526-8900
12,장산3층약국,"부산광역시 해운대구 세실로 64, 303호 (좌동, 화목데파트)",
13,정문약국,"부산광역시 해운대구 신반송로 180, 1층 (반송동)",051-710-6669
14,동산약국,"부산광역시 해운대구 재반로 169, 1층 (재송동)",051-784-7552
15,더좋은약사와약국,부산광역시 해운대구 구남로29번길 9 (중동),051-744-5999
16,소나무약국,부산광역시 해운대구 해운대로 133 (재송동),051-784-8999
17,해운메디약국,"부산광역시 해운대구 해운대로 602, 102호 (우동)",051-746-8831
18,하늘온누리약국,"부산광역시 해운대구 재반로 221-1, 1층 (반여동)",051-912-4242
19,새열린약국,"부산광역시 해운대구 좌동순환로 275, 상가동 106호 (좌동, 대우2차아파트)",051-704-7533
20,메이플약국,"부산광역시 해운대구 해운대로 814, 세종월드프라자 B동 428호 (좌동)",051-703-2684
21,화인약국,"부산광역시 해운대구 해운대로 802, 웅신시네아트 415호 (좌동)",
22,가까운약국,부산광역시 해운대구 구남로8번길 77 (우동),051-731-1088
23,행복한약국,"부산광역시 해운대구 해운대로 313, 1층 (우동)",051-746-3373
24,큰솔약국,"부산광역시 해운대구 해운대로 600, 1층 (우동)",051-791-1190
25,민트약국,"부산광역시 해운대구 해운대로76번길 16, 105호 (재송동)",051-782-3050
26,센텀파크약국,"부산광역시 해운대구 센텀중앙로 145, 상가7동 205호 (재송동, 더샵센텀파크1차아파트)",051-741-1063
27,센텀드림약국,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 105호 (우동)",051-741-3016
28,일신약국,"부산광역시 해운대구 좌동순환로 309, 삼정프라자 104호 (좌동)",051-701-2451
29,아이맘약국,"부산광역시 해운대구 해운대로 794, 엘리움 701호 (좌동)",051-930-0888
30,세연약국,"부산광역시 해운대구 해운대로 365, 101호 (우동)",051-747-2268
31,부원약국,"부산광역시 해운대구 선수촌로 102-2, 부원메디칼센타 2층 (반여동)",051-531-5310
32,반여코끼리약국,"부산광역시 해운대구 재반로 231, 부산제일병원 (반여동)",051-782-2005
33,신도시약국,"부산광역시 해운대구 대천로103번길 29, 101호 (좌동, 대동타운)",051-701-0425
34,반송열린약국,"부산광역시 해운대구 아랫반송로21번길 22, 1층 (반송동)",051-544-0090
35,바른약국,"부산광역시 해운대구 중동1로 15-3, 1층 (우동)",051-711-9070
36,민온누리약국,"부산광역시 해운대구 마린시티2로 33, 116호 (우동, 해운대두산위브더제니스)",051-744-5566
37,온천약국,"부산광역시 해운대구 중동1로 39, 예담빌딩 1층 (중동)",051-747-3561
38,정담약국,"부산광역시 해운대구 선수촌로21번길 37, 홈플러스 부산반여점 1층 (반여동)",051-526-7766
39,마리나약국,"부산광역시 해운대구 해운대해변로 154, 마리나센타 (우동)",051-747-0686
40,1층약국,"부산광역시 해운대구 해운대로 794, 엘리움 107호 (좌동)",051-930-0617
41,성민약국,"부산광역시 해운대구 아랫반송로 31, 성민약국 (반송동)",051-543-7788
42,대림사약국,부산광역시 해운대구 해운대로161번길 40 (재송동),051-784-0181
43,원온누리약국,"부산광역시 해운대구 선수촌로 104-10, 선수촌빌딩 (반여동)",051-784-7661
44,세인약국,부산광역시 해운대구 반여로167번길 76 (반여동),051-527-0124
45,햇님약국,"부산광역시 해운대구 좌동순환로 502, 이룸제이타워 109호 (중동)",051-747-0881
46,건강한온누리약국,부산광역시 해운대구 해운대로61번길 106 (반여동),051-784-0112
47,샛별약국,"부산광역시 해운대구 재반로63번길 32, 1층 (재송동, 창광빌라)",051-781-5693
48,센텀중앙약국,"부산광역시 해운대구 해운대로 369, 해운대센텀메디칼센터 1층 (우동)",051-744-7275
49,화목2층약국,"부산광역시 해운대구 세실로 64, 2층 201-2호 (좌동, 화목데파트)",051-701-8608
50,화목2층약국,"부산광역시 해운대구 세실로 64, 2층 201-2호 (좌동, 화목데파트)",051-701-8608
51,편한이웃약국,"부산광역시 해운대구 선수촌로 7, 반여메디컬센터 102호 (반여동)",051-528-9200
52,대학약국,"부산광역시 해운대구 좌동순환로 252, 상가동 105호 (좌동, 대원아파트)",051-703-2902
53,행복한약국,부산광역시 해운대구 구남로29번길 26 (중동),051-731-0677
54,센트럴약국,"부산광역시 해운대구 좌동순환로 505, 102호 (중동)",
55,재송약국,"부산광역시 해운대구 재반로 82, 1층 2호 (재송동, 장안빌딩)",051-781-5050
56,동부약국,부산광역시 해운대구 재반로 153 (재송동),051-783-4285
57,드림약국,부산광역시 해운대구 중동1로 17 (중동),051-746-7182
58,온정약국,부산광역시 해운대구 선수촌로 103-4 (반여동),051-523-2362
59,해운대신대학약국,부산광역시 해운대구 좌동순환로 247 (좌동),051-702-2486
60,혜천약국,"부산광역시 해운대구 구남로29번길 38, 3층 (중동, 혜천빌딩)",051-744-2299
61,천호약국,부산광역시 해운대구 반송로 869-1 (반송동),051-545-5461
62,대우온누리약국,"부산광역시 해운대구 아랫반송로 38-1 (반송동, 대우약국)",051-544-2323
63,정다운온누리약국,"부산광역시 해운대구 재반로 86, 102호 (재송동)",051-784-4716
64,아인스약국,부산광역시 해운대구 구남로8번길 73 (우동),051-731-6954
65,담은약국,부산광역시 해운대구 중동1로 12 (우동),051-747-8463
66,코끼리약국,부산광역시 해운대구 반송로924번길 14-2 (반송동),051-545-2070
67,조약국,"부산광역시 해운대구 신반송로 163, 8동 102호 (반송동, 남흥아파트상가)",051-545-5454
68,미술관옆약국,부산광역시 해운대구 해운대로 413 (우동),051-744-5501
69,미술관옆약국,부산광역시 해운대구 해운대로 413 (우동),051-744-5501
70,미소약국,"부산광역시 해운대구 재반로 150, 201호 (재송동, 보라스카이타운)",051-784-7377
71,우리약국,부산광역시 해운대구 중동1로 26 (중동),051-741-5554
72,참약국,"부산광역시 해운대구 재반로 248 (반여동, 거성당구장)",051-783-0901
73,센텀시티약국,"부산광역시 해운대구 센텀2로 20, 106호 (우동, 센텀타워메디컬)",747-2450
74,한솔약국,"부산광역시 해운대구 좌동순환로 173, 영풍프라자 104호 (좌동)",051-701-4111
75,마린파크약국,"부산광역시 해운대구 마린시티2로 2, 106~107호 (우동, 마린파크빌딩)",051-747-3989
76,효은약국,"부산광역시 해운대구 삼어로 61, 105호 (반여동, 우방신세계아파트상가)",051-525-2420
77,햇살약국,"부산광역시 해운대구 센텀동로 99, 203호 (재송동, 벽산이센텀클래스원)",051-782-4000
78,평화약국,부산광역시 해운대구 재반로 221 (반여동),051-781-7064
79,진약국,"부산광역시 해운대구 재반로 199, 1층 (반여동, 새아빌딩)",051-782-0686
80,센텀홍은약국,"부산광역시 해운대구 센텀2로 10, 1층 (우동, 센텀메디칼센터)",051-746-1131
81,새씨앗약국,부산광역시 해운대구 선수촌로 98 (반여동),051-523-3485
82,우정약국,부산광역시 해운대구 윗반송로 94 (반송동),051-544-2111
83,경희오름한약국,"부산광역시 해운대구 대천로 104, 103호 (좌동)",051-703-5675
84,내몸에좋은약국,"부산광역시 해운대구 재반로 176, 102호 (재송동)",051-784-7833
85,덕인약국,부산광역시 해운대구 우동2로 16 (우동),051-747-8589
