연번,약국명칭,약국전화번호,약국소재지(도로명)
1,지사 온누리 약국,051-973-6967,"부산광역시 강서구 과학산단로306번길 10, 115동 204호 (지사동, 협성 · DS 엘리시안)"
2,진약국,051-201-5481,"부산광역시 강서구 명지국제1로 25, 우진메디컬프라 112호 (명지동)"
3,호호약국,051-202-5334,"부산광역시 강서구 명지오션시티4로 88, 1층 102호 (명지동)"
4,박하약국,051-271-0065,"부산광역시 강서구 명지오션시티4로 75, 서린프라자 1층 104호 (명지동)"
5,명지스타시티약국,051-990-0045,"부산광역시 강서구 명지국제6로 168, 스타필드 시티 명지점 명지동 4층 4105호 (명지동)"
6,진진약국,051-973-5378,"부산광역시 강서구 공항진입로 108, 국내선 2층 (대저2동)"
7,열시약국,051-201-5689,"부산광역시 강서구 명지국제8로 233, 더스퀘어 103호 (명지동)"
8,광제약국,051-973-6653,"부산광역시 강서구 공항앞길 6, 1층 (대저2동)"
9,훈훈약국,051-207-0427,"부산광역시 강서구 명지국제8로 230, 산양타워 104,105호 (명지동)"
10,성은 온누리약국,051-203-9101,"부산광역시 강서구 명지오션시티4로 95, 102호 (명지동)"
11,돌고래약국,051-205-6405,"부산광역시 강서구 명지국제8로 257, 109호 (명지동)"
12,새봄약국,051-203-4653,"부산광역시 강서구 명지국제8로 269, 유당빌딩 1층 102호 (명지동)"
13,만수약국,051-291-8850,"부산광역시 강서구 명지국제5로 42, 동진빌딩 1층 103호 (명지동)"
14,비타민약국,051-271-3678,"부산광역시 강서구 명지국제8로 241, 금남빌딩 1층 102호 (명지동)"
15,건강하자약국,051-271-1357,"부산광역시 강서구 명지국제8로 229, 아이메디컬 106호 (명지동)"
16,무지개약국,051-204-2282,"부산광역시 강서구 명지국제11로 27, 대경빌딩 1층 (명지동)"
17,수약국,051-208-7582,"부산광역시 강서구 명지오션시티4로 64, 103호 (명지동)"
18,미소약국,051-971-9552,"부산광역시 강서구 과학산단로306번길 10, 115동 201호 (지사동, 협성 · DS 엘리시안)"
19,하나약국,051-973-1175,"부산광역시 강서구 신호산단2로 21, 106호 (신호동)"
20,대사리약국,051-972-4989,부산광역시 강서구 낙동북로 70 (강동동)
21,초록약국,051-291-5799,"부산광역시 강서구 명지국제11로 25 (명지동, 동명빌딩104호)"
22,명지온누리약국,051-208-5002,"부산광역시 강서구 명지국제8로 245, 105호 (명지동, 명지뉴타워복합상가105호)"
23,다나약국,051-271-1235,"부산광역시 강서구 명지새동네길1번길 30, 1층 (명지동)"
24,희망약국,051-271-7737,"부산광역시 강서구 명지국제8로 254, 105호 (명지동, 시온프라자)"
25,코끼리약국,051-294-9222,"부산광역시 강서구 명지국제8로 240, 110호 (명지동, 국제메디칼빌딩1동)"
26,이화약국,051-637-8113,"부산광역시 강서구 명지오션시티11로 74, 1층 102호 (명지동)"
27,명지약국,051-208-0130,"부산광역시 강서구 명지오션시티4로 67, 105호 (명지동)"
28,가온약국,051-973-8275,"부산광역시 강서구 신호산단2로 33, 109호 (신호동, 골든뷰)"
29,푸른신호약국,051-831-8575,부산광역시 강서구 신호산단2로 41 (신호동)
30,해인약국,051-973-1616,"부산광역시 강서구 녹산산단321로 24-4, 102호 (송정동, 한마음빌딩)"
31,큰보람약국,051-203-9013,부산광역시 강서구 명지오션시티11로 66 (명지동)
32,금은동약국,051-972-1160,부산광역시 강서구  낙동북로  68 (강동동)
33,퀸덤약국,051-271-6767,"부산광역시 강서구 명지오션시티10로 16, 238호 (명지동, 영어도시 퀸덤1차)"
34,한울림약국,051-257-3466,"부산광역시 강서구 녹산산업중로 333, 14호동 (송정동, 삼성전기주식회사)"
35,시민약국,051-971-6050,부산광역시 강서구 대저로 283 (대저1동)
36,새복음약국,051-973-7615,부산광역시 강서구 낙동북로 182 (대저1동)
37,백수약국,051-973-8989,부산광역시 강서구 공항로811번길 23 (대저2동)
38,수성약국,051-971-4811,부산광역시 강서구 대저로 252 (대저1동)
39,누가약국,051-973-7022,"부산광역시 강서구 공항진입로 108, 국제공항청사동 (대저2동)"
40,메디팜 유리행약국,051-971-6264,부산광역시 강서구 낙동북로 74 (강동동)
