구군명,급식기관명,사무명,연락처,지원내용
중구,중구노인복지관,경로식당,051-241-2591,주 5회(이상) 무료급식(1일 1식) 지원
중구,중구노인복지관,식사배달,051-241-2591,주 5회(이상) 무료급식(1일 1식) 지원
중구,중구노인복지관(분관),경로식당,051-462-0316,주 5회(이상) 무료급식(1일 1식) 지원
중구,중구노인복지관(분관),식사배달,051-462-0316,주 5회(이상) 무료급식(1일 1식) 지원
중구,중구노인복지관(분관),밑반찬배달,051-462-0316,주2회 밑반찬 배달 지원
중구,중구종합사회복지관,경로식당,051-464-3137,주 5회(이상) 무료급식(1일 1식) 지원
중구,중구종합사회복지관,식사배달,051-464-3137,주 5회(이상) 무료급식(1일 1식) 지원
중구,중구종합사회복지관,밑반찬배달,051-464-3137,주2회 밑반찬 배달 지원
중구,봉생중구노인복지센터,식사배달,051-464-9880,주 5회(이상) 무료급식(1일 1식) 지원
서구,서구노인복지관,경로식당,051-244-3541,주 5회(이상) 무료급식(1일 1식) 지원
서구,서구노인복지관,식사배달,051-244-3541,주 5회(이상) 무료급식(1일 1식) 지원
서구,부민노인복지관,경로식당,051-243-3531,주 5회(이상) 무료급식(1일 1식) 지원
서구,부민노인복지관,밑반찬배달,051-243-3531,주2회 밑반찬 배달 지원
서구,부산기독교종합사회복지관,경로식당,051-710-9406,주 5회(이상) 무료급식(1일 1식) 지원
서구,부산기독교종합사회복지관,식사배달,051-710-9406,주 5회(이상) 무료급식(1일 1식) 지원
서구,부산기독교종합사회복지관,밑반찬배달,051-710-9406,주2회 밑반찬 배달 지원
서구,서구종합사회복지관,경로식당,051-253-1922,주 5회(이상) 무료급식(1일 1식) 지원
서구,서구종합사회복지관,식사배달,051-253-1922,주 5회(이상) 무료급식(1일 1식) 지원
서구,서구종합사회복지관,밑반찬배달,051-253-1922,주2회 밑반찬 배달 지원
동구,동구노인복지관,경로식당,051-467-7887,주 5회(이상) 무료급식(1일 1식) 지원
동구,동구노인복지관,식사배달,051-467-7887,주 5회(이상) 무료급식(1일 1식) 지원
동구,동구노인복지관,밑반찬배달,051-467-7887,주2회 밑반찬 배달 지원
동구,동구노인복지관분관,경로식당,051-714-6092,주 5회(이상) 무료급식(1일 1식) 지원
동구,동구 자성대노인복지관,경로식당,051-632-7597,주 5회(이상) 무료급식(1일 1식) 지원
