연번,약국명칭,약국소재지(도로명),약국전화번호
1,The튼튼약국,부산광역시 부산진구 가야대로679번길 133 (당감동),051-894-5252
2,가까운약국,부산광역시 부산진구 가야대로 779 (부전동),051-819-1421
3,가야늘푸른약국,부산광역시 부산진구 대학로 12 (가야동),051-892-9241
4,가야로약국,부산광역시 부산진구 냉정로 226 (개금동),051-898-5144
5,가야하나로약국,부산광역시 부산진구 가야대로 476-1 (개금동),051-897-4284
6,강약국,부산광역시 부산진구 가야대로 785 (부전동),051-806-0789
7,개금금성당약국,"부산광역시 부산진구 냉정로 217, 1층 (개금동)",051-893-0222
8,개금현대약국,부산광역시 부산진구 엄광로 33 (개금동),051-932-7575
9,건강약국,부산광역시 부산진구 범전로5번길 8 (부전동),051-817-7111
10,건강약국,"부산광역시 부산진구 진남로 549, 1층 (양정동)",051-861-3644
11,건강약국,"부산광역시 부산진구 자유평화로 7 (범천동, 평화시장건강약국)",051-646-0519
12,건강한약국,"부산광역시 부산진구 가야대로703번가길 33, 1층 (당감동)",051-802-2774
13,고려약국,부산광역시 부산진구 중앙대로 733 (부전동),051-802-2386
14,고은약국,"부산광역시 부산진구 동평로 373, 1층 (양정동)",051-867-5067
15,국일약국,부산광역시 부산진구 동평로291번길 12 (연지동),051-807-1444
16,귀빈약국,"부산광역시 부산진구 새싹로 218, 1층 (초읍동)",051-939-8275
17,그린팜약국,"부산광역시 부산진구 중앙대로 797, 삼정 그린코아 더 시티 1층 104호 (부전동)",051-913-0016
18,금강약국,부산광역시 부산진구 백양대로136번길 41 (당감동),051-894-6007
19,금새약국,"부산광역시 부산진구 가야대로 785 (부전동, 성영빌딩)",051-805-7004
20,금성당한약국,"부산광역시 부산진구 냉정로 217, 2층 (개금동)",051-893-4541
21,금호약국,부산광역시 부산진구 가야공원로 46 (가야동),051-893-2379
22,기쁨약국,부산광역시 부산진구 동평로 201 (부암동),051-816-4384
23,나라약국,부산광역시 부산진구 가야대로 777 (부전동),051-805-5586
24,나은약국,"부산광역시 부산진구 가야대로 414, 성문학원 2층 (개금동)",051-893-9935
25,남경약국,"부산광역시 부산진구 범일로 156-1, 1층 (범천동)",051-635-0419
26,네온우리약국,"부산광역시 부산진구 양정로 61, 1,2층 (양정동)",051-911-4954
27,녹십자약국,부산광역시 부산진구 당감서로 15 (당감동),051-897-1014
28,뉴삼성약국,"부산광역시 부산진구 가야대로 506, 가야홈플러스 3층 (가야동)",051-898-9263
29,늘푸른약국,"부산광역시 부산진구 전포대로200번길 27, 1층 (전포동)",051-808-0641
30,다감약국,"부산광역시 부산진구 동평로 106, 앨리움 메디컬센터 1층 103호 (당감동)",051-891-6008
31,다양약국,부산광역시 부산진구 성지로 77-1 (초읍동),051-805-6120
32,다온약국,"부산광역시 부산진구 새싹로 17, 서면빌딩 1층 (부전동)",051-803-0525
33,다정약국,부산광역시 부산진구 가야대로 470 (개금동),051-893-1910
34,다정온누리약국,"부산광역시 부산진구 가야대로 715, 1층 (당감동)",051-804-1196
35,당감당약국,부산광역시 부산진구 동평로 94 (당감동),051-897-4001
36,대명약국,부산광역시 부산진구 동평로 102 (당감동),051-896-0272
37,대생약국,부산광역시 부산진구 당감로16번길 3 (당감동),051-894-8383
38,대영남약국,"부산광역시 부산진구 중앙대로 769, 1층 (부전동)",051-807-4464
39,대웅사약국,"부산광역시 부산진구 동평로 90, 1층 (당감동)",051-898-9477
40,대학약국,"부산광역시 부산진구 복지로 61, 승현빌딩 2층 (개금동)",051-894-2800
41,동광약국,"부산광역시 부산진구 백양관문로 3, 106호 (개금동)",051-896-2040
42,동보약국,"부산광역시 부산진구 가야대로 772, 지하1층 (부전동, 롯데백화점 지하)",051-810-4056
43,동산약국,부산광역시 부산진구 새싹로 277 (초읍동),051-805-0386
44,동서약국,부산광역시 부산진구 진남로 551-1 (양정동),051-863-2524
45,동신약국,부산광역시 부산진구 새싹로 152 (연지동),051-807-1801
46,동원약국,"부산광역시 부산진구 진남로 551, 1층 (양정동)",051-853-4101
47,동인당약국,부산광역시 부산진구 당감로 20-1 (당감동),051-897-3217
48,동인당약국,부산광역시 부산진구 중앙대로 753 (부전동),051-819-2688
49,동평메디치약국,부산광역시 부산진구 당감서로 87 (당감동),051-891-8707
50,동하약국,부산광역시 부산진구 개금본동로 3-12 (개금동),051-897-7772
51,동해물약국,"부산광역시 부산진구 중앙대로 759-1 (부전동, 부전1동 267-23번지)",051-634-7300
52,드림약국,"부산광역시 부산진구 서면로 68, 부전동근린생활시설 1층 (부전동)",051-807-0020
