순번,약국명칭,약국전화번호,약국소재지(도로명)
1,일광약국,051-722-1021,"부산광역시 기장군 일광면 해빛1로 5, 센텀타워 제1층 제103호"
2,스타약국,051-722-0215,"부산광역시 기장군 기장읍 읍내로 105, 1층"
3,삼성온누리약국,051-721-1005,"부산광역시 기장군 기장읍 차성동로116번길 5, 꽃나라꽃집 1층"
4,돌고래약국,051-723-9710,"부산광역시 기장군 일광면 해빛6로 99, 1층"
5,바른약국,051-727-5123,"부산광역시 기장군 장안읍 해맞이로 9, 1층"
6,한바다약국,051-722-0017,"부산광역시 기장군 일광면 해빛로 13, 일광제일프라자 102호"
7,프리미엄아울렛약국,051-901-2552,"부산광역시 기장군 기장읍 기장해안로 147, 롯데몰 동부산점 1층"
8,맘편한약국,,"부산광역시 기장군 일광면 일광로 667, 1층 103호"
9,동부산약국,051-901-2160,"부산광역시 기장군 기장읍 기장해안로 147, 롯데몰 동부산점 롯데마트 2층"
10,도담도담약국,051-723-4499,"부산광역시 기장군 일광면 해빛로 17, 1층 105호"
11,일신약국,051-728-8131,"부산광역시 기장군 정관읍 정관6로 31, 106호"
12,누리약국,070-7757-6577,"부산광역시 기장군 정관읍 정관로 391, 하나프라자 101호"
13,모두의약국,051-724-8272,"부산광역시 기장군 기장읍 읍내로 108-1, 파크빌딩 101호"
14,고촌약국,051-724-8523,"부산광역시 기장군 철마면 고촌로 28, 101호"
15,테라스약국,051-727-8775,"부산광역시 기장군 정관읍 정관로 581, 109호"
16,우리약국,051-728-7144,"부산광역시 기장군 정관읍 정관로 561, 정관타워 107호"
17,하나약국,051-923-8899,"부산광역시 기장군 장안읍 월내2길 3, 1층"
18,정다운약국,051-728-7715,"부산광역시 기장군 정관읍 정관로 702, 1층"
19,일신도담약국,051-728-1237,"부산광역시 기장군 정관읍 정관6로 31, 1층 105호"
20,메디칼약국,051-723-2080,"부산광역시 기장군 기장읍 읍내로 116, 1층"
21,메디칼약국,051-723-2080,"부산광역시 기장군 기장읍 읍내로 116, 1층"
22,하나약국,051-724-7761,"부산광역시 기장군 기장읍 차성로 436, 1층"
23,한우리약국,051-723-2307,부산광역시 기장군 기장읍 읍내로 107
24,대영약국,051-723-1235,부산광역시 기장군 기장읍 차성동로 63
25,정관온누리약국,051-728-8360,"부산광역시 기장군 정관읍 정관5로 50, 지하1층 (정관홈플러스)"
26,엔젤팜약국,051-727-4321,부산광역시 기장군 정관읍 정관로 601
27,늘푸른약국,051-722-8765,부산광역시 기장군 기장읍 차성동로 94
28,원자력메디칼약국,051-727-8967,부산광역시 기장군 장안읍 좌동길 37
29,마법사약국,051-727-6884,부산광역시 기장군 정관읍 정관로 575-3 (정관제일타워Ⅱ)
30,스마트약국,051-727-3318,"부산광역시 기장군 정관읍 방곡3로 2, 105호"
31,큰사랑약국,051-727-9780,"부산광역시 기장군 정관면 정관로 570, 209호"
32,조은온누리약국,051-727-8845,부산광역시 기장군 장안읍 해맞이로 432
33,유명한약국,051-508-3377,부산광역시 기장군 철마면 여락송정로 334
34,신도시약국,051-727-1048,부산광역시 기장군 정관면 정관4로 38
35,참조은약국,051-721-0034,부산광역시 기장군 기장읍 차성동로 114
36,시장약국,051-721-2367,부산광역시 기장군 기장읍 차성로288번길 40
37,튼튼약국,051-727-7717,부산광역시 기장군 정관읍 정관로 615
38,드림약국,051-728-2727,"부산광역시 기장군 정관읍 정관로 495, 1층 102호"
39,화전약국,051-721-4440,부산광역시 기장군 일광면 일광로 101
40,건강한약국,051-724-7580,부산광역시 기장군 기장읍 기장대로 83-10
41,153옵티마약국,051-727-7518,"부산광역시 기장군 정관면 정관로 579, 108호 (조은프라자)"
42,진하약국,051-728-6123,부산광역시 기장군 일광면 일광로 609
43,연세약국,051-723-2828,부산광역시 기장군 기장읍 반송로 1640
44,다원 약국,051-721-2338,부산광역시 기장군 기장읍 읍내로 101
45,정관 코끼리약국,051-727-5655,"부산광역시 기장군 정관면 정관로 395, 101호"
46,중앙약국,051-728-2210,"부산광역시 기장군 정관면 정관4로 38, 102호 (금샘프라자)"
47,푸른약국,051-727-2024,"부산광역시 기장군 장안읍 해맞이로 427, 1층"
48,신중앙 약국,051-724-4351,부산광역시 기장군 기장읍 대청로72번길 7
49,메디팜 대학약국,051-723-5577,"부산광역시 기장군 기장읍 차성남로51번길 30, 101층"
50,광장약국,051-727-0366,"부산광역시 기장군 정관면 정관로 563, 110호 (광장메디칼빌딩)"
51,봄약국,051-728-6357,부산광역시 기장군 정관읍 정관로 389
52,햇살약국,051-728-0882,부산광역시 기장군 정관면 정관4로 40
53,원자력 가람약국,051-727-9888,부산광역시 기장군 장안읍 좌동길 39
54,경화약국,051-721-2056,부산광역시 기장군 기장읍 읍내로 108
55,우리온누리약국,051-728-2674,"부산광역시 기장군 정관면 정관중앙로 56, 101호 (프라임클리닉센터)"
56,제일약국,051-727-6991,부산광역시 기장군 정관면 정관로 560
57,대변약국,051-721-6008,"부산광역시 기장군 기장읍 기장해안로 581-1, 대변약국"
58,진약국,051-722-0686,부산광역시 기장군 기장읍 읍내로 96
59,미래약국,051-724-3810,부산광역시 기장군 기장읍 읍내로 93
60,정한약국,051-724-1544,부산광역시 기장군 기장읍 대청로72번길 5
61,건강약국,051-722-8861,부산광역시 기장군 기장읍 차성동로 69
62,롯데약국,051-724-0152,부산광역시 기장군 기장읍 차성동로 74
63,인화약국,051-728-5520,부산광역시 기장군 정관읍 정관덕산길 36 (예림전기조명)
64,길약국,051-722-0665,부산광역시 기장군 기장읍 대청로35번길 66
65,중앙약국,051-727-0063,부산광역시 기장군 장안읍 좌천로 30-1
