연번,기관명,소재지,전화번호
1,건강드림약국,부산광역시 북구 덕천로 299 (만덕동),051-343-7577
2,건강백세약국,부산광역시 북구 만덕대로 14 (덕천동),051-342-0861
3,건강약국,"부산광역시 북구 백양대로 1017, 한성빌딩 (구포동)",051-333-1977
4,건강한약국,"부산광역시 북구 금곡대로 287, 6층 608호 (화명동)",051-361-2666
5,구남약국,"부산광역시 북구 백양대로 1013-1, 용원상가빌 1층 (구포동)",051-331-0822
6,구포시장약국,부산광역시 북구 낙동대로 1774 (구포동),051-336-0814
7,구포큰약국,"부산광역시 북구 금곡대로 지하14, 3호선덕천역 N18, N19, N20호 (덕천동)",051-338-1225
8,국민약국,"부산광역시 북구 만덕대로 9, 구포빌딩 1층 (덕천동)",051-331-7500
9,그린약국,"부산광역시 북구 양달로 74, 화명동부종합상가 118호 (화명동)",051-362-3567
10,금정산 약국,부산광역시 북구 상학로 3(만덕동),051-995-1603
11,금호약국,"부산광역시 북구 화명대로 44, 101호 (화명동, 금호타워)",051-331-8655
12,남은약국,부산광역시 북구 덕천로 76 (덕천동),051-337-7682
13,뉴경남 약국,부산광역시 북구 양달로8번길 16 (화명동),051-362-8395
14,다사랑약국,"부산광역시 북구 효열로203번길 6, 1층 5호 (금곡동, 대성하이츠빌)",051-361-9490
15,다온약국,"부산광역시 북구 만덕대로27번길 2, 부국아파트 부국상가동 1호 (덕천동)",051-338-1288
16,다정약국,부산광역시 북구 약초골목길 27 (구포동),051-341-2328
17,대림약국,"부산광역시 북구 금곡대로 268, 101호 (화명동, 대림타운상가)",051-363-3413
18,대학로약국,부산광역시 북구 학사로 15 (화명동),051-363-8175
19,덕천우리약국,"부산광역시 북구 백양대로 1202, 1층 (덕천동)",051-336-2234
20,덕천조약국,"부산광역시 북구 만덕대로 16, 1층 (덕천동, 세화빌딩)",051-332-2366
21,덕천지하철약국,부산광역시 북구 낙동대로 1790(구포동),051-338-0119
22,덕천참약국,"부산광역시 북구 낙동대로 1780, 1층 (구포동)",051-336-8818
23,동문굿모닝약국,"부산광역시 북구 덕천로276번길 60, 311호 (만덕동, 백양산동문굿모닝힐)",051-333-5587
24,동서약국,"부산광역시 북구 덕천로234번길 5, 동원아파트 상가7동 105호 (만덕동)",051-343-0081
25,동성약국,부산광역시 북구 시랑로 131 (구포동),051-343-2252
26,동아약국,부산광역시 북구 만덕대로 8 (덕천동),051-337-8844
27,드래곤약국,"부산광역시 북구 금곡대로 287, 삼한골든뷰 102호 (화명동)",070-7576-1363
28,드림약국,"부산광역시 북구 만덕대로 22 (덕천동, 드림 메디칼 빌딩)",051-904-0010
29,로뎀약국,부산광역시 북구 만덕대로65번길 3 (덕천동),051-333-2723
30,마음애약국,부산광역시 북구 덕천로 300 (만덕동),070-7797-1074
31,마트약국,"부산광역시 북구 기찰로 164 (덕천동, B동 106호)",051-331-7574
32,만덕 신동방약국,부산광역시 북구 덕천로 298 (만덕동),051-334-9445
33,만덕약국,부산광역시 북구 만덕1로10번길 2 (만덕동),051-333-7713
34,만덕한사랑약국,부산광역시 북구 은행나무로 6 (만덕동),051-332-4566
35,메디칼약국,부산광역시 북구 만덕대로 12-1 (덕천동),051-331-5599
36,메디팜이화약국,"부산광역시 북구 금곡대로303번길 2, 106,107호 (화명동, 시티타워)",051-361-8005
37,메디팜최약국,"부산광역시 북구 금곡대로616번길 55, 105호 (금곡동, 유림상가)",051-363-4460
38,모닝약국,부산광역시 북구 만덕대로 13 (덕천동),051-335-0008
39,모범약국,부산광역시 북구 백양대로 1201 (구포동),051-332-0440
40,무궁화약국,부산광역시 북구 효열로 210 (금곡동),051-361-0773
41,미래약국,부산광역시 북구 은행나무로 4(만덕동),051-337-9897
42,미래팜강산약국,부산광역시 북구 시랑로 64 (구포동),051-343-8907
43,미소약국,부산광역시 북구 덕천로 301 (만덕동),051-335-2621
44,바다약국,부산광역시 북구 덕천로 310 (만덕동),051-337-4976
45,바른약국,부산광역시 북구 사상로 599 (구포동),051-301-7502
46,밝은미소약국,부산광역시 북구 금곡대로 161 (화명동),051-365-7738
47,밝은약국,부산광역시 북구 만덕대로 19 (덕천동),051-342-3438
48,베스트정약국,"부산광역시 북구 화명대로 5, 1층 101호 (화명동)",051-363-8270
49,벳전문약국,부산광역시 북구 만덕대로90번길 13 (덕천동),051-341-8090
50,보은약국,부산광역시 북구 만덕대로 55(덕천동),051-331-7581
51,부민온누리약국,"부산광역시 북구 만덕대로65번길 9, 1층 (덕천동)",051-341-3309
52,부산탑약국,부산광역시 북구 백양대로1050번길 2 (구포동),051-335-4376
53,비타민약국,부산광역시 북구 금곡대로 224 (화명동),051-361-0553
54,삼보온누리약국,"부산광역시 북구 금곡대로 268, 상가동 1층 102호, 121호 (화명동, 화명동대림타운)",051-363-5425
55,새덕천약국,부산광역시 북구 만덕대로 3 (덕천동),051-338-2032
56,새모범약국,"부산광역시 북구 백양대로 1189, 1층 (구포동)",051-333-5280
57,새문약국,부산광역시 북구 낙동대로1780번길 99 (구포동),051-331-4653
58,새봄약국,부산광역시 북구 금곡대로 344 (화명동),051-336-9032
59,새서진약국,부산광역시 북구 시랑로79번길 36 (구포동),051-337-9805
60,새중앙약국,"부산광역시 북구 만덕1로 26, 중앙빌딩 101호 (만덕동)",051-932-8532
61,새한약국,부산광역시 북구 구남로14번길 75 (구포동),051-332-4082
62,서부산약국,부산광역시 북구 낙동대로1780번길 8 (구포동),051-333-3073
63,성보약국,부산광역시 북구 구포만세길 95 (구포동),051-332-6336
64,세민약국,부산광역시 북구 백양대로 1112-1 (구포동),051-334-3553
