약국명칭,약국전화번호,약국소재지(도로명)
온누리조약국,051-753-2077,"부산광역시 수영구 수영로 605-1, 1층 (광안동)"
오늘약국,051-947-5067,"부산광역시 수영구 수영로 654, 101호 (광안동)"
광안리약국,,"부산광역시 수영구 수영로 517, 센터럴타워 1층 (광안동)"
광안센터약국,051-622-0407,"부산광역시 수영구 수영로 486, 1층 (남천동)"
우리약국,051-753-3825,"부산광역시 수영구 민락로6번길 31, 1층 (민락동)"
다정한약국,051-624-3120,"부산광역시 수영구 황령대로489번길 24, 1층 (남천동)"
희망오륙도약국,051-752-5225,"부산광역시 수영구 수영로611번길 7, 1층 (광안동)"
희망오륙도약국,051-752-5225,"부산광역시 수영구 수영로611번길 7, 1층 (광안동)"
하늘약국,051-626-7200,"부산광역시 수영구 황령대로 483, 한나빌딩 (남천동)"
큐비약국,051-752-4200,"부산광역시 수영구 수영로 675, 101호 (광안동)"
은혜약국,051-612-8849,"부산광역시 수영구 수영로 423, 1층 (남천동)"
새자하연약국,051-752-5566,부산광역시 수영구 망미로22번길 54 (망미동)
자연약국,051-752-1027,"부산광역시 수영구 과정로 60, 1층 (망미동)"
자연약국,051-752-1027,"부산광역시 수영구 과정로 60, 1층 (망미동)"
오션약국,051-757-5301,"부산광역시 수영구 광안해변로326번길 31, 근린생활시설동 105호 (민락동, e편한세상 오션테라스 4단지)"
베스트약국,051-753-7503,"부산광역시 수영구 수영로 710, 1층 (광안동)"
오렌지약국,051-626-0700,"부산광역시 수영구 수영로 410, 남천동 정암빌딩 1층 101호 (남천동)"
팔도새시장약국,051-752-2828,부산광역시 수영구 수영성로 27 (수영동)
좋은약국,051-754-1095,"부산광역시 수영구 과정로 55, 망미1동 새마을금고 (망미동)"
더나은약국,051-759-7755,"부산광역시 수영구 수영로 671, 1층 (광안동)"
더나은약국,051-759-7755,"부산광역시 수영구 수영로 671, 1층 (광안동)"
하나약국,051-517-6373,"부산광역시 수영구 수영로 621, 1-1호 (광안동, 부광)"
금련산지하철약국,051-623-7988,"부산광역시 수영구 수영로 지하 482, 도시철도 금련산역 2~3호 (남천동)"
41번길약국,051-754-4997,"부산광역시 수영구 과정로41번길 20, 메디플러스 102호 (망미동)"
41번길약국,051-754-4997,"부산광역시 수영구 과정로41번길 20, 메디플러스 102호 (망미동)"
신혜약국,051-622-1772,"부산광역시 수영구 광안해변로 95, 비치아파트 에이상가 105호 (남천동)"
광안자연약국,051-757-7571,"부산광역시 수영구 수영로 581, 1층 (광안동)"
대남약국,051-900-9611,"부산광역시 수영구 수영로 394, 1층 (남천동, 남천동 메디칼센타)"
바다온누리약국,051-753-7522,"부산광역시 수영구 수영로 551, 1층 (광안동)"
