순번,약국명칭,약국전화번호,약국소재지(도로명)
1,수약국,051-611-3351,"부산광역시 남구 유엔평화로3번길 5, 고려병 1층 1-2호 (대연동)"
2,정성약국,051-611-3355,"부산광역시 남구 수영로 240, 정성약국 1층 (대연동)"
3,봄봄약국,051-632-5777,"부산광역시 남구 수영로 151-1, 1층 1호 (대연동)"
4,다온약국,051-632-7500,부산광역시 남구 수영로 182-1 (대연동)
5,중앙약국,051-634-4829,부산광역시 남구 수영로 190 (대연동)
6,오복당건재약국,051-627-0882,"부산광역시 남구 오륙도로 85, 1층 106-2호 (용호동, 오륙도 에스케이뷰 아파트)"
7,용호더블유약국,051-611-1898,"부산광역시 남구 분포로 145, 2층 091호 (용호동, 더블유)"
8,동의약국,051-611-8700,"부산광역시 남구 분포로 145, 2층 (용호동, 더블유)"
9,이룸약국,051-626-2237,"부산광역시 남구 수영로 216-2, 아마빌레산후조리원 (대연동)"
10,유진약국,051-632-2876,부산광역시 남구 진남로127번길 8 (대연동)
11,신혜약국,051-628-0304,"부산광역시 남구 분포로 115, 힐탑탑플레이스 A동 304호 (용호동)"
12,고은약국,051-647-7741,"부산광역시 남구 우암로 168, 우암동우체국 (우암동)"
13,성모정문약국,051-628-6283,부산광역시 남구 용호로 267 (용호동)
14,웰빙약국,051-623-0049,"부산광역시 남구 수영로 203, 1층 (대연동, 대연 메디칼센터)"
15,조은약국,051-631-7282,"부산광역시 남구 수영로 187, 1층 (대연동)"
16,우리약국,051-621-7227,"부산광역시 남구 용호로 154, 2층 (용호동, 용호메디칼센타)"
17,금강산약국,051-636-8652,부산광역시 남구 홍곡로 17 (감만동)
18,메트로약국,051-612-9097,"부산광역시 남구 분포로 111, 1003동 306호 (용호동, 엘지메트로시티아파트)"
19,미모약국,051-633-2375,부산광역시 남구 석포로 64 (감만동)
20,늘봄약국,051-625-5565,"부산광역시 남구 수영로 304, 8층 (대연동, 대승타워)"
21,신용호대형약국,051-628-7227,"부산광역시 남구 용호로 141, 1동 104호 (용호동, 대현메디컬)"
22,LG약국,051-612-0123,"부산광역시 남구 분포로 111, 1003동 204호 (용호동, 엘지메트로시티아파트)"
23,일층약국,051-634-2338,"부산광역시 남구 수영로 323, 1층 105호 (대연동, 태강프라자)"
24,다솜약국,051-634-2338,"부산광역시 남구 수영로 21, 1층 (문현동)"
25,튼튼약국,051-611-8288,"부산광역시 남구 분포로 113, 1005동 404호 (용호동, 엘지메트로시티아파트)"
26,성모약국,051-627-0204,"부산광역시 남구 용주로6번길 30, 신국제약국 1층 (용호동)"
27,힐탑약국,051-626-2415,"부산광역시 남구 분포로 115, 2층 203-1호 (용호동, 힐탑탑플레이스)"
28,소나무약국,051-612-6686,"부산광역시 남구 진남로 42, 1층 (대연동)"
29,새론약국,051-623-8700,"부산광역시 남구 수영로 345, 115동 310호 (대연동, 대연힐스테이트푸르지오)"
30,성심약국,051-623-6567,부산광역시 남구 용호로 157 (용호동)
31,성신약국,051-626-1007,부산광역시 남구 용호로232번길 21 (용호동)
32,새경대약국,051-611-9333,부산광역시 남구 수영로 297 (대연동)
33,우암약국,051-631-1610,"부산광역시 남구 우암로 166, 1층 (우암동)"
